ministry,parent_org,code,name,address,pincode,officer_designation,org_level
Department of Administrative Reforms and PG,Department of Administrative Reforms and PG,ARCDV,DARPG ARC Division,"DARPG, SP Bhawan",,Deputy Secretary,2.0
Department of Administrative Reforms and PG,Department of Administrative Reforms and PG,ARDIV,AR Division,"AR Division  D/o ARPG  5th floor  S.P. Bhavan, Sansad Marg, New Delhi",110001.0,Director,2.0
Department of Administrative Reforms and PG,Department of Administrative Reforms and PG,ARDND,D&D Division,"D/of ARPG  DD Division, 5th Floor  S.P. Bhavan  Sansad Marg  New Delhi",110001.0,Director,2.0
Department of Administrative Reforms and PG,Department of Administrative Reforms and Public Grievances,ARNPG,Department of Administrative Reforms and PG,"5th Floor Sardar Patel Bhawan Sansad Marg  New Del, hi",110001.0,Deputy Secretary,1.0
Department of Administrative Reforms and PG,Department of Administrative Reforms and PG,ARPGA,"Admn . Div. ,Department of ARPG ,","5th floor sardar patel Bhavan , Parlaiment Street, New Delhi",110001.0,DS Admn.,2.0
Department of Administrative Reforms and PG,Department of Administrative Reforms and PG,ARPGC,"E-governance Division, DARPG","5th floor  Sardar Patel Bhavan , Parlaiment Street, New Delhi",110001.0,Deputy Secretary,2.0
Department of Administrative Reforms and PG,Department of Administrative Reforms and PG,ARPGI,"IE and C division, DARPG","Administrative Reforns Div.  DARPG  , 5th floor  Sardar Patel Bhavan  Parlaiment Street, New Delhi",110001.0,Director,2.0
Department of Administrative Reforms and PG,Department of Administrative Reforms and PG,ARPGN,NIC-DARPG,"Administrative Reforns Div.  DARPG  , 5th floor  Sardar Patel Bhavan  Parlaiment Street, New Delhi",110001.0,Sr. Technical director,2.0
Department of Administrative Reforms and PG,Department of Administrative Reforms and PG,ARPGO,OM Division of DARPG,"5th floor, SP Bhawan, N Delhi",110001.0,Under Secretary,2.0
Department of Administrative Reforms and PG,Department of Administrative Reforms and PG,ARPGP,"DARPG, PG Division","Administrative Reforns Div.  DARPG  , 5th floor  Sardar Patel Bhavan  Parlaiment Street, New Delhi",110001.0,Joint Secretary,2.0
Department of Administrative Reforms and PG,NIC-DARPG,NICPG,NIC-ARPG CPGRAMS Group,NIC PG Team 2nd Floor  SP Bhawan,110001.0,Technical Director,3.0
Ministry of Ayush,Ministry of Ayush,NIAYU,Director National Institutes,"AYUSH BHAVAN, B BLOCK   GPO COMPLEX  INA, NEW DELHI",110023.0,DIRECTOR,2.0
Ministry of Ayush,Ministry of Ayush,NIAJA,NATIONAL INSTITUTE OF AYURVEDA JAIPUR,"NATIONAL INSTITUTE OF AYURVEDA, MADHAV VILAS PALACE  JORAWAR SINGH GATE , AMER ROAD  JAIPUR-302002 RAJ.",302002.0,Director,2.0
Ministry of Ayush,Ministry of Ayush,NIHOH,National Institute of Homoeopathy,"Block-GE  Sector-III , Salt Lake, Kolkatta",700106.0,Director,2.0
Ministry of Ayush,Ministry of Ayush,NEIAH,NORTH EAST INSTITUTE of AYURVEDA n HOMOEOPATHY,"Mawdiangdiang, SHILLONG, SHILLONG",793018.0,Director,2.0
Ministry of Ayush,Ministry of Ayush,NEIFM,North Eastern Institute of Folk Medicine,"NEIFM Pasighat  Opp. APST Bus Terminal  High Regio, n  Pasighat  Arunachal Pradesh",791102.0,ADMINISTRATIVE OFFICER,2.0
Ministry of Ayush,Ministry of Ayush,NMPB1,National Medicinal Plants Board,"NMPB  GPO Complex  B-Block , AYUSH Bhawan   Room No.309 , 3rd Floor  INA",110023.0,Chief Executive Officer,2.0
Ministry of Ayush,Ministry of Ayush,PANDE,Director Planning and Education AYUSH,"AYUSH Bhavan  GPO Complex, B Block  INA, New Delhi",110023.0,Director,2.0
Ministry of Ayush,Ministry of Ayush,PATHY,Central Council for Research in Homoeopathy,"61-65 Institutional Area  Opp. D.Block, Janakpuri",110058.0,Director General,2.0
Ministry of Ayush,Ministry of Ayush,PHARM,Pharmacopoeial Laboratory of Inidna Medicine,Kamla Nehru Nagar  Ghaziabad,201002.0,Research Assistant,2.0
Ministry of Ayush,Ministry of Ayush,MDNIY,Morarji Desai National Institute of Yoga,68  Ashok Road,110001.0,Senior Medical Officer,2.0
Ministry of Ayush,Ministry of Ayush,NATUR,National Institute of Naturopathy,BAPU BHAVAN,411001.0,Administrative Officer,2.0
Ministry of Ayush,Ministry of Ayush,IMPCL,INDIAN MEDICINE PHARMACEUTICAL CORPORATION LTD.,"IMPCL  MOHAN  DISTT. ALMORA, (VIA RAMNAGAR), UTTRAKHAND",244715.0,Company Secretary,2.0
Ministry of Ayush,Ministry of Ayush,INDIA,Central Council of Indian Medicine,"61-65 Institutional Area  Opp. D. Block  Janakpuri,  New Delhi",110058.0,Assistant Registrar,2.0
Ministry of Ayush,Ministry of Ayush,IPGTR,Institute of Post Graduate Train and R.A,"Gujarat Ayurved University  Jamnagar, GAU",361008.0,Professor and H.O.D,2.0
Ministry of Ayush,Ministry of Ayush,JTAD1,Joint Advisor Ayurveda DR. KATOCH,"AYUSH BHAVAN  GPO COMPLEX, B BLOCK  INA, NEW DELHI",110023.0,JOINT ADVISOR AYURVEDA,2.0
Ministry of Ayush,Ministry of Ayush,JTAD2,JOINT ADVISOR AYURVEDA,"AYUSH BHAVAN  GPO COMPLEX, B BLOCK INA, NEW DELHI",110023.0,JOINT ADVISOR AYURVEDA,2.0
Ministry of Ayush,Ministry of Ayush,AYURV,National Institute of Ayurveda,"Jorawar Singh Gate  Amer Road  Jaipur,  ,  ",302002.0,Associate Professor,2.0
Ministry of Ayush,Department of Administrative Reforms and Public Grievances,AYUSH,Ministry of Ayush,"AYUSH BHAWAN  B Block  GPO Complex  INA  New Delhi,  NEW DELHI",110023.0,Director,1.0
Ministry of Ayush,Ministry of Ayush,ADVHO,Adviser Homoeopathy,"Ministry of AYUSH, AYUSH BHAWAN",110023.0,Adviser Homoeopathy,2.0
Ministry of Ayush,Ministry of Ayush,AIIAY,ALL INDIA INSTITUTE OF AYURVEDA,"Gautampuri, Mathura Road, Sarita Vihar",110076.0,Associate Professor,2.0
Ministry of Ayush,Ministry of Ayush,ADAY1,Adviser Ayurveda 1,"Ministry of Ayush, INA,  ",,Adviser Ayurveda,2.0
Ministry of Ayush,Ministry of Ayush,ADAY2,Adviser Ayurveda 2,"ministry of ayush, ayush bhawan,  ",,Adviser Ayurveda,2.0
Ministry of Ayush,DEPUTY ADVISOR HOMOEOPATH,CCRH1,Central Council for Research in Homoeopathy,"61-65  Institutional Area D Block, Janakpuri,  ",110058.0,Director General,3.0
Ministry of Ayush,Ministry of Ayush,CCRH2,Central Council for Research in Homoeopathy CCRH,"janakpuri, 61-65  Sewa Marg  Opp D Block  Institutional Area",110058.0,Director General,2.0
Ministry of Ayush,Ministry of Ayush,CCRAS,Central Council for Research in Ayurvedic Scicnces,"61-65 Institutional Area  Opp. d.Block, Janakpuri",110058.0,Director General,2.0
Ministry of Ayush,Ministry of Ayush,CCRSS,CENTRAL COUNCIL FOR RESEARCH IN SIDDHA,"ANNA HOSPITAL CAMPUS, ARUMBAKKAM, CHENNAI",600106.0,Director General,2.0
Ministry of Ayush,Ministry of Ayush,CCRUM,CENTRAL COUNCIL RESEARCH IN UNANI MEDICINE,"Central Council for Research in Unani Medicine, Jawahar Lal Nehru AYUSH Anusandhan Bhawan, 61-65  Institutional Area  Janakpuri  New Delhi",110058.0,Director General,2.0
Ministry of Ayush,Ministry of Ayush,CCRYN,Central Council for Yoga and Naturopathy,"61-65  Institutional Area  Opp. D Block  Janakpuri,   New Delhi",110058.0,Asstt. Director Naturpoathy,2.0
Ministry of Ayush,Ministry of Ayush,CENTR,Central Council of Homoeopathy,Central Council of Homoeopathy,110058.0,Asstt. Secretary,2.0
Ministry of Ayush,Ministry of Ayush,DAADH,DEPUTY ADVISOR HOMOEOPATH,"AYUSH BHAVAN GPO COMPLEX B BLOCK, INA, NEW DELHI",110023.0,DEPUTY ADVISOR HOMOEOPATH,2.0
Ministry of Ayush,Ministry of Ayush,DAEP2,EP-2,"EP-2 Section, Ministry of AYUSH, AYUSH BHAWAN",110023.0,Deputy Advisor Homoeopathy,2.0
Ministry of Ayush,Ministry of Ayush,DICOE,Director COE,"Ministry of AYUSH, Ayush Bhawan,  ",110023.0,Director,2.0
Ministry of Ayush,Ministry of Ayush,DIEP1,EP 1,Ayush Bhawan  B-Block  GPO Complex INA New delhi,110023.0,Director,2.0
Ministry of Ayush,Ministry of Ayush,DIEP2,Director DS EPIM 2,"Ministry of AYUSH , INA, AYUSH Bhawan",110023.0,Under Secretary,2.0
Ministry of Ayush,Ministry of Ayush,DILHT,Director LHT,"ministry of ayush, ayush bhawan,  ",110023.0,Director,2.0
Ministry of Ayush,Ministry of Ayush,DINAM,NATIONAL AYUSH MISSION,"M/O AYUSH, AYUSH BHAWAN GPO COMPLEX, NEW DELHI",110023.0,Dy DIRECTOR GENERAL,2.0
Ministry of Ayush,Ministry of Ayush,DIPHI,Director PHI,"Ministry of AYUSH , AYUSH bhawan B-Block  GPO Complex, INA  New D",110023.0,Director,2.0
Ministry of Ayush,Ministry of Ayush,DIREC,Director DS E and C,"Ministry of AYUSH, AYUSH Bhawan  CGP Complex  B Block, INA",110023.0,Director,2.0
Ministry of Ayush,Ministry of Ayush,DIRPE,DirectorPandE,"ministry of ayush, ayush bhawan,  ",110023.0,Director,2.0
Ministry of Ayush,Ministry of Ayush,DSAD1,DEPUTY SECRETARY ADMIISTRATION,AYUSH BHAVAN  GPO COMPLEX B BLOCK INA NEW DELHI,110023.0,Dy Secretary,2.0
Ministry of Ayush,Ministry of Ayush,DSIEC,Deputy Secretary,"Ministry of AYUSH, AYUSH BHAWAN  INA, B block  GPO Complex",110023.0,Deputy Secretary,2.0
Ministry of Ayush,Ministry of Ayush,DSRCS,DEPUTY SECRETARY RESEARCH COUNCILS,"AYUSH BHAVAN  GPO COMPLEX, B BLOCK INA, NEW DELHI",110023.0,DEPUTY SECRETARY,2.0
Ministry of Ayush,Ministry of Ayush,SCCHE,SENIOR CHIEF CHEMIST,"AYUSH BHAVAN  GPO COMPLEX, B BLOCK INA, NEW DELHI",110023.0,SENIOR CHIEF CHEMIST,2.0
Ministry of Ayush,Ministry of Ayush,SIDDH,National Institute of Siddha,"Department of Kuzhandai Maruthuvam National Instit, ute of Siddha Tambaram Sanatorium  Chennai.",600047.0,Director,2.0
Ministry of Ayush,Ministry of Ayush,UNANI,National Institute of Unani Medicine,"Department of Ilaj Bit Tadbeer, Kottigepalya, Magadi Main Road  Bangalore",560091.0,Director,2.0
Ministry of Ayush,Ministry of Ayush,USICI,INTERNATIONAL CORPORATION,"AYUSH BHAWAN, B BLOCK GPO COMPLEX, INA",110023.0,Adviser,2.0
Ministry of Ayush,Ministry of Ayush,VIDYA,Rashtriya Ayurved Vidyapeeth,Dhanwantari Bhawan  Road No.66  Punjabi Bagh West,110026.0,Director,2.0
Ministry of Ayush,Ministry of Ayush,VIGLA,DIRECTOR VIGILANCE,"M/O AYUSH, AYUSH BHAWAN  GPO COMPLEX , NEW DELHI.",110023.0,DIRECTOR,2.0
DARPG,COMPLAINANT,BADRI,DARPG,"D/o ARPG  5th FLOOR, Sardar Patel Bhawan, New Delhi",110001.0,Under Secretary,0.0
BSES Rajdhani / Yamuna Power Ltd,Department of Power,BSESP,BSES Rajdhani / Yamuna Power Ltd,"BSES Bhavan, Nehru Place, New Delhi",110019.0,Chief Executive Officer.,4.0
COMPLAINANT,COMPLAINANT,C1TZN,COMPLAINANT,"DARPG, DARPG, DARPG",,NIL,0.0
COMPLAINANT,Prime Ministers Office,CICOM,Central Information Commission,"Bhikaji Cama Place, New Delhi",110066.0,REGISTRAR,0.0
COMPLAINANT,Prime Ministers Office,ECOMM,Election Commission,"Ashok Road, New Delhi",,SECRETARY,0.0
COMPLAINANT,,DPG,Directorate of Public Grievances (Cabinet Secretariat),"2nd Floor  Sardar Patel Bhawan, Parliament Street, New Delhi",110001.0,Director,0.0
COMPLAINANT,Prime Ministers Office,COSIR,Council of Scientific and Industrial Research (CSIR),"., .",,SECRETARY,0.0
COMPLAINANT,Prime Ministers Office,ICOAR,Indian Council of Agricultural Research (ICAR),"., .",,SECRETARY,0.0
Cabinet Secretariat(Rashtrapati Bhavan),Department of Pension and Pensioners Welfare,CABRB,Cabinet Secretariat(Rashtrapati Bhavan),"Rashtrapathi Bhawan,  , New Delhi",,Director Admin,0.0
"Cabinet Secretariat,Secretary(R)",Department of Pension and Pensioners Welfare,CABST,"Cabinet Secretariat,Secretary(R)","Bikaner House (Annexe) , Shahjahan Road  , New Delhi",,Director  & Grievance Officer,0.0
O/o the Comptroller & Auditor General of India,Department of Administrative Reforms and Public Grievances,CAGAO,O/o the Comptroller & Auditor General of India,"9  Deen Dayal Upadhayaya Marg , New Delhi,  ",110124.0,Asstt. C. &amp; A. G. N,1.0
O/o the Comptroller & Auditor General of India,O/o the Comptroller & Auditor General of India,CAGAP,AG  Andhra Pradesh,"O/o the Accountnt Generel (A&E), Andhra Pradesh Saifabad, Hyderabad",500004.0,Accountant General,2.0
O/o the Comptroller & Auditor General of India,O/o the Comptroller & Auditor General of India,CAGAS,Accountnt Generel Assam,"O/o the Accountnt Generel (A&E)  Assam, Maidamgaon  Beltola, Guhahati",781029.0,Accountant General,2.0
O/o the Comptroller & Auditor General of India,O/o the Comptroller & Auditor General of India,CAGMG,AG Meghalaya,"O/O Accountant General, Shillong Meghalaya",,Accountant General,2.0
O/o the Comptroller & Auditor General of India,O/o the Comptroller & Auditor General of India,CAGMH,ACCOUNTANT GENERAL MAHARASWHTRA.II NAGPUR,"O/O THE A.G.MAHARASTRA (A&E)-II NAGPUR-, Pin code 440001",440001.0,ACCOUNTANT GENERAL,2.0
O/o the Comptroller & Auditor General of India,O/o the Comptroller & Auditor General of India,CAGWB,"Accountant General,(A&E), West Bengal","O/o the Accountant General (A&E)  West Bengal, Treasury Building No. 2 Govt.Place (West), Kolkata",700001.0,Accountant General,2.0
O/o the Comptroller & Auditor General of India,O/o the Comptroller & Auditor General of India,BH001,Indian audit and accounts department,"Accountant General (AE), Bihar, Patna",800001.0,Sr AO,2.0
O/o the Comptroller & Auditor General of India,O/o the Comptroller & Auditor General of India,AOCAG,INDIAN AUDIT AND ACCOUNTS DEPARTMENTS,"POCKET 9, DEENDAYAL UPADHYAY MARG, NEW DELHI",110124.0,Senior Administrative officer,2.0
O/o the Comptroller & Auditor General of India,O/o the Comptroller & Auditor General of India,AP100,Indian Audit and Accounts Department,"O/o PAG(AE), Andhrapradesh, Hyderabad",500004.0,Sr AO,2.0
O/o the Comptroller & Auditor General of India,O/o the Comptroller & Auditor General of India,AGUP2,ACCOUNTANT GENERAL ( A&E)) II- UP,"o/o THE A.G. (A&E).II-UP  Allahabad, 20 S.N. Marg, U.P",211001.0,ACCOUNTANT GENERAL,2.0
O/o the Comptroller & Auditor General of India,O/o the Comptroller & Auditor General of India,AGBIH,Accountant General   A&E  BIHAR  PATNA,"O/o THE ACCOUNTANT GENERAL (AE), BIHAR   VIRCHAND PATEL MARG  PATNA,  ",800001.0,ACCOUNTANAT GENERAL,2.0
O/o the Comptroller & Auditor General of India,O/o the Comptroller & Auditor General of India,AGGUJ,"ACCOUNTANT GENERAL  A&E GUJARAT, RAJKOT","O/O THE A.G.&#40A&E) GUJARAT  RACE COURSE ROAD, RAJKOT-360 001",360001.0,ACCOUNTANT GENERAL,2.0
C.B.I.,,CBIHQ,C.B.I.,"HQ., Block 3  CGO Complex, New Delhi",110003.0,JD (Admn.),0.0
Central Board of Direct Taxes (Income Tax),Pr. Chief Commissioner of Income Tax (CCA) (Bihar & Jharkhan,CBHAG,Pr. Commissioner of Income Tax Bhagalpur,Katchari Chowk Bhagalpur,812001.0,Pr.CIT Bhagalpur,3.0
Central Board of Direct Taxes (Income Tax),Central Board of Direct Taxes (Income Tax),CBDLI,Pr. Chief Commissioner of Income Tax Delhi-I,"Pr.CCIT  Delhi. Central Revenue Building I.P. Esta, te  New Delhi-110002.",110002.0,Pr.CCIT,2.0
Central Board of Direct Taxes (Income Tax),Central Board of Direct Taxes (Income Tax),CBDPA,Pr. Chief Commissioner of Income Tax (CCA) (Bihar & Jharkhan,"PRINCIPAL CHIEF COMMISSIONER OF INCOME TAX PATNA C, ENTRAL REVENUE BUILDING  BIRCHAND PATEL MARG PATNA, -800 001",800001.0,Pr CCIT Bihar and Jharkhand,2.0
Central Board of Direct Taxes (Income Tax),Central Board of Direct Taxes (Income Tax),CBDSU,CHIEF COMMISSIONER OF INCOME TAX SURAT,"CHIEF COMMISSIONER OF INCOME TAX  SURAT, AAYAKAR BHAWAN   MAJURA GATE , SURAT",395001.0,CCIT,2.0
Central Board of Direct Taxes (Income Tax),CIT EXEMPTIONS JAIPUR,CBDT1,income tax E Range Jaipur,"IIIrd Floor  Kailash Heights  Tonk Road  Lal Kothi,   Jaipur",302015.0,JCIT,4.0
Central Board of Direct Taxes (Income Tax),Central Board of Direct Taxes (Income Tax),CBDJO,CHIEF COMMISSIONER OF INCOME TAX JODHPUR,"CHIEF COMMISSIONER OF INCOME TAX JODHPUR, AAYAKAR BHAWAN  PAOTA  C ROAD , JODHPUR",342010.0,CCIT,2.0
Central Board of Direct Taxes (Income Tax),Income Tax Deptt.,CBDTD,CIR61,"389-A  C.R. BUILDING  I.P. ESTATE,  ,  ",110002.0,DCIT Cir 6 1,5.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX BANGALORE,CBEN1,"Commissioner of Income Tax, Bangalore-I","BMTC COMPLEX, 80 FEET ROAD  6TH BLOCK, KORAMANGALA  BENGALURU",560095.0,Pr.Commissioner of Income Tax1,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX BANGALORE,CBEN2,"Commissioner of Income Tax, Bangalore-II","BMTC COMPLEX, 80 FEET ROAD  6TH BLOCK, KORAMANGALA  BENGALURU",560095.0,Pr.Commissioner of Income Tax2,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX BANGALORE,CBEN3,"Commissioner of Income Tax, Bangalore-III","5th Floor  BMTC BUILDING, 80 Feet Road  6th Block, Kormangala  Bengaluru",560095.0,Pr.Commissioner of Income Tax,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX BANGALORE,CBEN4,"Commissioner of Income Tax, Bangalore-IV","5th Floor  BMTC Commercial Complex, 80 Ft. Road  6th Block , Koramangala  Bengaluru",560095.0,Pr. Commissioner of Income Tax,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX BANGALORE,CBEN5,"Commissioner of Income Tax, Bangalore-V","AAYKAR BHAVAN  BMTC BUILDING, 80 FEET ROAD  KORAMANGALA, BANGALORE",560095.0,Pr.Commissioner of Income Tax,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX INDORE,CAUJN,COMMISSIONER OF INCOME TAX APPEAL UJJAIN,"AAYKAR BHAWAN, BHARAT PURI, UJJAIN",456019.0,COMMISSIONER OF INCOME TAX,3.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax TDS Ahmedabad,CBOBT,Addl Commissioner of Incometax TDS Ahmedabad,"Room No. A/111  1st Floor , Navjivan Press Building Compound, Off Ashram Road",380014.0,ADDITIONAL COMMISSIONER,4.0
Central Board of Direct Taxes (Income Tax),Department of Administrative Reforms and Public Grievances,CBODT,Central Board of Direct Taxes (Income Tax),"4th Floor  Mayur Bhawan  Connaught Circus  New Del, hi",110001.0,Addl. Director E-Services,1.0
Central Board of Direct Taxes (Income Tax),Central Board of Direct Taxes (Income Tax),CBPUN,"Principal Chief Commissioner of Income Tax, Pune","Pr. CHIEF COMMISSIONER OF INCOME TAX PUNE AAYAKAR , BHAWAN  12  SADHU VASWANI CHOWK PUNE-411 001",411001.0,Pr. CCIT,2.0
Central Board of Direct Taxes (Income Tax),Central Board of Direct Taxes (Income Tax),CBTHA,CHIEF COMMISSIONER OF INCOME TAX THANE,"ASHAR IT PARK  6TH FLOOR , ROAD NO.16Z  WAGLE INDUSTRIAL ESTATE , THANE WEST",400604.0,CCIT,2.0
Central Board of Direct Taxes (Income Tax),Addl CIT R 11 Kol,CC111,CIRCLE-11.1,"AAYAKAR BHAWAN  6TH FLOOR , P-7  CHOWRINGHEE SQUARE , KOLKATA-700069",700069.0,DCIT CIRCLE-11.1 KOL,6.0
Central Board of Direct Taxes (Income Tax),Addl CIT R 11 Kol,CC112,CIRCLE-11.2 KOLKATA,"AAYAKAR BHAWAN  6TH FLOOR, P-7  CHOWRINGHEE SQUARE, KOLKATA-700069",700069.0,DCIT CIRCLE-11.2 KOLKATA,6.0
Central Board of Direct Taxes (Income Tax),RANGE 12 HYDERABAD,CC121,Circle 12 1 Hyderabad,"I Floor Aayakar Bhawan, Basheerbagh, Hyderabad",500004.0,Circle 12 1 Hyderabad,5.0
Central Board of Direct Taxes (Income Tax),CENTRAL RANGE CHANDIGARH,CC2CH,DCIT. CC 2 CHANDIGARH,"CR BUILDING  SECTOR-17E  CHANDIGARH, CR BUILDING  SECTOR-17E  CHANDIGARH",160017.0,Dy. Commissioner of Income Tax,6.0
Central Board of Direct Taxes (Income Tax),CENTRAL RANGE GURGAON,CC2FB,CENTRAL CIRCLE 2 FARIDABAD,NEW CGO COMPLEXNH - IVFARIDABAD,121001.0,ACIT,6.0
Central Board of Direct Taxes (Income Tax),CENTRAL RANGE GURGAON,CC2GG,CENTRAL CIRCLE 2 GURGAON,"HSIIDC BUILDING  3RD FLOOR, UDYOG VIHAR PHASE-V, GURGAON",122016.0,DCIT,6.0
Central Board of Direct Taxes (Income Tax),ADDL CIT CENTRAL RANGE JAIPUR,CC2JP,CENTRAL CIRCLE2JAIPUR,"NA105 NCR JAIPUR, jaipur, jaipur",302005.0,DCIT,6.0
Central Board of Direct Taxes (Income Tax),"Principal Chief Commissioner of Income Tax, Pune",CC2PN,"Chief Commissioner of Income Tax, PUNE-II","Aayakar Bhawan Ground Floor 12  Sadhu Vaswani Road,   PUNE",411001.0,CCIT PUNE,3.0
Central Board of Direct Taxes (Income Tax),Pr. Commissioner of Income Tax Delhi-V,CC152,Circle 15 2,"R. N. 321  C R Building,  ,  ",,ACIT,4.0
Central Board of Direct Taxes (Income Tax),CENTRAL RANGE CHANDIGARH,CC1CH,Central Circle 1 Chandigarh,"CR Building  Ground Floor, Sector-17E  Chandigarh,  ",160017.0,DCIT,6.0
Central Board of Direct Taxes (Income Tax),CENTRAL RANGE GURGAON,CC1FB,CENTRAL CIRCLE 1 FARIDABAD,"NEW CGO COMPLEX, NH-IV, FARIDABAD",121001.0,Jt. CIT,6.0
Central Board of Direct Taxes (Income Tax),CENTRAL RANGE GURGAON,CC1GG,CENTRAL CIRCLE 1 GURGAON,"HSIIDC BUILDING  3RD FLOOR, UDYOG VIHAR PHASE-V, GURGAON",122016.0,JT. CIT,6.0
Central Board of Direct Taxes (Income Tax),ADDL CIT CENTRAL RANGE JAIPUR,CC1JP,INCOME TAX,"INCOME TAX OFFICE, STATUE CIRCLE, JAIPUR",302005.0,DCIT,6.0
Central Board of Direct Taxes (Income Tax),Chief Commissioner of Income Tax 4,CCA17,Commissioner of Income Tax Appeal 17,"Bandra Kurla Complex, Mumbai,  ",400051.0,CIT APPEAL 17,4.0
Central Board of Direct Taxes (Income Tax),CENTRAL RANGE KANPUR,CCAGR,ACIT CENTRAL CIRCLE AGRA,AAYAKAR BHAWAN 1ST FLOOR SANJAY PLACE  AGRA,282002.0,DY. COMMISSIONER INCOME TAX,6.0
Central Board of Direct Taxes (Income Tax),CENTRAL RANGE KANPUR,CCALG,DCIT CENTRAL CIRCLE ALIGARH,"O/O DY.COMMISSIONER OF INCOME TAX CENTRAL CIRCLE, MERRIS ROAD, ALIGARH",202001.0,DY.COMMISSIONER OF INCOME TAX,6.0
Central Board of Direct Taxes (Income Tax),ADDL CIT CENTRAL RANGE JAIPUR,CCALW,Central Circle Alwar,"Moti Dungari Road  Alwar, alwar, alwar",301001.0,ACIT,
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX CHANDIGARH,CCASR,CCIT AMRITSAR,"AAYAKAR BHAWAN, MAKBOOL ROAD, AMRITSAR",143001.0,CHEIF COMMISSIONER OF IT,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX BANGALORE,CCBN1,CCIT  1,CR BUILDING QUEENS ROAD BANGALURU,560001.0,CCIT  1,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX BANGALORE,CCBN2,CCIT 2,C.R.BUILDING QUEENS ROAD BANGALORE,,CCIT 2,3.0
Central Board of Direct Taxes (Income Tax),CENTRAL RANGE 4,CCC13,CENTRAL CIRCLE 13,"DELHI,  ,  ",,ACIT,5.0
Central Board of Direct Taxes (Income Tax),CENTRAL RANGE 4,CCC14,CENTRAL CIRCLE 14,"DEHLI,  ,  ",110001.0,DCIT,5.0
Central Board of Direct Taxes (Income Tax),CENTRAL RANGE 4,CCC15,CENTRAL CIRCLE 15,"DELHI,  ,  ",,ACIT,5.0
Central Board of Direct Taxes (Income Tax),CENTRAL RANGE 4,CCC16,CENTRAL CIRCLE 16,"DELHI,  ,  ",,ACIT,5.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX AHMEDABAD,CAMD1,Commissioner of Income Tax Ahmedabad I,"Pratyaksh Kar Bhawan  Panjrapola  Ambawadi  Ahmeda, bad,  ",380009.0,Pr. CIT1,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX AHMEDABAD,CAMD2,Commissioner of Income Tax Ahmedabad 2,409   AAYAKAR BHAVAN VEJALPUR  Ahmedabad,380014.0,PR CIT-2,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX AHMEDABAD,CAMD3,Commissioner of Income Tax Ahmedabad 3,"C-411  4th floor Pratyaksh Kar Bhawan , Panjrapola  Ambawadi , Ahmedabad",380009.0,Pr.Commissioner of Income Tax3,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX AHMEDABAD,CAMD4,Commissioner of Income Tax Ahmedabad IV,"Room No. C-311  PratyakshKar Bhawan  Panjrapol  Am, bawadi  Ahmedabad",380009.0,PR. CIT 4 AHMEDABAD,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX AHMEDABAD,CAMD5,Commissioner of Income Tax Ahmedabad V,"Narayan Chambers , Ashram Road , Ahmedabad",380009.0,Principal CIT Ahmedabad 5,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX AHMEDABAD,CAMD6,Commissioner of Income Tax Ahmedabad VI,"Narayan Chambers , Ashram Road , Ahmedabad",380009.0,Pr.CIT6,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX AHMEDABAD,CAMD7,Commissioner of Income Tax Ahmedabad VII,Nature View Building  Ashram Road Ahmedabad,380014.0,Pr.CIT7,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CAL01,"Commissioner of Income Tax, Kolkata-01","7TH FLOOR  AAYKAR BHAWAN , P-7  CHOWRINGHEE SQUARE, KOLKATA",700069.0,PCIT1 Additional Charge,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KOLKATA,CAL02,"Commissioner of Income Tax, Kolkata-02",Aayakar Bhawan  P-7  Chowringhee Square  Kolkata,700069.0,PCIT 2 KOLKATA,3.0
