Apex Ministry/Dept/State,Parent of Organisation,org_code,org_name,contact_address1,contact_address2,contact_address3,pincode,pg_officer_desig,Organisation levels
Government of Gujarat,Director of Animal Husbundry,JDHQ2,JOINT DIRECTOR ANIMAL HUSBANDRY,DIRECTORATE OF ANIMAL HUSBANDRY,DEPT. OF ANIMAL HUSBANDRY,SECTOR 10/A  KRISHIBHAVAN  GANDHINAGAR,382010,JOINT DIRECTOR OF AH,5
Government of Gujarat,Director of Animal Husbundry,JDHQ3,JOINT DIRECTOR -ICDP,DIRECTORATE OF ANIMAL HUSBANDRY,DEPT. OF ANIMAL HUSABANDRY,SECTOR 11/A  KRISHI BHAVAN  GANDHINAGAR,382010,JOINT DIRECTOR  OF AH,5
Government of Gujarat,Director of Animal Husbundry,JDHQ4,JOINT DIRECTOR STATISTICS,DIRECTORATE OF ANIMAL HUSBANDRY,DEPT OF ANIMAL HUSBANDRY,SECTOR 10/A   KRISHI BHAVAN  GANDHINAGAR,382010,JOINT DIRECTOR OF AH,5
Government of Gujarat,Director of Animal Husbundry,JDHQ5,JOINT DIRECTOR-DAIRY,JOINT DIRECTOR-DAIRY,KRISHI BHAVAN  SECTOR 10 A,GANDHINAGAR,382010,JOINT DIRECTOR,5
Government of Gujarat,DISTRICT OFFICE,JFRCO,nagar sevasadan Jafarabad,nagar sevasadan Jafarabad,Jafarabad, ,NA,Chief officer,6
Government of Gujarat,Regional Commissioner Rajkot,JET11,Jetpur Nagarpalika,Swami Vivekanand BHavan,Tinbati chowk,Jetpur,360370,Chief Officer,6
Government of Gujarat,Regional Commissioner Rajkot,JET12,Jetpur Nagarpalika,Swami vivekanand bhavan,Tinbati Chowk,Jetpur,360370,Chief Officer,6
Government of Gujarat,Regional Commissioner Rajkot,JET13,Jetpur Nagarpalika,Swami vivekanand bhavan,Tinbati chowk,Jetpur,360370,Chief Officer,6
Government of Gujarat,Rajkot Regional Commissioner,JET14,Jetpur Nagarpalika,Swami vivekanand bhavan,Tinbati chowk,Jetpur,360370,Chief Officer,6
Government of Gujarat,Rajkot DMO,JETCO,nagar sevasadan Jetpur,nagar sevasadan Jetpur,Jetpur, ,NA,Chief officer,6
Government of Gujarat,Gujarat Urban Development Mission,JETP1,JETPUR NAGARPALIKA,SWAMI VIVEKANAND BHAVAN,TIN BATI CHOWK ,JETPUR,360370,CHIEF OFFICER,5
Government of Gujarat,Gujarat Pollution Control Board,JETPG,GUJARAT POLLUTION CONTROL BOARD,Nr. Balaji Society  Dhoraji Road  Jetur.,NA,NA,NA,REGIONAL OFFICER,5
Government of Gujarat,Gujarat Urban Development Mission,JETPU,Jetpur Nagarpalica,Jetpur Nagarpalica, , ,NA,Chief Officer,5
Government of Gujarat,Gujarat Pollution Control Board,JETUH,GUJARAT POLLUTION CONTROL BOARD,SECTOR-10/A   PARYAVARAN BHAVAN  GANDHINAGAR,NA,NA,382010,UNIT HEAD,5
Government of Gujarat,Collector Office Jamnagar,JM100,Prant Office Jamnagar Rural,Prant Office,Mahesul Seva Sadan,Saru Section Road  Jamnagar,361002,Prant Officer Jamnagar Rural,4
Government of Gujarat,Collector Office Jamnagar,JM101,Prant Office Jamnagar City,Mehsul Seva Sadan,Saru Section Road,Jamnagar,361008,Prant Officer Jamnagar City,4
Government of Gujarat,Collector Office Jamnagar,JM102,Prant Office Dhrol,Prant Office Dhrol,Rajkot Highway,Dhrol,361210,Prant Officer Dhrol,4
Government of Gujarat,Collector Office Jamnagar,JM103,Prant Office Lalpur,Prant Office,Lalpur, ,361170,Prant Officer Lalpur,4
Government of Gujarat,Gujarat Urban Livelihood Mission,JM111,jamnagar,jamnagar, , ,NA,DMO,5
Government of Gujarat,DISTRICT OFFICE,JMBCO,nagar sevasadan Jambusar,nagar sevasadan Jambusar,Jambusar, ,NA,Chief officer,6
Government of Gujarat,Regional Commissioner Surat,JMBNP,Jambusar Nagarpalika,UPALIVAT                    AT-JAMBUSAR       DIST, , ,392150,Chief Officer,6
Government of Gujarat,HOUSING,JMC01,Jamnagar Muncipla Corporation,Jamnagar Muncipla Corporation, , ,NA,MIS Specialist,4
Government of Gujarat,CORPORATIONS,JMC05,Jamnagar Municipal Corporation,Jamnagar,NA,NA,NA,Municipal Commissioner,4
Government of Gujarat,TOWN PLANNIG,JMC10,Jamnagar Municipal Corporation,Jubilee Garden ,Jamnagar, ,NA,Municipal Commissioner,4
Government of Gujarat,Collector Office Jamnagar,JM200,Mamlatdar Office Jamnagar Rural,Mamlatdar Office Jamnagar Rural,Saru Section Road,Jamnagar,361008,Mamlatdar Jamnagar Rural,4
Government of Gujarat,Collector Office Jamnagar,JM201,Mamlatdar Office Jamnagar Citi,Mamlatdar Office Jamnagar City,Saru Section Road,Jamnagar,361008,Mamlatdar Jamnagar City,4
Government of Gujarat,Collector Office Jamnagar,JM202,Mamlatdar Office Kalavad,Taluka Seva Sadan,Mamlatdar Office,Kalavad,361160,Mamlatdar Kalavad,4
Government of Gujarat,Collector Office Jamnagar,JM203,Mamlatdar Office Dhrol,Taluka Seva Sadan,Mamlatdar Office,Dhrol,361210,Mamlatdar Dhrol,4
Government of Gujarat,Collector Office Jamnagar,JM204,Mamlatdar Office Jodiya,Taluka Seva Sadan,Mamlatdar Office,Jodiya,NA,Mamlatdar Jodiya,4
Government of Gujarat,Collector Office Jamnagar,JM205,Mamlatdar Office Lalpur,Taluka Seva Sadan,Mamlatdar Office,lalpur,361170,Mamlatdar Lalpur,4
Government of Gujarat,Collector Office Jamnagar,JM206,Mamlatdar Office Jamjodhpur,Taluka Seva Sadan,Mamlatdar Office,Jamjodhpur,360530,Mamlatdar Jamjodhpur,4
Government of Gujarat,Gujarat Urban Development Mission,JMCO1,JUNAGADH MUNICIPAL CORPORATION,JUNAGADH, , ,NA,IAS,5
Government of Gujarat,Affordable Housing Mission,JMCPG,JAMNAGAR MUNICIPAL CORPORATION,JAMNAGAR MUNICIPAL CORPORATION GOVERNMENT COLONY  ,JUBILEE GARDEN  JAMNAGAR,NA,361001,MIS EXPERT,5
Government of Gujarat,ICDS Commissionerate,JMCPO,Programme Officer,Programme officer,Jamnagar Municipal Corporation,Jamnagar,NA,Programme officer,4
Government of Gujarat,HOUSING,JMCUD,Municipal Corporation  Junagadh,120  Engineering  Branch ,First  Floor  Swami vive,Junagadh.,362001,Computer Operator,4
Government of Gujarat,SLBC,JMDCB,The Jamnagar District Co-op Bank Ltd.,SAHKAR BHAVAN,RANJIT ROAD,JAMNAGAR,361001,Assistant Inspector,5
Government of Gujarat,Home Department,JMRSP,SP Jamnagar,Superintendent of Police,Jamnagar, ,NA,SP Jamnagar,3
Government of Gujarat,Affordable Housing Mission,JMUDD,JAMNAGAR MUNICIPAL CORPORATION,JAMNAGAR, , ,NA,ENGINEER,5
Government of Gujarat,Regional Commissioner Rajkot,JMJ11,Jamjodhpur Nagarpalika,Jam Jodhpur Municipality  Dr. Ambedakar Bhawan   G, , ,360530,Chief Officer,6
Government of Gujarat,Regional Commissioner Rajkot,JMJ12,Jam Jodhpur Municipality,Jam Jodhpur Municipality  Dr. Ambedakar Bhawan   G, , ,360530,Chief Officer,6
Government of Gujarat,Regional Commissioner Rajkot,JMJ13,Jam Jodhpur Nagarpalika,Dr. Ambedakar Bhawan ,Dr. Ambedakar Bhawan ,Dist. Jamnagar ,360530,Chief Officer,6
Government of Gujarat,Mahatma Gandhi Swatchchta Mission Urban,JMDMO,DISTRICT OFFICE,JAMANAGAR DIST. OFFICE,JAMANAGAR, ,NA,DMO,5
Government of Gujarat,CONTROLLER LEGAL METROLOGY,JMN15,ACLM JAMNAGAR,Office of the Asstt.Controller of Legal Metrology,4-Seva Sadan  Block No.15  Nr. Raj Park,Jamnagar-Rajkot Highway  Jamnagar,361005,ACLM Jamnagar,4
Government of Gujarat,Gujarat Urban Development Mission,JMNC1,JAMNAGAR MUNICIPAL CORPORATION,JAMNAGAR MUNICIPAL CORPORATION, , ,361001,IAS,5
Government of Gujarat,Executive Engineer Tech PGVCL,JMNCO,DE JAMNAGAR CIRCLE,Nr Lal bunglow,Jamnagar, ,361001,DE JAMNAGAR CIRCLE,6
Government of Gujarat,Swachchh Bharat Misssion Urban,JMNDM,JAMNAGAR DMO,JAMNAGAR DMO OFFICE, , ,NA,DMO,5
Government of Gujarat,Commissionr Kutir and Gramodhyog,JMNGM,DIC Jamanagar,Lal Bungalow Compound ,2d Floor ,MS Building ,361001,General Manager,4
Government of Gujarat,Gujarat Urban Livelihood Mission,JMNNU,JAMNAGARCORPORATION,JAMNAGAR CORPORATION, , ,NA,Project Officer,5
Government of Gujarat,Regional Commissioner Surat,JMNP2,Jambusar Nagarpalika,UPALIVAT                    AT-JAMBUSAR       DIST, , ,392150,Chief Officer,6
Government of Gujarat,Regional Commissioner Surat,JMNP3,Jambusar Nagarpalika,UPALIVAT                    AT-JAMBUSAR       DIST, , ,392150,Chief Officer,6
Government of Gujarat,RCM Surat,JMNP5,Jambusar Nagarpalika,UPALIVAT  AT-JAMBUSAR  DIST ,..,NA,NA,Chief Officer,6
Government of Gujarat,Mahatma Gandhi Swatchchta Mission Urban,JNDMO,DISTRICT OFFICE,JUNAGADH DIST OFFICE,JUNAGADH, ,NA,DMO,5
Government of Gujarat,Saurashtra University,JODAN,Affiliation Section,Saurashtra University,University Road,RAJKOT,360005,Section Officer,5
Government of Gujarat,Gujarat Urban Livelihood Mission,JN111,junagadh,junagadh, , ,NA,DMO,5
Government of Gujarat,CORPORATIONS,JNC07,Junagadh Municipal Corporation,Junagadh,NA,NA,NA,Municipal Commsioner,4
Government of Gujarat,Executive Engineer Tech PGVCL,JNDCO,DE JUNAGADH CIRCLE,Vij Seva Sadan MG Road  Aazad chowk Junagadh,NA,NA,362001,DE JUNAGADH CIRCLE,6
Government of Gujarat,Gujarat Urban Livelihood Mission,JNGNU,JUNAGADH CORPORATION,JUNAGADH CORPORATION, , ,NA,AMC,5
Government of Gujarat,ICDS Commissionerate,JNGPO,Programme Officer,Programme Officer,District Panchayat,Junagadh,362001,Programme officer,4
Government of Gujarat,Gujarat Pollution Control Board,JNGUH,GUJARAT POLLUTION CONTROL BOARD,SECTOR-10/A   PARYAVARAN BHAVAN  GANDHINAGAR, , ,382010,UNIT HEAD,5
Government of Gujarat,Mahatma Gandhi Swatchchta Mission Urban,JNGDM,Junagadh DMO,Junagadh DMO Office,Junagadh, ,NA,DMO,5
Government of Gujarat,Commissionr Kutir and Gramodhyog,JNGGM,DIC Junagadh,Sardar Baug ,Junagadh, ,362001,General Manager,4
Government of Gujarat,Mahatma Gandhi Swatchchta Mission Urban,JLDCO,Zalod Nagarpalika,Zalod Nagarpalika Office,Dahod, ,NA,Chief Officer,5
Government of Gujarat,DAHOD DMO,JLDNP,ZALOD NAGARPALIKA,ZALOD NAGARPALIKA OFFICE,DAHOD, ,NA,Chief Officer,6
Government of Gujarat,dahod,JLDNU,ZALOD Nagarpalika Office,ZALOD, , ,NA,Chief Officer,6
Government of Gujarat,SLBC,JJSCB,THE JUNAGADH JILLA SAHAKARI BANK LTD.,SHRI LILABHAI SIDIBHAI KHUNTI SAHAKAR BHAVAN,2ND FLOOR OPP.S.T.STATION,JUNAGADH,362001,DEPUTY MANAGER LOANS,5
Government of Gujarat,JAMNAGAR DMO,JJMCO,nagar sevasadan Jamjodhpur,nagar sevasadan Jamjodhpur,Jamjodhpur, ,NA,Chief officer,6
Government of Gujarat,MSME Commissionerate,JICIM,IM BRANCH,INDUSTRIES COMMISSIONERATE BLOCK NO 1/2 3RD FLOOR,UDHYOG BHAVAN GANDHINAGAR,GANDHINAGAR,382011,JOINT COMMISSIONER,5
Government of Gujarat,Mahatma Gandhi Swatchchta Mission Urban,JJPCO,Jamjodhpur Nagarpalika,Jamjodhpur Nagarpalika Office,Jamnagar, ,NA,Chief Officer,5
Government of Gujarat,JAMNAGAR DMO,JJPNP,JAMJODHPUR NAGARPALIKA,JAMJODHPUR NAGARPALIKA OFFICE,JAMANAGAR, ,NA,Chief Officer,6
Government of Gujarat,JAMNAGARCORPORATION,JJPNU,JAMJODHPUR NAGARPALIKA,JAMJODHPUR NAGARPALIKA, , ,NA,Chief Officer,6
Government of Gujarat,Directorate of Employment and Training,ITCBO,IT Cell Branch DET Office,Block No.1 3rd Floor ,Dr.Jivraj Mehta Bhavan,Gandhinagar,382010,Employment Officer,5
Government of Gujarat,BUDGET PLANNING HFWD,ISMH1,Dy Dire. Indian Systems of Medicine and Homeopathy,Block No. 5/1  Dr. Jivraj Maheta Bhavan,Gandhinagar,Gujarat,382010,Dy. Director,4
Government of Gujarat,Science and Technology Department,ISRBT,Institute of Seismological Research,Next to Pandit Deendayal Petroleum University  Rai,Gandhinagar, ,382009,Director General,3
Government of Gujarat,District Development Officer Amreli,IRRIA,Irrigation Branch,Irrigation Branch,District Panchayat,Amreli,365601,Executive Engineer,4
Government of Gujarat,SLBC,IOBGJ,INDIAN OVERSEAS BANK,Region Office  Opp Handloom House,Chinubhai Tower   Ashram Road,AHMEDABAD,380009,SENIOR MANAGER,5
Government of Gujarat,Mahatma Gandhi Swatchchta Mission Urban,JBDCO,Jafarabad Nagarpalika,Jafarabad Nagarpalika,Amreli, ,NA,Chief Officer,5
Government of Gujarat,Amreli DMO,JBDNP,JAFRABAD NAGARPALIKA,JAFRABAD NAGARPALIKA OFFICE,AMRELI, ,NA,Chief Officer,6
Government of Gujarat,AMRELI,JBDNU,JAFRABAD Nagarpalika Office,JAFRABAD, , ,NA,Chief Officer,6
Government of Gujarat,Mahatma Gandhi Swatchchta Mission Urban,JBRCO,Jambusar Nagarpalika,Jambusar Nagarpalika Office,Bharuch, ,NA,Chief Officer,5
Government of Gujarat,Bharuch DMO,JBRNP,Jambusar Nagarpalika,Jambusar Nagarpalika,Bharuch, ,NA,Chief Officer,6
Government of Gujarat,Bharuch DMO,JBRNU,Jambusar Nagarpalika,Jambusar, , ,NA,Chief Officer,6
Government of Gujarat,industries commissioner,JCCOR,COORDINATION BRANCH,COORDINATION BRANCH  Industries Commissioner offic,Udyog bhavan  Gandhinagar,NA,382010,Dy. Commissioner of Industries,5
Government of Gujarat,industries commissioner,JCACT,Account Branch,Account Branch  Industries Commissioner office ,Udyog Bhavan  Gandhinagar,NA,382010,Joint Director Account,5
Government of Gujarat,industries commissioner,JCADM,Administrative Branch,Administration Branch ,Industries Commissioner office,udyog Bhavan  Gandhinagar,382010,Joint Commissioner of Industri,5
Government of Gujarat,industries commissioner,JCEST,Establishment branch,Establishment Branch  Industries Commissioner offi,Udyog bhavan  Gandhinagar,NA,382010,Jt. Commissioner of Industries,5
Government of Gujarat,industries commissioner,JCINF,Infrastructure Branch,Infrastructure Branch  Industries Commissioner off,4th floor  Block no 1 2  udyog bhavan ,Gandhinagar,382010,Jt. Commissioner of Industries,5
Government of Gujarat,Industries Commissioner,JCIFR,INDUSTRIES COMMISSIONERATE,BLOCK 1 4TH FLOOR,UDYOG BHAVAN,GANDHINAGAR,382017,JT. COMMISSIONER OF INDUSTRIES,5
Government of Gujarat,industries commissioner,JCIIM,Industrial monitoring Branch,Industrial Monitoring Branch ,Industries Commissioner Office  Block No 1,3rd Floor  Udyog Bhavan Gandhinagar,382010,Jt. Commissioner of Industries,5
Government of Gujarat,industries commissioner,JCLRG,LARGE BRANCH,LARGE BRANCH ,INDUSTRIES COMMISSIONER OFFICE,UDYOG BHAVAN  GANDHINAGAR,382010,JOINT COMMISSIONER OF INDUSTRI,5
Government of Gujarat,industries commissioner,JCMSD,MSME DEVELOPMENT BRANCH,MSME DEVELOPMENT BRANCH,INDUSTRIES COMMISSIONER OFFICE,UDYOG BHAVAN   GANDHINAGAR,382010,JOINT COMMISSIONER OF INDUSTRI,5
Government of Gujarat,industries commissioner,JCMSI,MSME INCENTIVE BRANCH,MSME INCENTIVE BRANCH ,INDUSTRIES COMMISSIONER OFFICE,UDYOG BHAVAN  GANDHINAGAR,382010,Asst. Comm of Ind.,5
Government of Gujarat,industries commissioner,JCISP,CSPO BRANCH,CSPO BRANCH  INDUSTRIES COMMISSIONER OFFICE,UDYOG BHAVAN  GANDHINAGAR, ,382010,JOINT COMMISSIONER OF INDUSTRI,5
Government of Gujarat,Industries Commissioner,JCSLT,INDUSTRIES COMMISSIONERATE,BLOCK NO. 1  3RD FLOOR ,UDYOG BHAVAN,GANDHINAGAR,382011,Jt. COMMISSIONER OF INDUSTRIES,5
Government of Gujarat,MSME Commissionerate,JCSPO,CSPO,INDUSTRIES COMMISSIONERATE BLOCK NO 1/2 5TH FLOOR,UDHYOG BHAVAN GANDHINAGAR,GANDHINAGAR,382011,JOINT COMMISSIONER,5
Government of Gujarat,Regional Commissioner Bhavnagar,JAFNP,Jafarabad Nagarpalika,Tower Choak ,Jafarabad., ,365540,Chief Officer,6
Government of Gujarat,Gujarat Urban Development Mission,JAFA1,Jafarabad nagarpalika,Jafarabad nagarpalika, , ,NA,chief officer,5
Government of Gujarat,Regional Commissioner Bhavnagar,JAFAR,Jafarabad Nagarpalika,Tower Choak ,Jafarabad., ,365540,Chief Officer,6
Government of Gujarat,Affordable Housing Mission,JADPG,JAMNAGAR AREA DEVELOPMENT AUTHORITY,JAMNAGAR AREA DEVELOPMENT AUTHORITY OFFICE,Patrakar Colony,Jamnagar,361001,H.O.D. CIVIL DEPARTMENT,5
Government of Gujarat,Town Planning and Valuation Department CTPG1,JADA1,Jamnagar Area Development Authority,Dr.Hadgewar Commercila Comples ,Sat Rasta Circle ,Jamnagar,361001,CEA,5
Government of Gujarat,OFFICE OF CHIEF TOWN PLANNER,JADA2,Jamnagar Area Development Authority,Hedgewar Commercial Complex ,Sat Rasta Circle ,Jamnagar,361001,Chief Executive Officer,5
Government of Gujarat,TOWN PLANNIG,JADA3,Jamnagar Area Development Authority,Dr. Hedgewar Commercial Complex  Sat Rasta Circle ,Jamnagar, ,361001,Chief  Executive Officer,4
Government of Gujarat,Regional Commissioner Rajkot,JAS11,Jasdan Nagarpalika,CHHATRI BAJAR  JUNI MAMLATDAR OFFICE  JASDAN, , ,360050,Chief Officer,6
Government of Gujarat,Regional Commissioner Rajkot,JAS12,Jasdan Nagarpalika,CHHATRI BAJAR  JUNI MAMLATDAR OFFICE  JASDAN, , ,360050,CHIEF OFFICER,6
Government of Gujarat,Regional Commissioner Rajkot,JAS13,Jasdan Nagarpalika,CHHATRI BAJAR  JUNI MAMLATDAR OFFICE  JASDAN, , ,360050,Chief Officer,6
Government of Gujarat,Rajkot Regional Commissioner,JAS14,Jasdan Nagarpalika,CHHATRI BAJAR  JUNI MAMLATDAR OFFICE  JASDAN, , ,360050,Chief Officer,6
Government of Gujarat,Gujarat Urban Development Mission,JASD1,Jasdan Nagarpalica,Jasadan Nagarpalica, , ,NA,Chief Officer,5
Government of Gujarat,ICDS Commissionerate,JAMPO,Programme officer,Programme Officer,District Panchayat,Jamnagar,NA,Programme Officer,4
Government of Gujarat,Agriculture and cooperation Dpt JS,JAU01,Junagadh Agricultural University,Registrar,Junagadh Agricultural University,Motibaug  Junagadh.,362001,Registrar,4
Government of Gujarat,Gujarat Pollution Control Board,JAMUH,GUJARAT POLLUTION CONTROL BOARD,SECTOR-10/A   PARYAVARAN BHAVAN  GANDHINAGAR, , ,382010,UNIT HEAD,5
Government of Gujarat,DIRECTOR OF SCHEDULE CASTE,JAMSW,DISTRICT  SOCIAL WELFARE OFFICER,District Social Welfare Officer,Social Welfare Branch  District Panchayat Office,Jamnagar,NA,SOCIAL WELFARE OFFICER,5
Government of Gujarat,industries commissioner,JAMGM,District Industries Center Jamnagar,District Industries Center Jamnagar,Lal Bunglow Compound  2nd Floor ,MS Building  Jamnagar,361001,General Manager,5
Government of Gujarat,Gujarat Urban Development Mission,JAMJ1,Jamjodhpur Nagarpalika,Jamjodhpur Nagarpalika, , ,NA,Chief Officer,5
Government of Gujarat,DEVBHUMIDWARKA DMO,JAMCO,nagar sevasadan Jamraval,nagar sevasadan Jamraval,Jamraval, ,NA,Chief officer,6
Government of Gujarat,Gujarat Urban Development Mission,JAMRA,JAMRAVAL NAGAPALIKA,JAMRAVAL NAGAPALIKA, , ,NA,CHIEF OFFICER,5
Government of Gujarat,Gujarat Urban Development Mission,JAMB1,Jambusar Nagarpalica,Jambusar Nagarpalika, , ,NA,Chief Officer,5
Government of Gujarat,Mahatma Gandhi Swatchchta Mission Urban,JAMDM,JAMNAGAR DMO,JAMNAGAR DMO OFFICE, , ,NA,DMO,5
Government of Gujarat,Gujarat Urban Development Mission,JAMN1,JAMNAGAR NAGARPALIKA,JAMNAGAR, , ,361001,IAS,5
Government of Gujarat,Gujarat Pollution Control Board,JAMNG,GUJARAT POLLUTION  CONTROL BOARD,Sardar Patel Bhavan  Rameshvar Nagar  Vikas Gruh R, , ,368008,REGIONAL OFFICER,5
Government of Gujarat,Rajkot Regional Commissioner,JAM55,Jam Jodhpur Nagarpalika,Dr. Ambedakar Bhawan ,Dr. Ambedakar Bhawan ,Dist. Jamnagar ,360530,Chief Officer,6
Government of Gujarat,JC10,ITK23,Dy.Commissioner of State Tax Range 23 Rajkot,Dy. Commissioner of State Tax office  Range 23 ,3rd Floor  Annexi Building  Jilla Seva Sadan 2 ,Rajkot - 360001,360001,Dy.Commissioner of State Tax,6
Government of Gujarat,Gujarat Pollution Control Board,ITCUH,GPCB UNIT HEAD I T CELL,PARYAVARAN BHAVAN ,SECTOR - 10/A ,GANDHINAGAR,382010,UNIT HEAD,5
Government of Gujarat,HD02 Deputy Secretary Complaints,SPJUN,SP Junagadh,Superintendent of Police ,Junagadh, ,NA,SP Junagadh,4
Government of Gujarat,Collector Office Surat,SPKAM,Prant Officer Kamrej,Prant Officer  Kamrej,NA,NA,NA,Prant Officer Kamrej,4
Government of Gujarat,RPPR2,SPJMN,SPJMN,JAMNAGAR, , ,NA,JAMNAGAR,6
Government of Gujarat,HD02 Deputy Secretary Complaints,SPJMR,SP Jamnagar,Superintendent of Police,Jamnagar, ,NA,SP Jamnagar,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPKHE,SP Kheda,Superintendent of Police ,Kheda-Nadiad , ,NA,SP Kheda,4
Government of Gujarat,ARTD3 SECTION GAD,SPIPA,Sardar Patel Institute of Public Administration,Near Ashwaraj Bunglows  Corporate Road ,Prahalad Nagar ,Ahmedabad,380015,SPIPA,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPKTW,SP Kutchh Bhuj West,Superintendent of Police,Kutchh Bhuj West, ,NA,SP Kutchh Bhuj West,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPKTE,SP Kutchh Gandhidhaam EAST,Superintendent of Police,Kutchh Gandhidhaam EAST, ,NA,SP Kutchh Gandhidhaam EAST,4
Government of Gujarat,Collector Office Ahemdabad,SPLAO,SPECIAL LAND AQUISITION OFFICER,COLLECTOR OFFICE  SUBHASH BRIDGE  AHMEDABAD,NA,NA,380027,DY. COLLECTOR,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPMAH,SP Mahisagar Lunavada,Superintendent of Police,Mahisagar, ,NA,SP Mahisagar Lunavada,4
Government of Gujarat,Collector Office Surat,SPMAN,Prant Officer Mandvi,Prant Office  Mandvi  Taluka Mandvi  District Su, , ,NA,Prant Officer Mandvi,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPMRB,SP Morbi,Superintendent of Police ,Morbi, ,NA,SP Morbi,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPMEH,SP Mehsana,Superintendent of Police ,Mehsana., ,NA,SP Mehsana,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPNAR,SP Narmada,Superintendent of Police,Narmada, ,NA,SP Narmada,4
Government of Gujarat,RPPR2,SPMOR,SPMOR,MORBI, , ,NA,MORBI,6
Government of Gujarat,RPPR2,SPRAJ,SPRAJ,RAJKOT, , ,NA,RAJKOT,6
Government of Gujarat,PR1US,SPPR1,SPPR1,SURAT, , ,NA,SPC,5
Government of Gujarat,HD02 Deputy Secretary Complaints,SPPTN,SP Patan,Superintendent of Police,Patan, ,NA,SP Patan,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPNVA,SP Navsari,Superintendent of Police,Navsari, ,NA,SP Navsari,4
Government of Gujarat,Collector Office Surat,SPOLP,Prant Officer Olpad,Taluka Seva Sadan  At. Olpad  Ta. Olpad  Dist. Su,NA,NA,394540,Prant Officer Olpad,4
Government of Gujarat,SPCPR,SPNAV,SPNAV,NAVSARI, , ,NA,NAVSARI,6
Government of Gujarat,HD02 Deputy Secretary Complaints,SPPAN,SP Godhara Panchmahal,Superintendent of Police,Godhara Panchmahal, ,NA,SP Godhara Panchmahal,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPPBR,SP Porbandar,Superintendent of Police  Porbandar.,NA,NA,360575,SP Porbandar,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPSAB,SP Sabarkantha,Superintendent of Police ,Sabarkantha (Himatnagar), ,NA,SP Sabarkantha Himatnagar,4
Government of Gujarat,Collector Office Rajkot,SPRRU,Supt of Police Rajkot Rural,Rajkot, , ,NA,SP Rajkot Rural,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPRJK,SP Rajkot Rural,Superintendent of Police,Rajkot Rural, ,NA,SP Rajkot Rural,4
Government of Gujarat,Collector Office Surat,SPRNB,ROAD AND BUILDING DEVELOPMENT,Dutch Garden,Nanpura,Surat,395001,Executive Engineer RNB Panchay,4
Government of Gujarat,RPPR2,SPSUN,SPSUN,SURENDRANAGAR, , ,NA,SURENDRANAGAR,6
Government of Gujarat,SPCPR,SPSSU,SPSSU,SURAT, , ,NA,SURAT,6
Government of Gujarat,SPPR1,SPSS1,ROAD AND BUILDING DEPARTMENT,OFFICE OF THE EXECUTIVE ENGINEER,PANCHAYAT R AND B DIVISION SURAT  OPP DUTCH GARDEN,NANPURA  SURAT,395001,EXECUTIVE ENGINEER,6
Government of Gujarat,HD02 Deputy Secretary Complaints,SPSUT,SP Surat Rural,Superintendent of Police,Surat Rural, ,NA,SP Surat Rural,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPTAP,SP Tapi Vyara,Superintendent of Police,Tapi, ,NA,SP Tapi Vyara,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPSNR,SP Surendranagar,Superintendent of Police,Surendranagar, ,NA,SP Surendranagar,4
Government of Gujarat,SPCPR,SPDNG,SPDNG,DANG, , ,NA,DANG,6
Government of Gujarat,DIRECTORATE OF HIGHER EDUCATION,SPDOE,Sardar Patel University,V.V.Nagar, , ,NA,Assistant Registrar,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPDEV,SP Devbhumi Dwarka Khambhalia,Superintendent of Police ,Devbhumi Dwarka Khambhalia, ,NA,SP Devbhumi Dwarka Khambhalia,4
Government of Gujarat,RPPR2,SPDWR,SPDWR,DWARKA, , ,NA,DWARKA,6
Government of Gujarat,DEPUTY SECRETARY PRIMARY EDUCATION,SPDSS,SERVA SIKSHA ABHIYAN,SERVA SIKSHA ABHIYAN OFFICE,SECTOR 17,GANDHINAGAR,382017,JOINT SECRETARY,4
Government of Gujarat,Collector Gir Somnath,SPGR1,SP Office Gir Somnath,Gir Somnath, , ,362265,SP Gir Somnath,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPGNR,SP Gandhinagar,Superintendent of Police ,Gandhinagar., ,NA,SP Gandhinagar,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPGIR,SP GirSomnath Veraval,Superintendent of Police,GirSomnath Veraval, ,NA,SP GirSomnath Veraval,4
Government of Gujarat,SPPR1,SPCVL,ROAD AND BUILDING DEPARTMENT,OFFICE OF THE EXECUTIVE ENGINEER,PANCHAYAT R AND B DIVISION  JILLA PANCHAYAT BHAVAN,VALSAD,396001,EXECUTIVE ENGINE,6
