OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
SHRI J S Prajapati (G.M.ADMIN),,,2023-01-13T00:00:00.000+0000,4.0," સુચન મુજબ જુનાગઢ- જાળીયા ૦૫:૩૫ કલાકની વાયા વિસાવદર,જેતલવડ,જેતલવડ, ઘોડાસણ, બગસરા તેમજ જાળીયા- વિસાવદર ૦૮:૨૫ કલાકની તેમજ વિસાવદર- બગસરા ૧૩:૧૫ કલાકની તેમજ બગસરા-જુનાગઢ ૧૫:૧૫ કલાકની બસ સર્વિસને તેના નિયત સમયે નિયત માર્ગ નિયમીત સંચાલન કરવા અત્રેથી સમ્બધિત ડેપો મેનેજરશ્રીને જરૂરી સુચના આપવામાં આવેલ છે."
,,,2023-01-03T00:00:00.000+0000,,
N.J.Chitaria (Deputy Secretary),,,2023-01-04T00:00:00.000+0000,0.0,"forwarded for necessary action, please."
Dinesh B Parmar (Additional Secretary),,,2023-01-10T00:00:00.000+0000,6.0, 
L M DINDOD IAS (JOINT SECRETARY),,,2023-01-11T00:00:00.000+0000,1.0, 
Dr Nilam Patel (In ADDITIONAL DIRECTOR),,,2023-06-21T00:00:00.000+0000,161.0, અ.નિ. પ.ક. ને લગત છે 
Snehal P Bhapkar IAS (Deputy Secretary),,,2023-06-21T00:00:00.000+0000,0.0, અ.નિ. (પ.ક.)ને લગત છે.
Dinesh B Parmar (Additional Secretary),,,2023-06-26T00:00:00.000+0000,5.0, 
Shri D. S. Shah (Deputy Secretary),,,2023-06-27T00:00:00.000+0000,1.0," Matter of class 4 outsource staff of ChC, not pertaining to family welfare division"
Dinesh B Parmar (Additional Secretary),,,2023-06-30T00:00:00.000+0000,3.0, 
Snehal P Bhapkar IAS (Deputy Secretary),,,2023-07-01T00:00:00.000+0000,1.0, અધિક નિયામક ર્ડા. નિલમ પટેલના તારીખ ૨૧/૦૬/૨૦૨૩ના રીમાર્કસ જોતાં સી.એસ.સી. માં ફરજ બજાવતા વર્ગ-૪ કર્મચારીઓ પરિવાર કલ્યાણની વિવિધ યોજના હેઠળના છે. આથી આ બાબત અધિક નિયામકશ્રી પરિવાર કલ્યાણ ને લગત છે. 
Dinesh B Parmar (Additional Secretary),,,2023-07-01T00:00:00.000+0000,0.0, As per remarks of DS(RH)
Shri D. S. Shah (Deputy Secretary),,,2023-07-05T00:00:00.000+0000,4.0, 
,,,2023-01-03T00:00:00.000+0000,,
N.J.Chitaria (Deputy Secretary),,,2023-01-04T00:00:00.000+0000,0.0,"forwarded for necessary action, please."
Shri Ketan Suthar (DY. SEC. COORDINATION),,,2023-01-05T00:00:00.000+0000,1.0, forwarded for necessary action.
R. V. BHATT (DEPUTY SECRETARY - Transport),,,2023-01-07T00:00:00.000+0000,2.0, for Necessary Action As Per Rules. 
SHRI J S Prajapati (G.M.ADMIN),,,2023-01-09T00:00:00.000+0000,2.0, Do needful
G.O.SHAH (Divisional Controller JNG),,,2023-01-11T00:00:00.000+0000,2.0," સુચન મુજબ જુનાગઢ- જાળીયા ૦૫:૩૫ કલાકની વાયા વિસાવદર,જેતલવડ,જેતલવડ, ઘોડાસણ, બગસરા તેમજ જાળીયા- વિસાવદર ૦૮:૨૫ કલાકની તેમજ વિસાવદર- બગસરા ૧૩:૧૫ કલાકની તેમજ બગસરા-જુનાગઢ ૧૫:૧૫ કલાકની બસ સર્વિસને તેના નિયત સમયે નિયત માર્ગ નિયમીત સંચાલન કરવા અત્રેથી સમ્બધિત ડેપો મેનેજરશ્રીને જરૂરી સુચના આપવામાં આવેલ છે."
SHRI J S Prajapati (G.M.ADMIN),,,2023-01-13T00:00:00.000+0000,4.0," સુચન મુજબ જુનાગઢ- જાળીયા ૦૫:૩૫ કલાકની વાયા વિસાવદર,જેતલવડ,જેતલવડ, ઘોડાસણ, બગસરા તેમજ જાળીયા- વિસાવદર ૦૮:૨૫ કલાકની તેમજ વિસાવદર- બગસરા ૧૩:૧૫ કલાકની તેમજ બગસરા-જુનાગઢ ૧૫:૧૫ કલાકની બસ સર્વિસને તેના નિયત સમયે નિયત માર્ગ નિયમીત સંચાલન કરવા અત્રેથી સમ્બધિત ડેપો મેનેજરશ્રીને જરૂરી સુચના આપવામાં આવેલ છે."
,,,2023-01-03T00:00:00.000+0000,,
N.J.Chitaria (Deputy Secretary),,,2023-01-04T00:00:00.000+0000,0.0,"forwarded for necessary action, please."
Shri B. K. Bhoi (Deputy Secretary),,,2023-01-04T00:00:00.000+0000,0.0, 
Anand Zinzala (Joint SECRETARY),,,2023-01-04T00:00:00.000+0000,0.0, Pl. take necessary action.
Ms. SHALINI AGRAWAL IAS (Municipal Commisioner),,,2023-01-14T00:00:00.000+0000,10.0," The complaint has been approved by the I.C.Ass.Muni. Commissioner of North Zone (Katargam) for reply/ disposal to the complaint from date : 13.01.2023 and The copy of above mentioned letter(NZ/OUT NO.12335, dtd.13.01.2023 has also been sent to the complainer shri DHAMLOT FAIJALBHAI BY post. (letter pdf file attach)"
Ms. SHALINI AGRAWAL IAS (Municipal Commisioner),,,2023-01-14T00:00:00.000+0000,0.0," The complaint has been approved by the I.C.Ass.Muni. Commissioner of North Zone (Katargam) for reply/ disposal to the complaint from date : 13.01.2023 and The copy of above mentioned letter(NZ/OUT NO.12335, dtd.13.01.2023 has also been sent to the complainer shri DHAMLOT FAIJALBHAI BY post. (letter pdf file attach)"
Anand Zinzala (Joint SECRETARY),,,2023-01-16T00:00:00.000+0000,2.0," The complaint has been approved by the I.C.Ass.Muni. Commissioner of North Zone (Katargam) for reply/ disposal to the complaint from date : 13.01.2023 and The copy of above mentioned letter(NZ/OUT NO.12335, dtd.13.01.2023 has also been sent to the complainer shri DHAMLOT FAIJALBHAI BY post. (letter pdf file attach)"
Shri B. K. Bhoi (Deputy Secretary),,,2023-01-16T00:00:00.000+0000,0.0," The complaint has been approved by the I.C.Ass.Muni. Commissioner of North Zone (Katargam) for reply/ disposal to the complaint from date : 13.01.2023 and The copy of above mentioned letter(NZ/OUT NO.12335, dtd.13.01.2023 has also been sent to the complainer shri DHAMLOT FAIJALBHAI BY post. (letter pdf file attach)"
,,,2023-01-03T00:00:00.000+0000,,
N.J.Chitaria (Deputy Secretary),,,2023-01-05T00:00:00.000+0000,0.0,"forwarded for necessary action, please."
N K Vaghela (Dy. Secretary Coordination),,,2023-01-06T00:00:00.000+0000,1.0, please take necessary action.
Dr.Prashant Jilova (District Development Officer),,,2023-01-16T00:00:00.000+0000,10.0, please take necessary action.
S D Chaudhari (Executive Engineer),,,2023-01-16T00:00:00.000+0000,0.0,"આપે અરજીમાં જણાવ્યા મુજબ ઉમરાળા થી પીપરાળી નો કાચો રસ્તો ડામર કરવા જણાવેલ છે. જેમાં આપને જણાવવાનુ કે ઉમરાળા થી પીપરાળી જવા માટે અત્રે ની કચેરી હસ્તક નો ઉમરાળા કેરીયા પીપરાળી રસ્તો છે. જે બાબતે અત્રેની તાબાની કચેરી-પંચાયત માર્ગ અને મકાન પેટાવિભાગ વલ્લભીપુર મારફત તપાસ કરાવતા ઉમરાળા થી પીપરાળી નુ અંતર લગભગ ૬.૮ કીમી થાય છે જ્યારે આપની રજુઆત મુજબનો નવો રસ્તો બનાવતા ઉમરાળાથી પીપરાળી વચ્ચે લગભગ ૫.૩ કી.મી. જેટલુ અંતર રહે છે.એટલે કે આપની રજુઆત વાળો રસ્તો બનાવતા ૧.૫ કીમી જેટલુ અંતર ઘટે છે. તેમજ પીપરાળી ગામ ને જોડતા અન્ય રસ્તા પણ ઉપલબ્ધ હોય આ રસ્તો નવો બનાવવો હિતાવહ ન હોવાનું તેમજ સદર રસ્તો બનાવવા ગ્રામજનો, એમ પી શ્રી/ એમ એલ એ શ્રી ની રજુઆત પણ પેટાવિભાગીય કચેરીને મળેલ ન હોવાનું માલુમ પડેલ છે જે આપને જાણ સારુ."
,,,2023-01-03T00:00:00.000+0000,,
"Secretary (Redressal of Public Grievances), Secretary (Redressal of Public Grievances)",,,2023-01-03T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
