OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
commissioner (commissioner),,,2023-01-17T00:00:00.000+0000,1.0, please take necessary action
SH. DANISH ASHRAF (DY. COMMISSIONER),,,2023-01-18T00:00:00.000+0000,1.0, Issue related to Shahdara South Zone.
commissioner (commissioner),,,2023-01-19T00:00:00.000+0000,1.0, PLEASE TAKE NECESSARY ACTION
MS. VANDANA RAO (DY. COMMISSIONER),,,2023-01-31T00:00:00.000+0000,12.0, 
RUBAL SINGH (ASSSTT. COMISSIONER),,,2023-02-02T00:00:00.000+0000,2.0, 
,,,2023-01-16T00:00:00.000+0000,,
,,,2023-01-16T00:00:00.000+0000,0.0,
Ravinder (DEO),,,2023-01-16T00:00:00.000+0000,0.0, mcd
Ravinder Kumar (From PGC),,,2023-01-16T00:00:00.000+0000,0.0," This complaint is forwarded on behalf of Govt. of NCT Delhi for taking suitable action to address the grievance. It shall be resolved promptly as per time line and instructions issued vide OM No. S-15/21/2021-O/O DS(PG)-DARPG(7085) dated 27/07/2022 issued by Govt. of India, Ministry of Personnel, Public Grievance and Pensions, Department of Administrative Reforms and Public Grievance(PG division). Upload an action taken report on this website, immediately thereafter. While addressing the grievances, may adhere to the standard practice which includes the following: (i) Grievances be addressed in accordance with the provisions of applicable laws /rules and procedures. (ii) May adopt fair and transparent approach to redress the grievances. (iii) A self-contained redressal report needs to be uploaded. (iv) If the grievance cannot be redressed, a well-reasoned explanatory report be uploaded. (v) If the grievance falls beyond the functional / geographical jurisdiction of the Department, the same may be brought out in explanatory report to be up-linked. Further while disposing grievances if report or any supporting document is to be attached and required to be shown to the complainant, in that case ‘yes’ option should be selected."
commissioner (commissioner),,,2023-01-17T00:00:00.000+0000,1.0, please take necessary action
MS. VANDANA RAO (DY. COMMISSIONER),,,2023-01-31T00:00:00.000+0000,14.0, 
RUBAL SINGH (ASSSTT. COMISSIONER),,,2023-02-02T00:00:00.000+0000,2.0, 
,,,2023-01-16T00:00:00.000+0000,,
,,,2023-01-16T00:00:00.000+0000,0.0,
S M I TANVIR (DDG C-II),,,2023-01-17T00:00:00.000+0000,1.0, 
Sanjeev Sehgal (Joint Secretary FFR),,,2023-01-23T00:00:00.000+0000,6.0, The grievance pertains to the State Government of Uttar Pradesh.
S M I TANVIR (DDG C-II),,,2023-01-23T00:00:00.000+0000,0.0, The grievance pertains to the State Government of Uttar Pradesh.
Sanjeev Sehgal (Joint Secretary FFR),,"Repeat of sl 4
 of (23-1-2023)",2023-01-23T00:00:00.000+0000,0.0, Pertains to State Government of Uttar Pradesh
S M I TANVIR (DDG C-II),,"Repeat of sl 5
 of (23-1-2023)",2023-01-23T00:00:00.000+0000,0.0, Pertains to State Government of Uttar Pradesh
,,,2023-04-21T00:00:00.000+0000,88.0,
"Shri Bhaskar Pandey, Joint Secretary",,,2023-04-21T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
,,,2023-01-16T00:00:00.000+0000,,
,,,2023-01-16T00:00:00.000+0000,0.0,
"CMHL_Backend1, Backend",,,2023-01-18T00:00:00.000+0000,2.0,Grievance received by Subordinate Organisation from Web API
"योगेश तुकाराम भरसठ, मुख्य कार्यपालन अधिकारी, जिला पंचायत",,,2023-02-21T00:00:00.000+0000,34.0,Closed
,,,2023-01-16T00:00:00.000+0000,,
,,,2023-01-16T00:00:00.000+0000,0.0,
"Shri Bhaskar Pandey, Joint Secretary",,,2023-01-29T00:00:00.000+0000,13.0,Grievance received by Subordinate Organisation from Web API
