OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
,,,2023-01-05T00:00:00.000+0000,0.0,
"CMHL_Backend1, Backend",,,2023-01-06T00:00:00.000+0000,1.0,Grievance received by Subordinate Organisation from Web API
"क्षितिज सिंघल, कलेक्टर",,,2023-02-10T00:00:00.000+0000,35.0,Closed
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,
Public Grievance-4 (Data Entry Operator),,,2023-01-05T00:00:00.000+0000,0.0, 
VIMALANAND MISHRA (UNDER SECRETARY),,,2023-02-08T00:00:00.000+0000,34.0, Places reading to attachment 
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,Multiple grievances have been received on this matter which has been taken up with the department concerned for necessary action.
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-04T00:00:00.000+0000,0.0,Sent to unit concerned.
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,Multiple grievances have been received on this matter which has been taken up with the department concerned for necessary action.
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,
Arun Kumar (Deputy Secretary),,,2023-01-06T00:00:00.000+0000,1.0, This matter seems to be related to State Government of Jharkhand.
,,,2023-03-24T00:00:00.000+0000,77.0,Already taken up for examination.
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,
Ankit Mishra (DEO),,,2023-01-05T00:00:00.000+0000,0.0," CPGRAMS दिशा-निर्देशों के अनुसार, निवारण के लिए सुझावों/मांगों पर विचार नहीं किया जाता है। ट्रेन संचालन और यात्री इंटरफेस के बारे में कोई सुझाव देने के लिए आप कृपयाrailmadad.indianrailways.gov.in पर जा सकते हैं।"
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,Sent to unit concerned.
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,Case already taken up for examination
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,Case already taken up for examination
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-06T00:00:00.000+0000,0.0,Sent to unit concerned.
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,Thank you very much for your valuable Suggestion/feedback. It has been noted.
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,
Dinakar Sansare (ASO retired),,,2023-02-18T00:00:00.000+0000,44.0, 
Smt. Jan Valvi (Dy. Secretary),,,2023-02-20T00:00:00.000+0000,2.0, It may relate to Information Technology . 
Dinakar Sansare (ASO retired),,,2023-03-01T00:00:00.000+0000,9.0, 
Parrag Jaiin nainutia (Principal Secretary IT),,,2023-04-26T00:00:00.000+0000,56.0, Grievance is related to the Administrative reforms. Should be sent to GAD 18
Dinakar Sansare (ASO retired),,,2023-06-18T00:00:00.000+0000,53.0, 
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,
Shri Kamlesh Chaturvedi (Joint Secretary),,,2023-01-05T00:00:00.000+0000,0.0, May please see and take necessary action to redress the grievance under intimation to the applicant.
Dr. Piyush Jain (Director),,,2023-01-05T00:00:00.000+0000,0.0, Your Suggestions Noted.
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,Sent to concerned unit
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-04T00:00:00.000+0000,0.0,
Public Grievance-4 (Data Entry Operator),,,2023-01-06T00:00:00.000+0000,2.0, 
VIMALANAND MISHRA (UNDER SECRETARY),,,2023-02-08T00:00:00.000+0000,33.0, Places reading to attachment 
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,
Section Officer PG-AR (SO),,,2023-01-05T00:00:00.000+0000,0.0, 
S S (DA),,,2023-01-05T00:00:00.000+0000,0.0, 
Ranjan Kumar Sahoo (RPFC I),,,2023-01-19T00:00:00.000+0000,14.0, EPS service (Pension) details called from MH/44798/128. On receipt of the same Revised Annexure K will be issued.
Daya Singh (section officer),,,2023-01-19T00:00:00.000+0000,0.0," EPS service (Pension) details called from MH/44798/128. On receipt of the same Revised Annexure K will be issued.	Ranjan Kumar Sahoo (RPFC I)	
"
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,
"Shri Bhaskar Pandey, Joint Secretary",,,2023-01-20T00:00:00.000+0000,15.0,Grievance received by Subordinate Organisation from Web API
"Shri Bhaskar Pandey, Joint Secretary",,,2023-02-06T00:00:00.000+0000,17.0,अनुमोदित महोदय प्रकरण की जांच करायी गयी आख्या सादर संलग्न कर प्रस्तुत
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,Sent to concerned unit
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,
Arun Kumar (Deputy Secretary),,,2023-01-06T00:00:00.000+0000,1.0, This matter seems to be related to State Government of Jharkhand.
,,,2023-01-17T00:00:00.000+0000,11.0,
Pushpa (DATA ENTRY OPERATOR),,,2023-01-17T00:00:00.000+0000,0.0, 
VIMALANAND MISHRA (UNDER SECRETARY),,,2023-02-08T00:00:00.000+0000,22.0, Places reading to attachment 
P Suresh (Special Deputy Collector),,,2023-01-25T00:00:00.000+0000,0.0," மனுதாரரின் புகார் மனு மீது நடவடிக்கை மேற்கொண்டதில் விளம்பார் கிராம நிருவாக அலுவலர், கிராம உதவியாளர் மற்றும் குறுவட்ட நில அளவர் ஆகியோர்களிடம் வாக்கு மூலங்கள் 07.01.2022 அன்று பெறப்பட்டது. மேற்படி வாக்கு மூலத்தில் விளம்பார் கிராமத்தில் கிராம புல எண்.160/6-இல் நிள அளவீடு செய்யும் போது கிராமத்தில் சட்ட ஒழுங்கு பிரச்சனை ஏற்படாமல் பார்த்துக்கொள்ளுமாறும், நில உடமை மாற்றம், நில ஒப்படை மற்றும் இலவச வீட்டுமனை பட்டா வழங்குதல் போன்ற அவசர மற்றும் அத்தியாவசிய அரசு பணிகள் உள்ளபோது குடும்ப பிரச்சனைகள் உள்ள இடத்தில் ஏன் அளவீடு செய்கிறீர்கள் என்றும், பிரச்சனை உள்ள இடங்களை சட்ட ஒழுங்கு பிரச்சனை ஏற்படாமல் பார்த்துக்கொள்ளுமாறும் மாவட்ட ஆட்சியரின் நேர்முக உதவியாளர் (பொது) அவர்கள் அறிவுரைகள் தான் வழங்கினார் என்றும், மேற்படி நில அளவீடு தொடர்பாக மாவட்ட ஆட்சியரின் நேர்முக உதவியாளர் (பொது) அவர்கள் தங்களை மிரட்டவில்லை எனவும் மேற்படி வாக்குமூலத்தில் தெரிவித்துள்ளார்கள். மேற்படி வாக்கு மூலத்தின் அடிப்படையில் மாவட்ட ஆட்சியரின் கவனத்திற்கு கொண்டு சென்றதில் மனுதாரரின் புகார் மனு அற்பமான முறையில் உள்ளதென்று மாவட்ட ஆட்சியர் இம்மனுமீது மேல்நடவடிக்கை தேவையில்லை முடிக்கலாம் என முடித்துள்ளார் என இதன் மூலம் மனுதாரருக்கு தெரிவிக்கப்படுகிறது."
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,
R. Rampradeepan (Special Officer),,,2023-01-09T00:00:00.000+0000,4.0, 
P Suresh (Special Deputy Collector),,,2023-01-09T00:00:00.000+0000,0.0, 
D SURESH (PA GENERAL),,,2023-01-25T00:00:00.000+0000,16.0," மனுதாரரின் புகார் மனு மீது நடவடிக்கை மேற்கொண்டதில் விளம்பார் கிராம நிருவாக அலுவலர், கிராம உதவியாளர் மற்றும் குறுவட்ட நில அளவர் ஆகியோர்களிடம் வாக்கு மூலங்கள் 07.01.2022 அன்று பெறப்பட்டது. மேற்படி வாக்கு மூலத்தில் விளம்பார் கிராமத்தில் கிராம புல எண்.160/6-இல் நிள அளவீடு செய்யும் போது கிராமத்தில் சட்ட ஒழுங்கு பிரச்சனை ஏற்படாமல் பார்த்துக்கொள்ளுமாறும், நில உடமை மாற்றம், நில ஒப்படை மற்றும் இலவச வீட்டுமனை பட்டா வழங்குதல் போன்ற அவசர மற்றும் அத்தியாவசிய அரசு பணிகள் உள்ளபோது குடும்ப பிரச்சனைகள் உள்ள இடத்தில் ஏன் அளவீடு செய்கிறீர்கள் என்றும், பிரச்சனை உள்ள இடங்களை சட்ட ஒழுங்கு பிரச்சனை ஏற்படாமல் பார்த்துக்கொள்ளுமாறும் மாவட்ட ஆட்சியரின் நேர்முக உதவியாளர் (பொது) அவர்கள் அறிவுரைகள் தான் வழங்கினார் என்றும், மேற்படி நில அளவீடு தொடர்பாக மாவட்ட ஆட்சியரின் நேர்முக உதவியாளர் (பொது) அவர்கள் தங்களை மிரட்டவில்லை எனவும் மேற்படி வாக்குமூலத்தில் தெரிவித்துள்ளார்கள். மேற்படி வாக்கு மூலத்தின் அடிப்படையில் மாவட்ட ஆட்சியரின் கவனத்திற்கு கொண்டு சென்றதில் மனுதாரரின் புகார் மனு அற்பமான முறையில் உள்ளதென்று மாவட்ட ஆட்சியர் இம்மனுமீது மேல்நடவடிக்கை தேவையில்லை முடிக்கலாம் என முடித்துள்ளார் என இதன் மூலம் மனுதாரருக்கு தெரிவிக்கப்படுகிறது."
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-04T00:00:00.000+0000,0.0,
"Shri Bhaskar Pandey, Joint Secretary",,,2023-01-20T00:00:00.000+0000,16.0,Grievance received by Subordinate Organisation from Web API
"Shri Bhaskar Pandey, Joint Secretary",,,2023-01-23T00:00:00.000+0000,3.0,अनुमोदित janch aakhya preshit hai
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,
S S (DA),,,2023-01-05T00:00:00.000+0000,0.0, 
Ankita (DEO),,,2023-01-06T00:00:00.000+0000,1.0, 
Shri. P. SENTHIL KUMAR (RPFC I),,,2023-01-06T00:00:00.000+0000,0.0, 
Shri. P. SENTHIL KUMAR (RPFC I),,,2023-01-19T00:00:00.000+0000,13.0,"Sir/Madam,
It is to inform that Form 20 and Form 5IF have been approved on 13/01/2023 and the said amounts were credited to claimant’s bank account. Kindly check in the bank passbook for credit confirmation. Further, Form 10D (Orphan Pension) is under process in respect of Avinash M Praatham and he will get his pension credit from February 2023."
Section Officer PG-AR (SO),,,2023-01-05T00:00:00.000+0000,0.0, 
Smt. T INDIRA (RPFC I),,,2023-01-05T00:00:00.000+0000,0.0, BGBNG00180850000000021 falls under the jurisdiction of RO Bengaluru Central. 
Daya Singh (section officer),,,2023-01-19T00:00:00.000+0000,0.0," Sir/Madam, It is to inform that Form 20 and Form 5IF have been approved on 13/01/2023 and the said amounts were credited to claimant’s bank account. Kindly check in the bank passbook for credit confirmation. Further, Form 10D (Orphan Pension) is under process in respect of Avinash M Praatham and he will get his pension credit from February 2023.	Shri. P. SENTHIL KUMAR (RPFC I)	"
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,
"CMHL_Backend1, Backend",,,2023-01-06T00:00:00.000+0000,1.0,Grievance received by Subordinate Organisation from Web API
"कमलेश टांडेकर, प्रभारी जिला आपूर्ति नियंत्रक",,,2023-02-16T00:00:00.000+0000,41.0,Closed
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,Multiple grievances have been received on this matter which has been taken up with the department concerned for necessary action.
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-04T00:00:00.000+0000,0.0,
Public Grievance-4 (Data Entry Operator),,,2023-01-04T00:00:00.000+0000,0.0, 
VIMALANAND MISHRA (UNDER SECRETARY),,,2023-02-06T00:00:00.000+0000,33.0, Places reading to attachment 
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,Case taken up earlier and since closed
,,,2023-01-04T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,
Shri Charanjit Gulati (Under Secretary),,,2023-01-05T00:00:00.000+0000,0.0, 
Ms. Deepika Sur (Project Co-ordinator),,,2023-01-10T00:00:00.000+0000,5.0,"The grievance has already been taken up with the company by NCH vide INGRAM docket no 3981465 dtd.01/11/2022 and,4021007 dtd.15/11/2022. you may track https://consumerhelpline.gov.in/user/track-complaint.php) but the company has not responded to the grievance. In the absence of redressal by the company, you may file a case at the designated Consumer Commission online. Please visit https://edaakhil.nic.in/edaakhil/faces/login.xhtml. The facility of hearing over video-conferencing is also available as per provision Section 38 (6) of the Consumer Protection Act, 2019 provided that the District Commission may, on sufficient cause being shown, and after recording its reasons in writing, allow the same. Complaints filed in the Consumer Commissions are attempted to be disposed off within a period of three months from the date of receipt of notice by the opposite party. In case you wish to file a case offline, you may it at the designated Consumer Commission from a place of your convenience. For more information, please visit http://www.ncdrc.nic.in/districtlist.html"
