OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
Anil Kumar Mishra (AGM),,,2023-01-14T00:00:00.000+0000,0.0, Please examine the case .
BASANT LAL (WPO),,,2023-01-16T00:00:00.000+0000,0.0,Not pertaining to this unit. The complaints belongs to CMS / Izzatnagar under DRM /IZN
Anil Kumar Mishra (AGM),,,2023-01-16T00:00:00.000+0000,0.0, Please xpidite
VIVEK GUPTA (Addl Divl.Railway Manager- INF),,,2023-01-16T00:00:00.000+0000,0.0, -
Anil Kumar Mishra (AGM),,,2023-01-17T00:00:00.000+0000,1.0,Please upload reply on the portal for closure of the case 
VIVEK GUPTA (Addl Divl.Railway Manager- INF),,,2023-01-17T00:00:00.000+0000,0.0, -
Anil Kumar Mishra (AGM),,,2023-01-17T00:00:00.000+0000,0.0, In view of reply sent to the complainant please close the case 
,,,2023-01-13T00:00:00.000+0000,,
"Shri Pramod Kumar , Director-PP","SHRI SURENDER SINGH , DEPUTY SECRETARY",,2023-01-13T00:00:00.000+0000,0.0,
OSDBO (OSD),,,2023-01-13T00:00:00.000+0000,0.0, Please examine the grievance at an appropriate levelfor redressal. Action Taken on the grievance may be intimated to the petitioner and a copy of the reply sent to him be uploaded on CPGRAMS along with ATR.
Pawan Kumar Gupta (Chief Manager),,,2023-01-13T00:00:00.000+0000,0.0, Please examine the grievance at an appropriate level for redressal. Action Taken on the grievance may be intimated to the petitioner and a copy of the reply sent to him be uploaded on CPGRAMS along with ATR.
Shri Manish Bakshi (Dy General Manager),,,2023-01-13T00:00:00.000+0000,0.0," अति आवश्यक 
हम आप को CPGRAMS COMPLAINT / APPEAL कि शिकायत प्रेषित कर रहे है। आप से अनुरोध है कि आप उक्त शिकायत का 1 दिन में निस्तारण कर शिकायतकर्ता को पत्र द्व्रारा सूचित कर पत्र की प्रति हमे प्रेषित करे ताकि उसे Site पर Upload किया जा सके । 
"
ADITYA PRAKASH CHOUDHARY (ASSISTANT GENERAL MANAGER),,,2023-01-18T00:00:00.000+0000,5.0, Please find the attachment
Shri Manish Bakshi (Dy General Manager),,,2023-01-18T00:00:00.000+0000,0.0, Please find the attachment
Pawan Kumar Gupta (Chief Manager),,,2023-01-21T00:00:00.000+0000,3.0," The customer has been advised suitably, copy enclosed. "
,,,2023-01-13T00:00:00.000+0000,,
