OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
Shre Debasis Sarkar (CGM),,,2023-01-25T00:00:00.000+0000,0.0," Sir, as per information received from accounts department regarding refund of Security Deposit in respect of Telephone No.25815512 is concerned, it is reported from CSC,Hq that today payment is made.You may please check your bank account tomorrow."
Rajeev Kaushik (GM- CDN),,,2023-01-26T00:00:00.000+0000,1.0, redressed
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,
"Janaspandana Kosha, Janaspandana Kosha",,,2023-01-30T00:00:00.000+0000,6.0,Grievance received by Subordinate Organisation from Web API
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-23T00:00:00.000+0000,0.0,
Dr. Utpal Sharma (Special Secretary of Public Grievance),,,2023-01-24T00:00:00.000+0000,1.0," Forward for necessary action/ comments please. The reply may be upload.
This may be treated as ‘Most Urgent’.
"
Udai Kumar Banerjee (Public Grievance Officer),,,2023-02-09T00:00:00.000+0000,0.0,"As per the report furnished by Town & Country Planning all the allegation made against him are so far totally baseless and beyond imagination and also the name of complainant mentioned as Shri. Ramshri R/o Biggiline, Port Blair, South Andaman is not in existence. The complainant is anonymous, frivolously lodged against the undersigned to malign the image/reputation."
Dr. Utpal Sharma (Special Secretary of Public Grievance),,,2023-02-10T00:00:00.000+0000,1.0," ANDAMAN PUBLIC WORK DEPARTMENT Report: As per the report furnished by Town & Country Planning all the allegation made against him are so far totally baseless and beyond imagination and also the name of complainant mentioned as Shri. Ramshri R/o Biggiline, Port Blair, South Andaman is not in existence. The complainant is anonymous, frivolously lodged against the undersigned to malign the image/reputation."
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,
Shri Dhananjay Dwivedi (Secretary),,,2023-01-24T00:00:00.000+0000,0.0, Sent to concern department for necessary action
SHRI M. I. Patel (Joint. Secretary Coordination),,,2023-02-13T00:00:00.000+0000,20.0, 
Shri Mahesh Patel (Deputy Secretary),,,2023-02-14T00:00:00.000+0000,1.0,As per Grievance description
K G DAFTARY (SUPERINTENDENT ENGINEER),,,2023-02-14T00:00:00.000+0000,0.0, As per Grievance description
P.N.Sheth (In Charge Executive Engineer),,,2023-02-15T00:00:00.000+0000,1.0, 
A M VARA (DE RAJKOT CITY CIRCLE),,,2023-02-24T00:00:00.000+0000,9.0, As per the complain of consumer necessary reply is given to consumer on his E-mail Address. A copy of Same is attached here with.
A M VARA (DE RAJKOT CITY CIRCLE),,,2023-02-24T00:00:00.000+0000,0.0, As per the complain of consumer necessary reply is given to consumer on his E-mail Address. A copy of Same is attached here with.
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,Thank you very much for your valuable Suggestion/feedback. It has been noted.
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-23T00:00:00.000+0000,0.0,
Shri M. C Worthing (Director),,,2023-02-01T00:00:00.000+0000,9.0," Forwarded for necessary action, please"
Lamchonghoi Sweety Changsan (Joint Secretary Inst.),,,2023-02-01T00:00:00.000+0000,0.0, for necessary action please.
GANDHARV KUMAR SANDILYA (Under Secretary),,,2023-02-01T00:00:00.000+0000,0.0, The matter has been transferred to CBSE for appropriate action.
Mr. Anurag Tripathi IRPS (SECRETARY),,,2023-02-01T00:00:00.000+0000,0.0, 
Sh. Sanjib Das (Regional Director),,,2023-02-24T00:00:00.000+0000,23.0, reply enclosed
Sh. Sanjib Das (Regional Director),,"Repeat of sl 7
 of (24-2-2023)",2023-02-24T00:00:00.000+0000,0.0, reply enclosed
Sh. Sanjib Das (Regional Director),,"Repeat of sl 7
 of (24-2-2023)",2023-02-24T00:00:00.000+0000,0.0, reply enclosed
Sh. Sanjib Das (Regional Director),,"Repeat of sl 7
 of (24-2-2023)",2023-02-24T00:00:00.000+0000,0.0, reply enclosed
Sh. Sanjib Das (Regional Director),,"Repeat of sl 7
 of (24-2-2023)",2023-02-24T00:00:00.000+0000,0.0, reply enclosed
Mr. Anurag Tripathi IRPS (SECRETARY),,,2023-02-27T00:00:00.000+0000,3.0, reply enclosed
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,Case taken up earlier and since closed
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,Sent to concerned unit
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-23T00:00:00.000+0000,0.0,ROUTINE REQUEST FOR JOB
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,
"Aarti Balodi, Nodal Officer",,,2023-01-24T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"शैलेन्द्र कुमार बसलियाल, अधीक्षण अभियंता",,,2023-01-31T00:00:00.000+0000,7.0,"सम्बन्धित सहायक अभियन्ता द्वारा अवगत कराया गया है कि खण्ड के अन्तर्गत स्वीकृत नौगांव भुकण्डी मोटर मोटर मार्ग के सम्बन्ध मे दिनांक 29 01 2023 को दूरभाष पर वार्ता की गई तथा शिकायतकर्ता द्वारा साईट पर उपस्थित न होने एवं कार्यस्थल पर उनके पिताजी से वार्ता करने हेतु अवगत कराया गया। तत्पश्चात् इस खण्ड के अपर सहायक अभियन्ता द्वारा शिकायतकर्ता के पिताजी से साईट पर वार्ता की गई। वर्तमान में उपरोक्त मोटर मार्ग पर कार्य प्रगति पर है तथा अपर सहायक अभियन्ता द्वारा उन्हे उचित कार्यवाही करने का आश्वासन दिया गया है। शिकायतकर्ता के पिताजी द्वारा संतुष्टि व्यक्त की गई।
	अतः सूचनार्थ प्रेषित।"
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,
Shri Charanjit Gulati (Under Secretary),,,2023-01-24T00:00:00.000+0000,0.0, 
Ms. Deepika Sur (Project Co-ordinator),,,2023-01-27T00:00:00.000+0000,3.0, Forwarding your grievance to the company. Kindly track your grievance mentioning the docket number (4181898 ) on following link https://consumerhelpline.gov.in/user/track-complaint.php or download NCH App from Play or App store.
Ms. Deepika Sur (Project Co-Ordinator),,,2023-02-22T00:00:00.000+0000,26.0,No response received from the company. Reminder sent to the company on 21.02.2023.
Ms. Deepika Sur (Project Co-ordinator),,,2023-02-23T00:00:00.000+0000,1.0,"The grievance was taken up with the company and reminders were also sent, but the company has not responded to the grievance. In the absence of redressal by the company, you may file a case at the designated Consumer Commission online. Please visit https://edaakhil.nic.in/edaakhil/faces/login.xhtml. The facility of hearing over video-conferencing is also available as per provision Section 38 (6) of the Consumer Protection Act, 2019 provided that the District Commission may, on sufficient cause being shown, and after recording its reasons in writing, allow the same. Complaints filed in the Consumer Commissions are attempted to be disposed off within a period of three months from the date of receipt of notice by the opposite party. In case you wish to file a case offline, you may it at the designated Consumer Commission from a place of your convenience. For more information, please visit http://www.ncdrc.nic.in/districtlist.html"
T.R. Sathish Chandran (Joint Director),,,2023-02-23T00:00:00.000+0000,0.0," The grievance was taken up with the company by NCH and reminders were also sent, but the company has not responded to the grievance. In the absence of redressal by the company, you may file a case at the designated Consumer Commission online. Please visit https://edaakhil.nic.in/edaakhil/faces/login.xhtml. The facility of hearing over video-conferencing is also available as per provision Section 38 (6) of the Consumer Protection Act, 2019 provided that the District Commission may, on sufficient cause being shown, and after recording its reasons in writing, allow the same. Complaints filed in the Consumer Commissions are attempted to be disposed off within a period of three months from the date of receipt of notice by the opposite party. In case you wish to file a case offline, you may it at the designated Consumer Commission from a place of your convenience. For more information, please visit http://www.ncdrc.nic.in/districtlist.html"
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,
"CMHL_Backend1, Backend",,,2023-01-25T00:00:00.000+0000,1.0,Grievance received by Subordinate Organisation from Web API
"डॉ. दिनेश गौतम, वरिष्‍ठ जिला पंजयक-ग्‍वालियर",,,2023-02-20T00:00:00.000+0000,26.0,Closed
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-23T00:00:00.000+0000,0.0,Thank you very much for your valuable Suggestion/feedback. It has been noted.
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-23T00:00:00.000+0000,0.0,"Inadequate details. Please provide complete details and attach relevant documents, if any."
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-23T00:00:00.000+0000,0.0,
OSD2INS (OSDDFS),,,2023-01-23T00:00:00.000+0000,0.0, Please issue acknowledgement to the petitioner urgently and examine and settle the complaint as per the rules within a time bound manner. Please send your ATR and upload a copy of reply sent to the petitioner on CPGRAMS. 
Anson M (Assistant Manager),,,2023-01-24T00:00:00.000+0000,1.0," The complaint is forwarded for your information and necessary action at your end. Acknowledge the complaint immediately and resolve the complaint as per the IRDAI rules and also as per Policy holder protection regulations, 2017 on urgent basis.
• Communication sent to the complainant to be uploaded in the Portal so as to dispose the grievance
• Your reply to the complainant shall also indicate the availability of insurance ombudsman redressal mechanism or other appropriate judicial forums, if he or she is not satisfied with insurer’s reply.
"
Sh. SATISH KUMAR (DGM),,,2023-01-24T00:00:00.000+0000,0.0," The said complaint pertain to PNB, and addressed to Chief Manager, PNB Haldwani (UK)
Please re-forward the same to the concerned authority.
In view of the above, we may request to please close the same."
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,
"Aarti Balodi, Nodal Officer",,,2023-01-24T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"Aarti Balodi, Nodal Officer",,"Repeat of sl 3
 of (24-1-2023)",2023-01-24T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"जयपाल सिंह, प्रमुख अभियन्ता",,,2023-01-30T00:00:00.000+0000,6.0,एल 1 द्वारा अपने कार्यालयी पत्र के माध्यम से प्रेषित आख्या से सहमत (संलग्न आख्या)
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,GEN. COMMENTS NOT CONTAINING SPECIFIC GRIEVANCE
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-23T00:00:00.000+0000,0.0,
Shri Charanjit Gulati (Under Secretary),,,2023-01-23T00:00:00.000+0000,0.0, 
Ms. Deepika Sur (Project Co-ordinator),,,2023-01-24T00:00:00.000+0000,1.0,Forwarding your grievance to the company. Kindly track your grievance mentioning the docket number (4181898) on following link https://consumerhelpline.gov.in/user/track-complaint.php or download NCH App from Play or App store. 
Ms. Deepika Sur (Project Co-Ordinator),,,2023-02-01T00:00:00.000+0000,8.0,No response received from the company. Reminder sent to the company.
Ms. Deepika Sur (Project Co-Ordinator),,Reminder of sl 5,2023-02-22T00:00:00.000+0000,21.0,No response received from the company. 2nd Reminder sent to the company on 21.02.2023
Ms. Deepika Sur (Project Co-Ordinator),,,2023-02-23T00:00:00.000+0000,1.0,"The grievance was taken up with the company and reminders were also sent, but the company has not responded on the grievance. In the absence of redressal by the company, you may file a case at the designated Consumer Commission online. Please visit https://edaakhil.nic.in/edaakhil/faces/login.xhtml. Facility of hearing over video-conferencing is also available as per provision Section 38 (6) of the Consumer Protection Act, 2019 provided that the District Commission may, on sufficient cause being shown, and after recording its reasons in writing, allow the same. Complaints filed in the Consumer Commissions are attempted to be disposed off within a period of three months from the date of receipt of notice by the opposite party. In case you wish to file a case offline, you may it at the designated Consumer Commission from a place of your convenience. For more information, please visit http://www.ncdrc.nic.in/districtlist.html"
T.R. Sathish Chandran (Joint Director),,,2023-02-23T00:00:00.000+0000,0.0," The grievance was taken up with the company by NCH and reminders were also sent, but the company has not responded on the grievance. In the absence of redressal by the company, you may file a case at the designated Consumer Commission online. Please visit https://edaakhil.nic.in/edaakhil/faces/login.xhtml. Facility of hearing over video-conferencing is also available as per provision Section 38 (6) of the Consumer Protection Act, 2019 provided that the District Commission may, on sufficient cause being shown, and after recording its reasons in writing, allow the same. Complaints filed in the Consumer Commissions are attempted to be disposed off within a period of three months from the date of receipt of notice by the opposite party. In case you wish to file a case offline, you may it at the designated Consumer Commission from a place of your convenience. For more information, please visit http://www.ncdrc.nic.in/districtlist.html"
"ABHISHEK ASHISH, Assistant Manager",,,2023-02-04T00:00:00.000+0000,11.0,On perusal of your complaint it is not clear as to which Sahara entity you are referring to. Please refer to the attachment for information on relevant authorities for different Sahara entities.
