OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
,,,2023-01-23T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,
Shri Gopal (Deputy Secretary),,,2023-01-24T00:00:00.000+0000,0.0, Necessary action may be taken and report to be submitted online.
,,,2023-02-03T00:00:00.000+0000,,Till date we have not received any clarification/action in the matter. It is not in purview of any Official of National Textile Corporation Ltd. to release the salary. If it was done there would not have been any need to lodge the grievance here. Strict and urgent action is required in the matter at your end. The situation is vulnerable as salary is pending since October 2022. We the family of almost 5000 employees and workers of NTC request you to intervene into the matter.
Sh Ram Gopalkrishnan (Sr. Manager HR),,,2023-03-01T00:00:00.000+0000,36.0," The Grievance raised by NTC Employee Forum, we wish to inform you that the matter has been forwarded to the concerned division for examination and further action on thereof. The status would be updated on receipt of the report on the matter."
Shri Gopal (Deputy Secretary),,,2023-03-01T00:00:00.000+0000,0.0," The Grievance raised by NTC Employee Forum, we wish to inform you that the matter has been forwarded to the concerned division for examination and further action on thereof. The status would be updated on receipt of the report on the matter."
,,,2023-01-23T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,
OSDBO (OSD),,,2023-01-24T00:00:00.000+0000,0.0, Please examine the grievance at an appropriate level for redressal. Action Taken on the grievance may be intimated to the petitioner and a copy of the reply sent to him be uploaded on CPGRAMS along with ATR. 
Nodal Officer (GM),,,2023-01-24T00:00:00.000+0000,0.0," कृपया शिकायत की जांच समयबद्ध रूप से करने की व्‍यवस्‍था करें और शिकायतकर्ता को उपयुक्त उत्तर भेजें और उसके निपटान के तुरंत बाद शिकायतकर्ता को भेजें गए उत्तर को सीपीग्राम्स पोर्टल पर भी अपनी टिप्पणी/ कार्रवाई के साथ अपलोड करें। 
Kindly arrange to examine and redress the grievance and give appropriate reply to the complainant within a time bound manner. After redressal, a copy of reply given to complainant along with your comments/action may be uploaded on the CPGRAMS portal. 
"
Mr. Krishnamurthy Srinivasan (General Manager),,,2023-02-01T00:00:00.000+0000,8.0," Reply sent on January 31, 2023."
,,,2023-01-23T00:00:00.000+0000,,
,,,2023-01-25T00:00:00.000+0000,0.0,Thank you very much for your valuable Suggestion/feedback. It has been noted.
,,,2023-01-23T00:00:00.000+0000,,
Shri Hara Kumar Hajong (Economic Adviser),,,2023-01-24T00:00:00.000+0000,0.0,This matter pertains to CIL. It is requested to send the comments in the matter to the petitioner within 30 days according to the Guidelines of DARPG under intimation to this Ministry. The same may be uploaded on CPGRAM and PG Portal kindly send the comments in proper manner to the petitioner immediately. The same grievance is to be closed by the subordinate office.
Shri AK Singh (CHIEF MANAGER PER-EE NODAL OFFICER GRC WCL),,,2023-01-24T00:00:00.000+0000,0.0," आपसे अनुरोध है कि आप इस मामले की जांच करे और DARPG के दिशानिर्देशो के अनुसार अपना उत्तर 7 दिनो अंदर प्रस्तुत करे एवं GRC WCL HQ के द्वारा अंतिम उत्तर प्रस्तुत करने के उपरान्त इस कार्यालय को एव्म शिकायतकर्ता को भी इस उत्तर की एक प्रतिलिपि भेजे ।

नोट: हिन्दी शिकायत का जवाब हिन्दी में ही देना अनिवारिय है इस का ध्यान जरूर रखहें।"
Mrs. Priyesha Chourasia (MANAGER PERSONNEL HR),,,2023-02-01T00:00:00.000+0000,7.0," आवेदक से प्राप्त अभ्यावेदन डब्ल्यूसीएल में माइनिंग सरदार और सर्वेयर (माइनिंग) की भर्ती के लिए जारी अधिसूचना में संशोधन करने का अनुरोध है।
इस संबंध में, अधिसूचना क्रमांक डब्ल्यूसीएल/आईआर/एमपी/भर्ती/22-23/2445 दिनांक 19.01.2023 के अनुसार मानदंडों में से एक यह है कि माइनिंग सरदार के लिए उम्मीदवार के पास खान सुरक्षा महानिदेशक (डीजीएमएस) द्वारा जारी वैध माइनिंग सरदार competency योग्यता प्रमाण पत्र (competency Mining Sirdar certificate of competency) या डीजीएमएस द्वारा जारी वैध ओवरमैन योग्यता प्रमाण पत्र (Overman certificate of competency) होना चाहिए। जबकि, सर्वेयर (माइनिंग) के लिए उम्मीदवार के पास डीजीएमएस द्वारा जारी सर्वेयर योग्यता प्रमाण पत्र (Surveyor certificate of competency) होना चाहिए।

चूंकि वेस्टर्न कोलफील्ड्स लिमिटेड भूमिगत खदान (यूजी) और खुली खदान (ओसीएम) दोनों तरह की खदानें है और सभी कर्मचारियों को आवश्यकता के अनुसार भूमिगत खदान (यूजी) के साथ-साथ खुली खदान (ओसी) खानों में काम करना आवश्यक है और अधिसूचना में ही स्पष्ट किया गया है कि प्रतिबंधित योग्यता प्रमाण पत्र रखने वाले उम्मीदवार पात्र नहीं हैं।

आवेदक के अभ्यावेदन से ही यह स्पष्ट है कि आवेदक के पास केवल ओपन कास्ट माइन्स के लिए सीमित योग्यता प्रमाण पत्र है और कंपनी की आवश्यकता यूजी और ओसी खानों दोनों के लिए है, इसलिए, वह उपरोक्त संदर्भित अधिसूचना के अंतर्गत आवेदन करने के लिए पात्र नहीं है। तदनुसार, उनके अनुरोध पर विचार नहीं किया जा सकता है।

"
,,,2023-01-24T00:00:00.000+0000,0.0,
Mrs. Tripti Parag Shaw (General Manager),,,2023-01-24T00:00:00.000+0000,0.0," Comments in the matter may be sent as per the guidelines of DAR PG for onward transmission to the petitioner. Thank you.
"
Mrs. Priyesha Chourasia (MANAGER PERSONNEL HR),,,2023-01-25T00:00:00.000+0000,1.0, 
Mrs. Priyesha Chourasia (MANAGER PERSONNEL HR),,"Repeat of sl 6
 of (25-1-2023)",2023-01-25T00:00:00.000+0000,0.0, 
