OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
Col Sudeep Dasgupta (Col AFMS Coord),,,2023-04-03T00:00:00.000+0000,3.0," Grievance redressed, reply sent to the petitioner. Copy attached."
Dalip Singh Bhadauria (Director),,,2023-04-03T00:00:00.000+0000,0.0," Grievance redressed, reply sent to the petitioner. Copy attached."
,,,2023-01-31T00:00:00.000+0000,,
,,,2023-01-31T00:00:00.000+0000,0.0,Auto Forwarded
Dr. Pramod Kumar Meherda (Joint Secretary),,,2023-01-31T00:00:00.000+0000,0.0," As per the information available on the web portal www.pmkisan.gov.in, Farmer land Record is not uploaded on web portal. Under PM-KISAN Scheme, the responsibility to identify beneficiary and uploading their correct and verified data after verification lies with the concerned State authorities. The grievance may, therefore, be transferred to concerned State Govt.of Punjab"
Sunil Kumar (Under Secretary),,,2023-02-01T00:00:00.000+0000,1.0, 
"PGRS, Operator",,,2023-02-27T00:00:00.000+0000,26.0,Grievance received by Subordinate Organisation from Web API
,,,2023-01-31T00:00:00.000+0000,,
,,,2023-01-31T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-31T00:00:00.000+0000,0.0,Auto Forwarded
Sh Rohit Thakur (Dy.Director),,,2023-02-02T00:00:00.000+0000,2.0, The matter may be examined and suitable reply be sent to the complainant under intimation to this office.
Isha Gandhi (Manager),,,2023-02-04T00:00:00.000+0000,2.0," Dear Sir/Mam,
Please find the below response sent to the customer.
Dear Mr.Singh, 

Thank you for writing to IndiGo.

With reference to your mail, we would like to inform you that we have investigated this matter with the concerned airport team and have established that the bag has been Collected by your Authorized person from Ahmedabad upto your satisfaction. 

Further, we regret the late delivery of the bag.

However, we also wanted to share with you that your bag is stuck at level 4 from Ahmedabad airport due to security restricted item, and for transferring any luggage that is already collected by your authorized person we again need authority from your side in that you have to mention for any kind of Pilferage or damage is done during the transfer of your bag indigo is not responsible.

Furthermore, we wish to clarify that the baggage rules in the COC state all medication, valuables, and precious items (cameras, jewelry, money, mobile, electronics, etc.) and items that are fragile or perishable should be carried in Cabin Baggage and not in Checked Baggage. IndiGo does not take responsibility for these articles. 

While we understand that this has upset you, we sincerely request you treat this incident in isolation and allow us another opportunity to serve you in the future. 

We have shared strong feedback with the concerned airport teams for further review and to ensure baggage delivery as per the standard practices. 

For future reference, we have sensitized the concerned team at the airport to ensure we are able to provide a more hassle-free experience. 

Thank you for your understanding. We do look forward to welcoming you on board your next IndiGo flight in the near future. 

Once again thank you for taking the time to communicate with us. We look forward to serving you onboard soon. 

"
Sh Rohit Thakur (Dy.Director),,,2023-02-07T00:00:00.000+0000,3.0,"Dear Mr.Singh,

Thank you for writing to IndiGo.

With reference to your mail, we would like to inform you that we have investigated this matter with the concerned airport team and have established that the bag has been Collected by your Authorized person from Ahmedabad upto your satisfaction.

Further, we regret the late delivery of the bag.

However, we also wanted to share with you that your bag is stuck at level 4 from Ahmedabad airport due to security restricted item, and for transferring any luggage that is already collected by your authorized person we again need authority from your side in that you have to mention for any kind of Pilferage or damage is done during the transfer of your bag indigo is not responsible.

Furthermore, we wish to clarify that the baggage rules in the COC state all medication, valuables, and precious items (cameras, jewelry, money, mobile, electronics, etc.) and items that are fragile or perishable should be carried in Cabin Baggage and not in Checked Baggage. IndiGo does not take responsibility for these articles.

While we understand that this has upset you, we sincerely request you treat this incident in isolation and allow us another opportunity to serve you in the future.

We have shared strong feedback with the concerned airport teams for further review and to ensure baggage delivery as per the standard practices.

For future reference, we have sensitized the concerned team at the airport to ensure we are able to provide a more hassle-free experience.

Thank you for your understanding. We do look forward to welcoming you on board your next IndiGo flight in the near future.

Once again thank you for taking the time to communicate with us. We look forward to serving you onboard soon.
"
,,,2023-01-31T00:00:00.000+0000,,
,,,2023-01-31T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-31T00:00:00.000+0000,0.0,Auto Forwarded
