OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
,,,2023-01-06T00:00:00.000+0000,0.0,Auto Forwarded
Ms. Mercy Epao (Director),,,2023-01-10T00:00:00.000+0000,4.0,The Grievance does not pertain to SME Division.
Mr. Deepak Narang (Deputy Secretary),,,2023-01-10T00:00:00.000+0000,0.0, Subject pertains to Ministry of Petroleum and Natural Gas
Mr. Deepak Narang (Deputy Secretary),,"Repeat of sl 4
 of (10-1-2023)",2023-01-10T00:00:00.000+0000,0.0, Subject pertains to Ministry of Petroleum and Natural Gas
Shyam Singh Mahar (Director),,,2023-01-10T00:00:00.000+0000,0.0, 
NOAS KINDO (USEXP-II),,,2023-01-18T00:00:00.000+0000,8.0, Subject matter pertains to Refinery Section. 
,,,2023-01-28T00:00:00.000+0000,,"Dear Concerned, 
There are too many opportunities which are coming up in projects. Being an Indian company we do not want this opportunity to be lost due. 
Request you to please intervene"
RTI and PG (Section),,,2023-02-13T00:00:00.000+0000,26.0, 
RTI and PG (Section),,,2023-02-22T00:00:00.000+0000,9.0," Dear Concerned,
There are too many opportunities which are coming up in projects. Being an Indian company we do not want this opportunity to be lost due.
Request you to please intervene
"
NOAS KINDO (USEXP-II),,,2023-02-22T00:00:00.000+0000,0.0, ONGC may examine the matter and give reply to petitioner at the earliest.
SANJEEV KHURANA (SENIOR HR EXECUTIVE),,,2023-02-24T00:00:00.000+0000,2.0," Sir,
ONGC is an Upstream company working in Exploration and Production. Refinery is being dealt with side stream company.
May be PG pertains to IOCL limited.
Regards"
NOAS KINDO (USEXP-II),,,2023-02-24T00:00:00.000+0000,0.0, ONGC is an Upstream company working in Exploration and Production. Refinery is being dealt with side stream company. May be PG pertains to IOCL limited.
Ram Dayal Meena (ASO),,,2023-03-02T00:00:00.000+0000,6.0," ONGC is an Upstream company working in Exploration and Production. Refinery is being dealt with side stream company. May be PG pertains to IOCL limited.
"
ALOK KUMAR SINHA (US OMC PP),,,2023-03-02T00:00:00.000+0000,0.0, for taking necessary action and reply to the applicant .
SATISH KUMAR RAJPAL (CHIEF MANAGER),,,2023-03-03T00:00:00.000+0000,1.0, Pl. examine and reply. 
Mr. Rajiv Jedia (Executive Secretary to ED HR),,,2023-03-04T00:00:00.000+0000,1.0, Being examined at our level.
P. Somakumar (US Ref),,,2023-03-27T00:00:00.000+0000,42.0," 
 You are requested to examine the request of the applicant as per extant rules and regulations and send a self contained reply to the applicant settling his grievance under intimation to this Ministry.
"
G M Satpute (Chief Manager - Public Grievances),,,2023-03-28T00:00:00.000+0000,0.0, कृपया मामले की जांच करें और शिकायतकर्ता को जवाब दें। उत्तर की एक प्रति पोर्टल पर अपलोड की जाए।
Shri Kajal Saikia (Chief General Manager HR and Legal),,,2023-03-31T00:00:00.000+0000,0.0, 
Shri VAS Kannen (Deputy General Manager HR),,,2023-04-10T00:00:00.000+0000,0.0,"“In Oil and Gas Sector, in view of criticality of the application and safety aspects, suppliers meeting the stipulated technical criteria of Proven Design, in-house Manufacturing & Testing facilities and one year field operational provenance along with positive net-worth in preceding FY and ISO 9001 certified company, are only considered eligible for supply of Expansion Joints.

It may be noted that EIL enlistment system is live on 24 x 7 basis for all wherein one can submit application for enlistment which will be further examined as per the extant procedures which calls for review of techno commercial documents at EIL Head office followed by shop survey assessment.

Complainant, in case if meets eligibility requirements and is ready to offer their facility/ experience for evaluation as stated above, is welcome to apply for enlistment in EIL as a supplier for Expansion Joint.”

"
Shri VAS Kannen (Deputy General Manager HR),,"Repeat of sl 21
 of (10-4-2023)",2023-04-10T00:00:00.000+0000,0.0,"“In Oil and Gas Sector, in view of criticality of the application and safety aspects, suppliers meeting the stipulated technical criteria of Proven Design, in-house Manufacturing & Testing facilities and one year field operational provenance along with positive net-worth in preceding FY and ISO 9001 certified company, are only considered eligible for supply of Expansion Joints.

It may be noted that EIL enlistment system is live on 24 x 7 basis for all wherein one can submit application for enlistment which will be further examined as per the extant procedures which calls for review of techno commercial documents at EIL Head office followed by shop survey assessment.

Complainant, in case if meets eligibility requirements and is ready to offer their facility/ experience for evaluation as stated above, is welcome to apply for enlistment in EIL as a supplier for Expansion Joint.”

"
Shri Kajal Saikia (Chief General Manager HR and Legal),,,2023-04-17T00:00:00.000+0000,17.0, Grievance replied vide letter Ref:MMSME/E/2023/0000016 dtd.12.04.2023.
Shri.P.SHANKAR (Company Secretary),,,2023-04-21T00:00:00.000+0000,0.0,"With reference to the subject grievance of Mr.Darshan Patel, the Company had tried to contact the complainant on 21.04.2023 through his Mobile Number 9662546354, for obtaining information about the Company with which he is associated in order to ascertain if any procurement has been made or order has been place by CPCL from the said Company for any of our projects. The complainant had not disclosed the details of the Company and hence, CPCL is not in a position to provide a reply for the subject grievance. Request ministry to kindly obtain the details of the Company with which Mr.Darshan Patel is associated so that, CPCL will be able to provide a reply at the earliest."
Shri.P.SHANKAR (Company Secretary),,,2023-04-21T00:00:00.000+0000,0.0," With reference to the subject grievance of Mr.Darshan Patel, the Company had tried to contact the complainant on 21.04.2023 through his Mobile Number 9662546354, for obtaining information about the Company with which he is associated in order to ascertain if any procurement has been made or order has been place by CPCL from the said Company for any of our projects. The complainant had not disclosed the details of the Company and hence, CPCL is not in a position to provide a reply for the subject grievance. Request ministry to kindly obtain the details of the Company with which Mr.Darshan Patel is associated so that, CPCL will be able to provide a reply at the earliest."
JASWINDER SINGH CHAUHAN (GENERAL MANAGER-PROJECTS),,,2023-04-21T00:00:00.000+0000,24.0, As per attached letter
G M Satpute (Deputy General Manager - Public Grievances),,,2023-04-23T00:00:00.000+0000,2.0, Please attach the letter
JASWINDER SINGH CHAUHAN (GENERAL MANAGER-PROJECTS),,,2023-04-24T00:00:00.000+0000,1.0, As per attached letter.
G M Satpute (Deputy General Manager - Public Grievances),,,2023-04-24T00:00:00.000+0000,0.0, As per attached letter.
Mr. Rajiv Jedia (Executive Secretary to ED HR),,,2023-04-26T00:00:00.000+0000,53.0, Dispose off.
SATISH KUMAR RAJPAL (CHIEF MANAGER),,,2023-04-26T00:00:00.000+0000,0.0, Dispose off.
ALOK KUMAR SINHA (US OMC PP),,,2023-04-26T00:00:00.000+0000,0.0, Dispose off.
Ram Dayal Meena (ASO),,,2023-04-26T00:00:00.000+0000,0.0, Dispose off.
,,,2023-01-06T00:00:00.000+0000,,
,,,2023-01-06T00:00:00.000+0000,0.0,Auto Forwarded
Dr. Pramod Kumar Meherda (Joint Secretary),,,2023-01-31T00:00:00.000+0000,25.0," As per the information available on the web portal www.pmkisan.gov.in, Farmer land Record is not uploaded on web portal. Under PM-KISAN Scheme, the responsibility to identify beneficiary and uploading their correct and verified data after verification lies with the concerned State authorities. The grievance may, therefore, be transferred to concerned State Govt.of JHARKHAND"
Sunil Kumar (Under Secretary),,,2023-02-01T00:00:00.000+0000,1.0, 
Pushpa (DATA ENTRY OPERATOR),,,2023-02-01T00:00:00.000+0000,0.0, 
PANKAJ KUMAR SINGH (DISTRICT NODAL OFFICER),,,2023-02-17T00:00:00.000+0000,16.0, Related to State Agriculture Dept.
Pushpa (DATA ENTRY OPERATOR),,,2023-02-17T00:00:00.000+0000,0.0, 
Mr. Braj Mohan Mishra (JointSECRETARY),,,2023-04-10T00:00:00.000+0000,52.0, this matter can be resolved by the concerned district
Public Grievance-4 (Data Entry Operator),,,2023-04-20T00:00:00.000+0000,10.0, 
,,,2023-01-06T00:00:00.000+0000,,
,,,2023-01-06T00:00:00.000+0000,0.0,Auto Forwarded
Tushar Anand (General Manager),,,2023-01-10T00:00:00.000+0000,4.0," With reference to your grievance having registration DCOYA/E/2023/0000111, dated 06.01.2023 it is to be informed that your claim T96582895 is under process."
,,,2023-01-06T00:00:00.000+0000,,
,,,2023-01-19T00:00:00.000+0000,,श्रीमान जी महोदय सविनय निवेदन है कि समस्या का निस्तारण जल्द से जल्द करने की कृपा करें
"Shri Bhaskar Pandey, Joint Secretary",,,2023-01-24T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"Shri Bhaskar Pandey, Joint Secretary",,,2023-02-20T00:00:00.000+0000,27.0,अधीनस्थ अधिकारी के स्तर पर निस्तारित महोदय आख्या संलग्न कर सेवा में प्रेषित है
,,,2023-01-06T00:00:00.000+0000,,
,,,2023-01-06T00:00:00.000+0000,0.0,Auto Forwarded
Nodal Officer (GM),,,2023-01-09T00:00:00.000+0000,3.0,"कृपया शिकायत की जांच समयबद्ध रूप से करने की व्‍यवस्‍था करें और शिकायतकर्ता को उपयुक्त उत्तर भेजें और उसके निपटान के तुरंत बाद शिकायतकर्ता को भेजें गए उत्तर को सीपीग्राम्स पोर्टल पर भी अपनी टिप्पणी/ कार्रवाई के साथ अपलोड करें। 
Kindly arrange to examine and redress the grievance and give an appropriate reply to the complainant within a time-bound manner. After redressal, a copy of the reply given to the complainant along with your comments/action may be uploaded on the CPGRAMS portal. 
"
Shri Vikramjit Singh Randhawa (Deputy General Manager),,,2023-01-13T00:00:00.000+0000,4.0," CMS ref N202223023376140
"
