OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
R M Vasava (SE),,,2023-01-16T00:00:00.000+0000,0.0,Take necessary action on urgent basis.
K M Bhrambhatt (EE AHBMEDABAD),,,2023-01-16T00:00:00.000+0000,0.0," It is to inform you that the said ongoing work is executed as per tender specification. Further the execution work is carried out under the constant supervision of Sub Divisional/ Divisional Technical staff. In addition to this a consultant is also appointed for the work, to carry out Technical Audit and Quality Assurance during the execution of the work. In the aspect of quality control frequent testing of the materials used during the execution of work is carried out in GERI/ Pvt. Labs/ Field Labs. There has been no negligence/malpractice found in any of above motioned establishments regarding the quality of the work till date."
,,,2023-01-08T00:00:00.000+0000,,
,,,2023-01-08T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-08T00:00:00.000+0000,0.0,Auto Forwarded
Shikhar Sharma (RPFC II),,,2023-01-09T00:00:00.000+0000,1.0,"Dear member, as per office record, your establishment is live, therefore, you are requested to contact your employer for date of exit updation. You can also submit joint declaration application to this office along with all supporting documents so that necessary action can be taken accordingly. "
Ankita (DEO),,,2023-01-09T00:00:00.000+0000,0.0," Dear member, as per office record, your establishment is live, therefore, you are requested to contact your employer for date of exit updation. You can also submit joint declaration application to this office along with all supporting documents so that necessary action can be taken accordingly.	Shikhar Sharma (RPFC II)	"
,,,2023-01-08T00:00:00.000+0000,,
,,,2023-01-09T00:00:00.000+0000,,Kindly transfer my complain to UBI
OSDBO10 (OSD),,,2023-01-09T00:00:00.000+0000,0.0, Please examine the grievance at an appropriate level for redressal. Action Taken on the grievance may be intimated to the petitioner and a copy of the reply sent to him be uploaded on CPGRAMS along with ATR.
OSDBO10 (OSD),,"Repeat of sl 3
 of (9-1-2023)",2023-01-09T00:00:00.000+0000,0.0, Please get the grievance redressed at an appropriate level and send a suitable reply to the petitioner after doing the needful and upload the same on the portal along with your final ATR.
OSDBO10 (OSD),,"Repeat of sl 3
 of (9-1-2023)",2023-01-09T00:00:00.000+0000,0.0, Please get the grievance redressed at an appropriate level and send a suitable reply to the petitioner after doing the needful and upload the same on the portal along with your final ATR.
RITA DSOUZA (SENIOR MANAGER),,,2023-01-09T00:00:00.000+0000,0.0, Taken Up
