OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
 , ,,2023-01-01T00:00:00.000+0000,, 
MAMTA SINGH (DEO), ,,2023-01-02T00:00:00.000+0000,0.0, 
Anindya Bandyopadhyay (Asstt. Secretary General), ,,2023-01-02T00:00:00.000+0000,0.0, Kindly arrange to examine the matter and dispose off the case by uploading reply to the complainant (in pdf) or by giving remarks/comments in the portal at the earliest as per time limit. 
Amit Shyam Roy (Asstt. Commercial Manager 1), ,,2023-01-03T00:00:00.000+0000,1.0, Please look into.
Sri Kartik Singh (Sr. Divisional Engineer 1), ,,2023-01-04T00:00:00.000+0000,1.0," As per railway record, there is no authorized crossing in the said location. It is unsafe for both public and passengers to cross track unauthorizedly. Because of unauthorized crossings track conditions are disturbed."
Sri Kartik Singh (Sr. Divisional Engineer 1), ,,2023-01-04T00:00:00.000+0000,0.0," As per railway record, there is no authorized crossing in the said location. It is unsafe for both public and passengers to cross track unauthorizedly. Because of unauthorized crossings track conditions are disturbed."
 , ,,2023-01-01T00:00:00.000+0000,, 
"Shri Bhaskar Pandey, Joint Secretary", ,,2023-01-17T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"Shri Bhaskar Pandey, Joint Secretary", ,,2023-01-24T00:00:00.000+0000,7.0,महोदय आवदेक के पूर्व में अनेको पत्र प्राप्त हुुये जिनं आ0 कार्यवाही हेतु सम्बन्धित को भेजा जाना है
 , ,,2023-01-01T00:00:00.000+0000,, 
 , ,,2023-01-01T00:00:00.000+0000,0.0,Auto Forwarded
 , ,,2023-01-01T00:00:00.000+0000,0.0,Auto Forwarded
Nandkumar B Adurkar. (RPFC I Thane North), ,,2023-01-02T00:00:00.000+0000,1.0,"Sir, In this connection it is to inform that as per the jurisdiction of the establishment, it falls under RO THANE (II)South, Hence the grievance forwarded to RO, THANE (II)SOUTH for quick redressal. "
Pritam Kumar (SO), ,,2023-01-02T00:00:00.000+0000,0.0," Sir, In this connection it is to inform that as per the jurisdiction of the establishment, it falls under RO THANE (II)South, Hence the grievance forwarded to RO, THANE (II)SOUTH for quick redressal.	Nandkumar B Adurkar. (RPFC I Thane North)	"
AVINASH GANDHI (RPFC I Thane South), ,,2023-01-12T00:00:00.000+0000,10.0," Sir/Madam, 
With reference to Grievance no. MOLBR/E/2023/0000001, It is to inform that the matter has been examined and it is observed that the member has present PF a/c number APHYD00632310000012532 hence the member is not eligible for withdrawal benefit against previous PF accumulation. Member has to submit online transfer claim Form-13 and get the accumulation transferred to the present PF account number.
"
AVINASH GANDHI (RPFC I Thane South), ,,2023-01-12T00:00:00.000+0000,0.0," Sir/Madam, 
With reference to Grievance no. MOLBR/E/2023/0000001, It is to inform that the matter has been examined and it is observed that the member has present PF a/c number APHYD00632310000012532 hence the member is not eligible for withdrawal benefit against previous PF accumulation. Member has to submit online transfer claim Form-13 and get the accumulation transferred to the present PF account number.
"
Daya Singh (section officer), ,,2023-01-12T00:00:00.000+0000,0.0," Sir/Madam, With reference to Grievance no. MOLBR/E/2023/0000001, It is to inform that the matter has been examined and it is observed that the member has present PF a/c number APHYD00632310000012532 hence the member is not eligible for withdrawal benefit against previous PF accumulation. Member has to submit online transfer claim Form-13 and get the accumulation transferred to the present PF account number.	AVINASH GANDHI (RPFC I Thane South)"
 , ,,2023-01-01T00:00:00.000+0000,, 
 , ,,2023-01-01T00:00:00.000+0000,0.0,Auto Forwarded
 , ,,2023-01-01T00:00:00.000+0000,0.0,Auto Forwarded
AMIT VASHIST (RPFC I), ,,2023-01-06T00:00:00.000+0000,5.0,"Please submit establishment clarification letter along with revised form number 3A for correction of the said contribution in EPS.
"
AMIT VASHIST (RPFC I), ,"Repeat of sl 4
 of (6-1-2023)",2023-01-06T00:00:00.000+0000,0.0,"Please submit establishment clarification letter along with revised form number 3A for correction of the said contribution in EPS.
"
Makhan Lal (Section Officer), ,,2023-01-06T00:00:00.000+0000,0.0," Please submit establishment clarification letter along with revised form number 3A for correction of the said contribution in EPS.	AMIT VASHIST (RPFC I)	
"
 , ,,2023-01-01T00:00:00.000+0000,, 
"Shri Bhaskar Pandey, Joint Secretary", ,,2023-01-17T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"Shri Bhaskar Pandey, Joint Secretary", ,,2023-01-24T00:00:00.000+0000,7.0,महोदय आवदेक के पूर्व में अनेको पत्र प्राप्त हुुये जिनं आ0 कार्यवाही हेतु सम्बन्धित को भेजा जाना है
 , ,,2023-01-01T00:00:00.000+0000,, 
"Shri Bhaskar Pandey, Joint Secretary", ,,2023-01-17T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"Shri Bhaskar Pandey, Joint Secretary", ,,2023-01-24T00:00:00.000+0000,7.0,महोदय आवदेक के पूर्व में अनेको पत्र प्राप्त हुुये जिनं आ0 कार्यवाही हेतु सम्बन्धित को भेजा जाना है
 , ,,2023-01-01T00:00:00.000+0000,, 
 , ,,2023-01-01T00:00:00.000+0000,0.0,Auto Forwarded
 , ,,2023-01-01T00:00:00.000+0000,0.0,Auto Forwarded
 , ,,2023-01-01T00:00:00.000+0000,0.0,Auto Forwarded
Praveen Singh Bisht (Deputy Director CS), ,,2023-01-03T00:00:00.000+0000,2.0," Son is eligible for dependent CSD Smart Card only till attaining the age of 25. Hence, Card will expire after son attains age of 25."
 , ,,2023-01-01T00:00:00.000+0000,, 
 , ,,2023-01-01T00:00:00.000+0000,0.0,Auto Forwarded
Shri Niraj Kumar Gayagi (Joint Secretary), ,,2023-01-03T00:00:00.000+0000,2.0," 
"
R. Rampradeepan (Special Officer), ,,2023-01-03T00:00:00.000+0000,0.0, 
PA TO SP (PA TO SP), ,,2023-01-04T00:00:00.000+0000,1.0, S.P/kkLR.No.P3//22 Dated 04.01.2023 மனுதாரர் மீது கன்னியாகுமரி காவல்நிலைய குற்ற எண் 25/2020 u/s 67 IT Act&294 IPC&4 0F TNPWH Act படி வழக்கு பதிவு செய்து நடவடிக்கை மேற்கொண்டுள்ளதால் மனுதாரர் உண்மைக்கு புறம்பான சங்கதிகளை குறிப்பிட்டு தொடர்ந்து இது போன்ற புகார் மனுக்களை கொடுத்துவருவதாக தெரிய வருகிறது. எனவே இம்மனுவை கோர்வை செய்ய கேட்டுக்கொள்ளப்படுகிறது
 , ,,2023-01-01T00:00:00.000+0000,, 
Shri Bal Krishan (Public Grievance Officer), ,,2023-01-02T00:00:00.000+0000,0.0,"कृपया आवश्यक कार्यवाही हेतु देखें।
Kindly see for necessary action. "
Shri Devesh Uttam (Joint Secretary), ,,2023-01-09T00:00:00.000+0000,7.0,"As per the HCI, Wellington, the service sough by the grievant is related to New Zealand government. The grievant had sought legal remedy in New Zealand and court did not accept his claim. High Commission/ GoI cannot intervene after it is disposed by court in a foreign country. Hence, the matter is being closed from the portal."
 , ,,2023-01-01T00:00:00.000+0000,, 
 , ,,2023-01-01T00:00:00.000+0000,0.0,Auto Forwarded
 , ,,2023-01-01T00:00:00.000+0000,0.0,Auto Forwarded
 , ,,2023-01-01T00:00:00.000+0000,0.0,Auto Forwarded
Shri Nirmal Kumar Bhagat (Director FA), ,,2023-01-02T00:00:00.000+0000,1.0, Kindly route this grievance through concerned Under Secretary’s CPGRAMS account (RDRC3) who is dealing Odisha State.
Timan Singh (Deputy Director), ,,2023-01-02T00:00:00.000+0000,0.0, Please examine and upload ATR
Shri Nirmal Kumar Bhagat (Director FA), ,,2023-01-02T00:00:00.000+0000,0.0,Please examine the matter and submit ATR at the earliest for disposal of the grievance. 
Sri Chandra Mouli Patnaik (Superintending Engineer), ,,2023-01-19T00:00:00.000+0000,17.0," In this context, it is to mention here that, the above grievance petition is pertaining to construction of a new road, i.e., from G.P Headquarter to Kaladu including all nearby unconnected villages of the Bamprada Gramapanchayat of Barkote Block in Deogarh district under the scheme of PMGSY.
	As per the compliance report of the Executive Engineer, R.W Division, Deogarh, it is to intimate that the road from “G.P Headquarter at Bamprada to Kaladu via Sarankoti” having total length of 7.50 km out of which the road to Sarankoti is of length 3.50 km has got all-weather connectivity under Public Works Department and the remaining road length of 4.00 km, i.e. from “Sarankoti to Kaladu” is coming under the jurisdiction of Forest Department, which is not eligible to be constructed under PMGSY guidelines. 
	The copy of compliance report of the Executive Engineer, R.W Division, Deogarh vide his Lt. No. 82, Dt. 07.01.2023 is enclosed herewith for your kind reference."
Shri Nirmal Kumar Bhagat (Director FA), ,,2023-01-23T00:00:00.000+0000,4.0," Action Taken Report (ATR) has been submitted by State, copy is attached for further necessary action. The contents of reply are - In this context, it is to mention here that, the above grievance petition is pertaining to construction of a new road, i.e., from G.P Headquarter to Kaladu including all nearby unconnected villages of the Bamprada Gramapanchayat of Barkote Block in Deogarh district under the scheme of PMGSY.
As per the compliance report of the Executive Engineer, R.W Division, Deogarh, it is to intimate that the road from “G.P Headquarter at Bamprada to Kaladu via Sarankoti” having total length of 7.50 km out of which the road to Sarankoti is of length 3.50 km has got all-weather connectivity under Public Works Department and the remaining road length of 4.00 km, i.e. from “Sarankoti to Kaladu” is coming under the jurisdiction of Forest Department, which is not eligible to be constructed under PMGSY guidelines.
The copy of compliance report of the Executive Engineer, R.W Division, Deogarh vide his Lt. No. 82, Dt. 07.01.2023 is enclosed herewith for your kind reference."
Timan Singh (Deputy Director), ,,2023-01-31T00:00:00.000+0000,8.0, ग्रामीण सड़क राज्य सरकार का विषय है और राज्य में प्रधान मंत्री ग्राम सड़क योजना (पीएमजीएसवाई) को लागू करने के लिए राज्य सरकार नोडल एजेंसी है। आप अपनी GRIEVANCES को सीधा राज्य के साथ साझा कर सकते है । कृपया राज्य द्वारा प्रस्तुत संलग्न क्रत कारवाई रिपोर्ट प्राप्त करें।
 , ,,2023-01-01T00:00:00.000+0000,, 
Pankaj Kumar (DOTEL07 DDG-PG), ,,2023-01-02T00:00:00.000+0000,0.0, 
Shri Bijaya Kumar Nayak (Sr DDG), ,,2023-01-04T00:00:00.000+0000,2.0," The reply of 6 numbers of PG cases by Shri Rajesh Kumar Bagarti regarding poor network connectivity and installation of new RJIO tower under USOF scheme at four villages of Deogarh district, one village of Nayagarh and one village of Koraput district is attached as ANNEXURE. "
 , ,,2023-01-01T00:00:00.000+0000,, 
SRI. CH.SRINIVASA RAO (Dy Secy. GAD), ,,2023-01-24T00:00:00.000+0000,0.0, The Role of General Administration Department is to forward your grievance to the concerned Department Hence Your grievance is forwarded to the GA (NRI) Department for taking necessary action 
 , ,,2023-01-01T00:00:00.000+0000,, 
 , ,,2023-01-01T00:00:00.000+0000,0.0,Auto Forwarded
S M I TANVIR (DDG C-II), ,,2023-01-01T00:00:00.000+0000,0.0, 
"Assistant Secretary to CM, Assistant Secretary to CM", ,,2023-01-01T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
 , ,,2023-01-01T00:00:00.000+0000,, 
 , ,,2023-01-01T00:00:00.000+0000,0.0,Auto Forwarded
Shri Pankaj Kumar (Under Secretary), ,,2023-01-04T00:00:00.000+0000,3.0, Grievance letter forwarded to Panchayati Raj Department of Odisha
 , ,,2023-01-01T00:00:00.000+0000,, 
"Shri Bhaskar Pandey, Joint Secretary", ,,2023-01-17T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"Shri Bhaskar Pandey, Joint Secretary", ,,2023-01-24T00:00:00.000+0000,7.0,महोदय आवदेक के पूर्व में अनेको पत्र प्राप्त हुुये जिनं आ0 कार्यवाही हेतु सम्बन्धित को भेजा जाना है
 , ,,2023-01-01T00:00:00.000+0000,, 
 , ,,2023-01-01T00:00:00.000+0000,0.0,Auto Forwarded
Uttank Joshi (Assistant Director General), ,,2023-02-01T00:00:00.000+0000,31.0,Various similar representations received by NT Division so the matter transfer to NT Division
Niraj Sharan (Assistant Director General), ,,2023-02-02T00:00:00.000+0000,1.0,"Sir, Kindly get the matter examined and inform the complainant accordingly. Regards, 
"
Ms. Gargi Mittal (Assistant Director), ,,2023-04-26T00:00:00.000+0000,83.0, Detailed action taken report attached
 , ,,2023-01-01T00:00:00.000+0000,, 
SRI. CH.SRINIVASA RAO (Dy Secy. GAD), ,,2023-01-24T00:00:00.000+0000,0.0, The Role of General Administration Department is to forward your grievance to the concerned Department Hence Your grievance is forwarded to the GA (NRI) Department for taking necessary action 
 , ,,2023-01-01T00:00:00.000+0000,, 
 , ,,2023-01-01T00:00:00.000+0000,0.0,Auto Forwarded
 , ,,2023-01-01T00:00:00.000+0000,0.0,Auto Forwarded
Mumbai Bandra (zonal Office), ,,2023-01-05T00:00:00.000+0000,4.0, 
Debasis Chand (APFC), ,,2023-01-06T00:00:00.000+0000,1.0, 
Susanta Kumar Padhy (RPFC I), ,,2023-01-13T00:00:00.000+0000,7.0," With reference to member grievance , it is to inform that in respect of MHBAN00462570000170082, Form 13 claim has been settled an amount of Rs 33191/- and same has been transferred to PF A/c PYBOM/1365482/28663 on 13.01.2023."
Daya Singh (SO), ,,2023-01-16T00:00:00.000+0000,3.0," With reference to member grievance , it is to inform that in respect of MHBAN00462570000170082, Form 13 claim has been settled an amount of Rs 33191/- and same has been transferred to PF A/c PYBOM/1365482/28663 on 13.01.2023.	Susanta Kumar Padhy (RPFC I)	
"
 , ,,2023-01-01T00:00:00.000+0000,, 
 , ,,2023-01-01T00:00:00.000+0000,0.0,Auto Forwarded
 , ,,2023-01-01T00:00:00.000+0000,0.0,Auto Forwarded
P. B. Verma (RPFC I), ,,2023-01-03T00:00:00.000+0000,2.0," Since the complainant concern has alleged in the grievance petition about opening of PF account without his knowledge, the matter has been taken up with the employer concern vide mail dated 03.01.2022(copy attached) for immediate necessary action."
Pritam Kumar (SO), ,,2023-01-03T00:00:00.000+0000,0.0," Since the complainant concern has alleged in the grievance petition about opening of PF account without his knowledge, the matter has been taken up with the employer concern vide mail dated 03.01.2022(copy attached) for immediate necessary action.	P. B. Verma (RPFC I)	"
 , ,,2023-01-01T00:00:00.000+0000,, 
R. Rampradeepan (Special Officer), ,,2023-01-01T00:00:00.000+0000,0.0, 
