OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
RASHMI SAXENA SAHNI (PR. CCIT EXEMPTIONS DELHI),,,2023-01-24T00:00:00.000+0000,0.0," As per report of the JCIT/AO, the grievance of the assessee may kindly be treated as settled from this end."
Dr. Nidhi Mittal (Jt. DIT E-Services),,,2023-01-24T00:00:00.000+0000,0.0," As per the AO report the due refund in the case of the assessee for A.Y. 2014-15 has already been issued vide challan having CIN-BSR code 0004329, challan deposit date 02.04.2016 and challan sequence no.13191 amounting to Rs.1,28,23,750/-. The said challan has been adjusted against the outstanding demand for A.Y. 2011-12. Therefore, no action is pending in the case of the assessee for A.Y. 2014-15. Hence, the CPGRAM may kindly be treated as settled at this juncture.	"
Mayank Verma (ACIT),,,2023-01-23T00:00:00.000+0000,2.0," On perusal of the ITBA system and NSDL portal, it is found that the due refund in the case of the assessee for A.Y. 2014-15 has already been issued vide challan having CIN-BSR code 0004329, challan deposit date 02.04.2016 and challan sequence no.13191 amounting to Rs.1,28,23,750/-. The said challan has been adjusted against the outstanding demand for A.Y. 2011-12. Therefore, no action is pending in the case of the assessee for A.Y. 2014-15. Hence, the CPGRAM may kindly be treated as settled at this juncture."
,,,2023-01-19T00:00:00.000+0000,,
,,,2023-01-19T00:00:00.000+0000,0.0,Auto Forwarded
Sh. Y. K. Singh (DGIT),,,2023-01-19T00:00:00.000+0000,0.0, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.
Suja Menon V (Income Tax Officer CPC ITR),,,2023-01-23T00:00:00.000+0000,4.0,"Dear Sir / Madam ,

 for AY 2022-23 , the processing of taxpayers return will take some time as the same is done in batches. The processing time also depends various automated validation / checks along with tax credit matching and may vary for different taxpayers. However the grievance raised has been noted and once the processing is completed intimation will be sent to taxpayers registered email id. The taxpayers patience in this regard is highly appreciate.
"
Sh. Y. K. Singh (DGIT),,,2023-01-23T00:00:00.000+0000,0.0,"Dear Sir / Madam ,

 for AY 2022-23 , the processing of taxpayers return will take some time as the same is done in batches. The processing time also depends various automated validation / checks along with tax credit matching and may vary for different taxpayers. However the grievance raised has been noted and once the processing is completed intimation will be sent to taxpayers registered email id. The taxpayers patience in this regard is highly appreciate.
"
Dr. Nidhi Mittal (Jt. DIT E-Services),,,2023-01-24T00:00:00.000+0000,1.0," Dear Sir / Madam , for AY 2022-23 , the processing of taxpayers return will take some time as the same is done in batches. The processing time also depends various automated validation / checks along with tax credit matching and may vary for different taxpayers. However the grievance raised has been noted and once the processing is completed intimation will be sent to taxpayers registered email id. The taxpayers patience in this regard is highly appreciate.	"
,,,2023-01-19T00:00:00.000+0000,,
"CMO, Secretary",,,2023-01-19T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
,,,2023-01-19T00:00:00.000+0000,,
,,,2023-01-19T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-19T00:00:00.000+0000,0.0,Auto Forwarded
Sh. Harsh Raj Rana (Deputy Director),,,2023-01-19T00:00:00.000+0000,0.0,This Public Grievance Pertains to NCD.
Sh. Vum Mang (Director),,,2023-01-20T00:00:00.000+0000,1.0, Not pertains to Dte.GHS. Related to Ministry of Railways.
Shri Manmohan (Deputy Secretary),,,2023-01-20T00:00:00.000+0000,0.0, 
MANOJ KUJUR (SSA),,,2023-01-21T00:00:00.000+0000,1.0,"Medical examination of the recommended candidates of Engineering Services Examination is conducted as per the gazette notification of the relevant year. As per medical examination of Shri Sandipan Hore, he was declared unfit by the First Medical Board, Appellate Medical Board and Special Medical Board on account of diabetes mellitus. This ministry has no further information to provide on the issue."
,,,2023-01-19T00:00:00.000+0000,,
"Shri Bhaskar Pandey, Joint Secretary",,,2023-01-30T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"Shri Bhaskar Pandey, Joint Secretary",,,2023-02-17T00:00:00.000+0000,18.0,अपेक्षित आख्या महोदय के अवलोकनार्थ प्रेषित है आख्या सादर सेवा मे प्रेषित है श्रीमान जी आवेदक के प्रार्थना पत्र की जांच आख्या सादर सेवा में प्रेषित है
,,,2023-01-19T00:00:00.000+0000,,
,,,2023-01-19T00:00:00.000+0000,0.0,Auto Forwarded
Anson M (Assistant Manager),,,2023-01-20T00:00:00.000+0000,1.0," The complaint is forwarded for your information and necessary action at your end. Acknowledge the complaint immediately and resolve the complaint as per the IRDAI rules and also as per Policy holder protection regulations, 2017 on urgent basis.
• Communication sent to the complainant to be uploaded in the Portal so as to dispose the grievance
• Your reply to the complainant shall also indicate the availability of insurance ombudsman redressal mechanism or other appropriate judicial forums, if he or she is not satisfied with insurer’s reply.
 
"
Mr. Anoop Singh (GRO),,,2023-01-23T00:00:00.000+0000,3.0, .
Mr. Anoop Singh (GRO),,,2023-02-08T00:00:00.000+0000,16.0," Dear Sir/Madam, we would like to submit that referred complaint has been responded to complainant after examination of the issued raised by complainant. We are also annexing the said communication for your reference. Trust you find submission in order."
Mayank Verma (ACIT),,,2023-01-23T00:00:00.000+0000,2.0," As per application of the assessee, it is noticed that the case of the assessee for the A.Y. 2015-16 is pending with the CIT(A) and the same has also been verified from ITBA system. Therefore, no action is to be taken in this case for the A.Y. 2015-16 as the matter is sub-judice with the appellate authority. Hence, the CPGRAM may kindly be treated as settled at this juncture."
Dr. Nidhi Mittal (Jt. DIT E-Services),,,2023-01-24T00:00:00.000+0000,0.0," As per the AO report the case of the assessee for the A.Y. 2015-16 is pending with the CIT(A) and the same has also been verified from ITBA system. Therefore, no action is to be taken in this case for the A.Y. 2015-16 as the matter is sub-judice with the appellate authority. Hence, the CPGRAM may kindly be treated as settled at this juncture.	"
,,,2023-01-19T00:00:00.000+0000,,
,,,2023-01-19T00:00:00.000+0000,0.0,Auto Forwarded
RASHMI SAXENA SAHNI (PR. CCIT EXEMPTIONS DELHI),,,2023-01-20T00:00:00.000+0000,1.0, Please look into the matter and upload final report at the earliest.
Jeotsnaa Johri (CIT Exemptions Lucknow),,,2023-01-20T00:00:00.000+0000,0.0, Kindly look into the matter and send grievance redressal report at the earliest.
Praveen Kumar (Joint Commissioner of Income Tax),,,2023-01-21T00:00:00.000+0000,1.0, Kindly look into the matter and send grievance redressal report at the earliest.
Praveen Kumar (Joint Commissioner of Income Tax),,,2023-01-23T00:00:00.000+0000,0.0," As per the AO report the case of the assessee for the A.Y. 2015-16 is pending with the CIT(A) and the same has also been verified from ITBA system. Therefore, no action is to be taken in this case for the A.Y. 2015-16 as the matter is sub-judice with the appellate authority. Hence, the CPGRAM may kindly be treated as settled at this juncture."
RASHMI SAXENA SAHNI (PR. CCIT EXEMPTIONS DELHI),,,2023-01-24T00:00:00.000+0000,0.0," As per report of the JCIT/AO, the grievance of the assessee may kindly be treated as settled from this end."
Jeotsnaa Johri (CIT Exemptions Lucknow),,,2023-01-24T00:00:00.000+0000,1.0," As per report of the JCIT/AO, the grievance of the assessee may kindly be treated as settled from this end."
RASHMI SAXENA SAHNI (PR. CCIT EXEMPTIONS DELHI),,"Repeat of sl 9
 of (24-1-2023)",2023-01-24T00:00:00.000+0000,0.0," As per report of the JCIT/AO, the grievance of the assessee may kindly be treated as settled from this end."
,,,2023-01-19T00:00:00.000+0000,,
Juglal Singh (Director),,,2023-01-19T00:00:00.000+0000,0.0, 
Ankit Mishra (DEO),,,2023-01-20T00:00:00.000+0000,1.0,"Medical examination of the recommended candidates of Engineering Services Examination is conducted as per the gazette notification of the relevant year. As per medical examination of Shri Sandipan Hore, he was declared unfit by the First Medical Board, Appellate Medical Board and Special Medical Board on account of diabetes mellitus. This ministry has no further information to provide on the issue."
,,,2023-01-19T00:00:00.000+0000,,
,,,2023-01-19T00:00:00.000+0000,0.0,Auto Forwarded
Kalyan Mahapatra (Chief Manager),,,2023-01-19T00:00:00.000+0000,0.0, Please examine the grievance at an appropriate level for redressal. Action Taken on the grievance may be intimated to the petitioner and a copy of the reply sent to him be uploaded on CPGRAMS along with ATR.
Smt. Suman lata gupta (Dy General Manager),,,2023-01-23T00:00:00.000+0000,4.0," 3258
अति आवश्यक 
हम आप को CPGRAMS COMPLAINT / APPEAL कि शिकायत प्रेषित कर रहे है। आप से अनुरोध है कि आप उक्त शिकायत का 1 दिन में निस्तारण कर शिकायतकर्ता को पत्र द्व्रारा सूचित कर पत्र की प्रति हमे प्रेषित करे ताकि उसे Site पर Upload किया जा सके । 
"
PRAMOD NARAYAN TEWARI (DY. GEN. MANAGER),,,2023-01-23T00:00:00.000+0000,0.0," 3258
अति आवश्यक
हम आप को CPGRAMS COMPLAINT / APPEAL कि शिकायत प्रेषित कर रहे है। आप से अनुरोध है कि आप उक्त शिकायत का 1 दिन में निस्तारण कर शिकायतकर्ता को पत्र द्व्रारा सूचित कर पत्र की प्रति हमे प्रेषित करे ताकि उसे Site पर Upload किया जा सके ।"
NEERAJ KUMAR (ASST. GEN. MANAGER),,,2023-01-30T00:00:00.000+0000,7.0, ok
NEERAJ KUMAR (ASST. GEN. MANAGER),,"Repeat of sl 6
 of (30-1-2023)",2023-01-30T00:00:00.000+0000,0.0, ok
NEERAJ KUMAR (ASST. GEN. MANAGER),,"Repeat of sl 6
 of (30-1-2023)",2023-01-30T00:00:00.000+0000,0.0, ok
NEERAJ KUMAR (ASST. GEN. MANAGER),,"Repeat of sl 6
 of (30-1-2023)",2023-01-30T00:00:00.000+0000,0.0, ok
NEERAJ KUMAR (ASST. GEN. MANAGER),,"Repeat of sl 6
 of (30-1-2023)",2023-01-30T00:00:00.000+0000,0.0, ok
NEERAJ KUMAR (ASST. GEN. MANAGER),,"Repeat of sl 6
 of (30-1-2023)",2023-01-30T00:00:00.000+0000,0.0, ok
NEERAJ KUMAR (ASST. GEN. MANAGER),,"Repeat of sl 6
 of (30-1-2023)",2023-01-30T00:00:00.000+0000,0.0, ok
PRAMOD NARAYAN TEWARI (DY. GEN. MANAGER),,,2023-01-30T00:00:00.000+0000,0.0," DEAR SIR, 
PLEASE ATTACHED LETTER"
NEERAJ KUMAR (ASST. GEN. MANAGER),,,2023-01-30T00:00:00.000+0000,0.0, ok
PRAMOD NARAYAN TEWARI (DY. GEN. MANAGER),,,2023-01-30T00:00:00.000+0000,0.0, ok
Smt. Suman lata gupta (Dy General Manager),,,2023-01-30T00:00:00.000+0000,0.0, ok
Pawan Kumar Gupta (Chief Manager),,,2023-01-31T00:00:00.000+0000,1.0," The customer has been advised suitably, copy enclosed. "
,,,2023-01-19T00:00:00.000+0000,,
,,,2023-01-19T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-19T00:00:00.000+0000,0.0,Auto Forwarded
MOHD SARFRAZ (RPFC-II),,,2023-01-23T00:00:00.000+0000,4.0," GUIDANCE FROM COMPETENT AUTHORITY IS STILL AWAITED . FOR RESOLUTION GRIEVANCE MAY BE FORWARDED TO NDC ISSUE TRACKER NO. 0058465
"
Daya Singh (section officer),,,2023-01-24T00:00:00.000+0000,1.0," GUIDANCE FROM COMPETENT AUTHORITY IS STILL AWAITED . FOR RESOLUTION GRIEVANCE MAY BE FORWARDED TO NDC ISSUE TRACKER NO. 0058465	MOHD SARFRAZ (RPFC-II)	
"
Sh RAJESH PANDEY (RPFC-I),,,2023-01-25T00:00:00.000+0000,1.0," Field office has been advised through Issue tracker-58465. Field office to take action accordingly and inform. CSD, HO to transfer the case to field office. 
"
Pritam Kumar (SO),,,2023-01-25T00:00:00.000+0000,0.0," Field office has been advised through Issue tracker-58465. Field office to take action accordingly and inform. CSD, HO to transfer the case to field office.	Sh RAJESH PANDEY (RPFC-I)	"
MOHD SARFRAZ (RPFC-II),,,2023-02-01T00:00:00.000+0000,7.0, ISSUE TRACKER से प्राप्त जवाब के अनुसार INTREST BALANCE PROCESSING की शीट संलग्न है जिस अनुसार वर्ष ( 2012-2013) में ब्याज घटाने पर अपेंडिक्स E में मर्ज किया शिकायतकर्ता को यह सूचित किया जाता है की वह निकासी हेतु ऑनलाइन क्लेम आवेदन करे 
Daya Singh (section officer),,,2023-02-01T00:00:00.000+0000,0.0," ISSUE TRACKER से प्राप्त जवाब के अनुसार INTREST BALANCE PROCESSING की शीट संलग्न है जिस अनुसार वर्ष ( 2012-2013) में ब्याज घटाने पर अपेंडिक्स E में मर्ज किया शिकायतकर्ता को यह सूचित किया जाता है की वह निकासी हेतु ऑनलाइन क्लेम आवेदन करे	MOHD SARFRAZ (RPFC-II)	
"
,,,2023-01-19T00:00:00.000+0000,,
Assistant2 (Asstt.),,,2023-01-20T00:00:00.000+0000,0.0, Kindly take action in the matter and upload the status report at the earliest.
Nodal Officer of the deptt (ACS),,,2023-01-20T00:00:00.000+0000,0.0, 
DDPO JIND (DDPO JIND),,,2023-02-03T00:00:00.000+0000,14.0, Kindly take approparite action for speedy disposal of the grievance and upload ATR ealiest.
Sh. Somvir Kadyan (BDPO),,,2023-02-24T00:00:00.000+0000,21.0,"R/Sir,
 Please Dispose the complaint. "
DDPO JIND (DDPO JIND),,,2023-03-03T00:00:00.000+0000,7.0,"R/Sir,
 Please Dispose the complaint. "
Nodal Officer of the deptt (ACS),,,2023-03-06T00:00:00.000+0000,3.0, MARK DIPOSED OFF
Jarnail Singh (Supervisor),,,2023-03-27T00:00:00.000+0000,21.0, As per report of the Department.
,,,2023-01-19T00:00:00.000+0000,,
,,,2023-01-19T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-19T00:00:00.000+0000,0.0,Auto Forwarded
SHIV KUMAR (RPFC I),,,2023-01-19T00:00:00.000+0000,0.0," Sir/Madam,
The member has requested to transfer the EPF accumulations and attached the Annexure-K. In this regard, this office has contacted the member and informed that his EPS service has already been transferred from AP/HYD/146/E/20049 to PU/PUN/34224/156616 on 12.6.2014. Since, the establishment is exempted only service will be transferred and advised to contact the Regional Office, Pune with the attached Annexure-K. The member is satisfied with the reply. "
SHIV KUMAR (RPFC I),,"Repeat of sl 4
 of (19-1-2023)",2023-01-19T00:00:00.000+0000,0.0," Sir/Madam,
The member has requested to transfer the EPF accumulations and attached the Annexure-K. In this regard, this office has contacted the member and informed that his EPS service has already been transferred from AP/HYD/146/E/20049 to PU/PUN/34224/156616 on 12.6.2014. Since, the establishment is exempted only service will be transferred and advised to contact the Regional Office, Pune with the attached Annexure-K. The member is satisfied with the reply. "
Makhan Lal (Section Officer),,,2023-01-20T00:00:00.000+0000,1.0," Sir/Madam, The member has requested to transfer the EPF accumulations and attached the Annexure-K. In this regard, this office has contacted the member and informed that his EPS service has already been transferred from AP/HYD/146/E/20049 to PU/PUN/34224/156616 on 12.6.2014. Since, the establishment is exempted only service will be transferred and advised to contact the Regional Office, Pune with the attached Annexure-K. The member is satisfied with the reply.	SHIV KUMAR (RPFC I)	
"
,,,2023-01-19T00:00:00.000+0000,,
,,,2023-01-19T00:00:00.000+0000,0.0,
"Shri Bhaskar Pandey, Joint Secretary",,,2023-01-30T00:00:00.000+0000,11.0,Grievance received by Subordinate Organisation from Web API
"Shri Bhaskar Pandey, Joint Secretary",,,2023-02-17T00:00:00.000+0000,18.0,अपेक्षित आख्या महोदय के अवलोकनार्थ प्रेषित है आख्या सादर सेवा मे प्रेषित है श्रीमान जी आवेदक के प्रार्थना पत्र की जांच आख्या सादर सेवा में प्रेषित है
