OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
PARNEET SINGH SACHDEV (Pr. CCIT),,,2023-03-24T00:00:00.000+0000,0.0," Claim of applicant i.e. SATNAM SINGH resident of District MANSA that he is filing his returns with the PAN: ADTPS5810L seems to be fictious owing to the following reasons:-
AVIPS6721P
Satnam Singh, Mansa (The applicant) ADTPS5810L
Satnam Singh, Mukerian
As per AADHAR CARD(No.5664-6411-9378) uploaded with the cpgram (Copy attached), the applicant SATNAM SINGH S/O GURBACHAN SINGH is resident of Sherkhan Wala, Boha, Budhlada, Mansa District. As per AADHAR CARD (Copy attached), the other person SATNAM SINGH S/O GURBACHAN SINGH is resident of Vill. Behbal Manj, Mukerian.
As per PAN details received from ITO, Ward-1(4), Mansa vide email dated 23.03.2023 at (16:45PM) (copy attached) address in PAN : AVIPS6721P is also shown as SATNAM SINGH S/O GURBACHAN SINGH, Vill. Sherkhan Wala, P.O. Boha, Budhlada, Mansa, Punjab-151501. As per PAN details downloaded from system, PAN: ADTPS5810L is in the name of SATNAM SINGH S/O GURBACHAN SINGH, Vill. Behbal Manj, Mukerian. which has been allotted on 18.01.1999. (Copy attached).
It has also verified by the ITO, Ward-1(4) Mansa, that “no returns have been filed against PAN : AVIPS6721P and no AADHAR number has been attached with this PAN.” It has also verified from the system that “Returns are being filed against PAN : ADTPS5810L regularly and AADHAR number 9859-5544-8393 has been attached with this PAN.”
Vide Letter No.3734 dated 22.02.2023, the applicant/assessee has already been intimated by the Dy.Director of Income Tax(Systems), Jalandhar that as per database of this office, PAN :AVIPS6721P found to be in his name (copy attach.

In view the above information gathered from system database, the CPGRAM may be rejected and be treated as disposed at this office end."
Sh. Ramesh Chand (Jt. DIT OSD),,,2023-03-25T00:00:00.000+0000,1.0,"Based on following comments of AO concerned duly endorsed by range head, PCIT,CCIT and Pr.CCIT Chandigarh that 

Claim of applicant i.e. SATNAM SINGH resident of District MANSA that he is filing his returns with the PAN: ADTPS5810L seems to be fictious owing to the following reasons:-
AVIPS6721P
Satnam Singh, Mansa (The applicant) ADTPS5810L
Satnam Singh, Mukerian
As per AADHAR CARD(No.5664-6411-9378) uploaded with the cpgram (Copy attached), the applicant SATNAM SINGH S/O GURBACHAN SINGH is resident of Sherkhan Wala, Boha, Budhlada, Mansa District. As per AADHAR CARD (Copy attached), the other person SATNAM SINGH S/O GURBACHAN SINGH is resident of Vill. Behbal Manj, Mukerian.
As per PAN details received from ITO, Ward-1(4), Mansa vide email dated 23.03.2023 at (16:45PM) (copy attached) address in PAN : AVIPS6721P is also shown as SATNAM SINGH S/O GURBACHAN SINGH, Vill. Sherkhan Wala, P.O. Boha, Budhlada, Mansa, Punjab-151501. As per PAN details downloaded from system, PAN: ADTPS5810L is in the name of SATNAM SINGH S/O GURBACHAN SINGH, Vill. Behbal Manj, Mukerian. which has been allotted on 18.01.1999. (Copy attached).
It has also verified by the ITO, Ward-1(4) Mansa, that “no returns have been filed against PAN : AVIPS6721P and no AADHAR number has been attached with this PAN.” It has also verified from the system that “Returns are being filed against PAN : ADTPS5810L regularly and AADHAR number 9859-5544-8393 has been attached with this PAN.”
Vide Letter No.3734 dated 22.02.2023, the applicant/assessee has already been intimated by the Dy.Director of Income Tax(Systems), Jalandhar that as per database of this office, PAN :AVIPS6721P found to be in his name (copy attach.
In view of the above your CPGRAM is being disposed of."
,,,2023-01-16T00:00:00.000+0000,,
,,,2023-01-16T00:00:00.000+0000,0.0,Auto Forwarded
Sh. Y. K. Singh (DGIT),,,2023-01-16T00:00:00.000+0000,0.0, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.
I.T.O. Systems (I.T.O. Systems),,,2023-01-30T00:00:00.000+0000,14.0,"The details of CPGRAMS grievance examined and found that the matter is ‘One PAN allotted to more than one Person. As per the revised SOP circulated vide F. No. DGIT(S)/ADG(S)-1/Aadhaar Delinking/2022-23, Dated 11/01/2023, the grievance matter related to Aadhaar De-linking and One PAN allotted to more than One Person is now delegated to the designated Nodal Officer of respective RCC. In this case, the RCC is Chandigarh. Hence, the grievance may be forwarded to the RCC Chandigarh for taking necessary action. The grievance may be treated as closed at this end. "
Sh. Y. K. Singh (DGIT),,,2023-01-30T00:00:00.000+0000,0.0,"The details of CPGRAMS grievance examined and found that the matter is ‘One PAN allotted to more than one Person. As per the revised SOP circulated vide F. No. DGIT(S)/ADG(S)-1/Aadhaar Delinking/2022-23, Dated 11/01/2023, the grievance matter related to Aadhaar De-linking and One PAN allotted to more than One Person is now delegated to the designated Nodal Officer of respective RCC. In this case, the RCC is Chandigarh. Hence, the grievance may be forwarded to the RCC Chandigarh for taking necessary action. The grievance may be treated as closed at this end. "
Dr. Nidhi Mittal (Jt. DIT E-Services),,,2023-02-01T00:00:00.000+0000,2.0," कृपया इस मामले को देखें और जल्द से जल्द स्टेटस रिपोर्ट अपलोड करें। Kindly look into the matter and upload the status report at the earliest.

"
PARNEET SINGH SACHDEV (Pr. CCIT),,,2023-02-02T00:00:00.000+0000,1.0, कृपया इस मामले को देखें और जल्द से जल्द स्टेटस रिपोर्ट अपलोड करें। Kindly look into the matter and upload the status report at the earliest.
Manu Malik (CIT),,,2023-02-03T00:00:00.000+0000,1.0," PAN ADTPS5810L is lying at ITO Ward dasuya, This belongs to RCC Jalandhar, so this grievance may be treated as resolved"
