OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
MANJUNATH SINGE (A.I.G.P Law and Order),,,2023-02-20T00:00:00.000+0000,1.0," Kindly take necessary action and inform applicant.
Kindly submit your report on the portal.
"
Sridhar Pandurang Jadhav (ACP Admine),,,2023-02-22T00:00:00.000+0000,2.0," Kindly take necessary action and inform applicant.
Kindly submit your report on the portal."
kakasaheb dole (DCP),,,2023-06-06T00:00:00.000+0000,104.0, FILE 
satish dattatray mane (ACP Admine),,,2023-06-06T00:00:00.000+0000,0.0, AFTER INQUERY APPLICATION FILE BY DCP -2 OFFICE PCPC.
Abhijeet Shivthare (A.I.G.P Law and Order),,,2023-06-06T00:00:00.000+0000,0.0, AFTER INQUERY APPLICATION FILE BY DCP -2 OFFICE PCPC.
Shri. D T. Waghmare (ADDITIONAL CHIEF SECRETARY A AND S),,,2023-06-07T00:00:00.000+0000,1.0, AFTER INQUERY APPLICATION FILE BY DCP -2 OFFICE PCPC.
SHRI . G.B. Gurav (Deputy Secretary),,,2023-06-08T00:00:00.000+0000,1.0, .
,,,2023-01-24T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-25T00:00:00.000+0000,,"PAN Coupan Number: Q006046670
PAN number : EGXPA9817G"
Sh. Y. K. Singh (DGIT),,,2023-01-25T00:00:00.000+0000,1.0, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.
SHIVANI SINGH (ADG Systems-1),,,2023-03-02T00:00:00.000+0000,36.0,"As per the information received from the service provider, files upe230222165725.BPL is pending with the RCC Bhopal. Hence the grievance may be forwarded to the RCC Bhopal for necessary action."
Sh. Y. K. Singh (DGIT),,,2023-03-02T00:00:00.000+0000,0.0,"As per the information received from the service provider, files upe230222165725.BPL is pending with the RCC Bhopal. Hence the grievance may be forwarded to the RCC Bhopal for necessary action."
Sh. Ramesh Chand (Jt. DIT OSD),,,2023-03-04T00:00:00.000+0000,2.0, Kindly look into the matter and upload the final status at the earliest.
Mohanish Verma (Pr. CCIT),,,2023-03-06T00:00:00.000+0000,2.0," In view of comment at sl. no. 06, kindly examine the matter and upload the status report at the earliest."
Rajkumar Ghosh (CIT Admn and TPS),,,2023-03-13T00:00:00.000+0000,7.0," As per the UTI, PAN card for this PAN EGXPA9717G has already been despatched vide post RT911819541IN on 08.03.2023. Thus the grievance may be treated as redressed. "
Mohanish Verma (Pr. CCIT),,,2023-03-13T00:00:00.000+0000,0.0," In view of comment at sl. no. 09, PAN EGXPA9717G has already been dispatched vide post RT911819541IN on 08.03.2023. Thus the grievance may be treated as redressed."
