OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
,,,2023-01-11T00:00:00.000+0000,0.0,Auto Forwarded
MS GEETHA RAVICHANDRAN (Pr. CCIT MUMBAI),,,2023-01-12T00:00:00.000+0000,1.0, Kindly direct the concerned officer to redress the grievance and upload action taken report within the time period of 30 days.
Vasundhara Sinha (CCIT TDS),,,2023-01-12T00:00:00.000+0000,0.0, Kindly direct the concerned officer to redress the grievance and upload action taken report at the earliest.
Purushottam Kashyap (Commissioner of I. Tax TDS 2),,,2023-01-12T00:00:00.000+0000,0.0, Kindly direct the concerned officer to redress the grievance and upload action taken report at the earliest.
A. K. Keshari (Addl.COMMISSIONER OF INCOMETAX),,,2023-01-17T00:00:00.000+0000,5.0, Kindly redress the grievance and upload action taken report at the earliest.
Satyendra Kumar (INCOME TAX OFFICER),,,2023-01-19T00:00:00.000+0000,2.0,"A mail has been sent to the applicant (assessee) on 16.01.2023 requesting him to file necessary supporting documents in order to get the correction application filed u/s 26QB approved. As and when the same is received from him, the the application will be disposed off on merit after verifying documents filed. Further progress will be reported in due course. "
A. K. Keshari (Addl.COMMISSIONER OF INCOMETAX),,,2023-01-23T00:00:00.000+0000,4.0," A mail has been sent to the applicant (assessee) on 16.01.2023 requesting him to file necessary supporting documents in order to get the correction application filed u/s 26QB approved. As and when the same is received from him, the the application will be disposed off on merit after verifying documents filed. Further progress will be reported in due course."
Purushottam Kashyap (Commissioner of I. Tax TDS 2),,,2023-01-31T00:00:00.000+0000,8.0," A mail has been sent to the applicant (assessee) on 16.01.2023 requesting him to file necessary supporting documents in order to get the correction application filed u/s 26QB approved. As and when the same is received from him, the the application will be disposed off on merit after verifying documents filed. Further progress will be reported in due course."
Purushottam Kashyap (Commissioner of I. Tax TDS 2),,"Repeat of sl 9
 of (31-1-2023)",2023-01-31T00:00:00.000+0000,0.0," A mail has been sent to the applicant (assessee) on 16.01.2023 requesting him to file necessary supporting documents in order to get the correction application filed u/s 26QB approved. As and when the same is received from him, the the application will be disposed off on merit after verifying documents filed. Further progress will be reported in due course."
Vasundhara Sinha (CCIT TDS),,,2023-01-31T00:00:00.000+0000,0.0, Kindly upload final action taken report at the earliest.
Purushottam Kashyap (Commissioner of I. Tax TDS 2),,,2023-01-31T00:00:00.000+0000,0.0, Kindly upload final action taken report at the earliest.
A. K. Keshari (Addl.COMMISSIONER OF INCOMETAX),,,2023-01-31T00:00:00.000+0000,0.0, You are directed to upload final action report at the earliest.
Satyendra Kumar (INCOME TAX OFFICER),,,2023-02-03T00:00:00.000+0000,3.0," Asseessees grievance has been settled. Application filed in Form 26QB has been done. Screen shot of action taken is attached for kind reference. Accordingly, the grievance may kindly be treated as settled from this end. "
A. K. Keshari (Addl.COMMISSIONER OF INCOMETAX),,,2023-02-08T00:00:00.000+0000,5.0," Asseessees grievance has been settled. Application filed in Form 26QB has been done. Accordingly, the grievance may kindly be treated as settled from this end."
Purushottam Kashyap (Commissioner of I. Tax TDS 2),,,2023-02-10T00:00:00.000+0000,2.0," As reported by the AO and the Range Head, grievance has been settled. Application filed in Form 26QB has been approved by the AO (Screen shot of action taken is attached for kind reference). Accordingly, the grievance may kindly be treated as settled."
Vasundhara Sinha (CCIT TDS),,,2023-02-10T00:00:00.000+0000,0.0," As reported by the AO and the Range Head, grievance has been settled. Application filed in Form 26QB has been approved by the AO (Screen shot of action taken is attached for kind reference). Accordingly, the grievance may kindly be treated as settled."
MS GEETHA RAVICHANDRAN (Pr. CCIT MUMBAI),,,2023-02-10T00:00:00.000+0000,0.0," As reported by the AO and the Range Head, grievance has been settled. Application filed in Form 26QB has been approved by the AO (Screen shot of action taken is attached for kind reference). Accordingly, the grievance may kindly be treated as settled."
Dr. Nidhi Mittal (Jt. DIT E-Services),,,2023-02-13T00:00:00.000+0000,3.0," As reported by the AO and the Range Head, grievance has been settled. Application filed in Form 26QB has been approved by the AO (Screen shot of action taken is attached for kind reference). Accordingly, the grievance may kindly be treated as settled.	"
,,,2023-01-11T00:00:00.000+0000,,
,,,2023-01-11T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-11T00:00:00.000+0000,0.0,Auto Forwarded
Vishwajeet Sagar (RPFC I),,,2023-01-12T00:00:00.000+0000,1.0," As per KYC enquiry, no PF account number (establishment covered from EPFO,RO, Dehradun) is linked with UAN 100177310391.
Further, PF account number PYKRP/45053/70106 as well as claim id :- PYKRP/2202/50049184 mentioned in the grievance detail does not pertains to EPFO, RO, Dehradun.
Apart from the above mentioned PF account number, the PF account number i.e. MHBAN/48475/331099 mentioned in the attachment attached along with the grievance also does not pertains to EPFO, RO, Dehradun.
It has also observed that the grievance might be sent to RO, Dehradun on the basis of address mentioned by the complainant.
Hence, grievance may be forward to the concerned office."
Pritam Kumar (SO),,,2023-01-12T00:00:00.000+0000,0.0, 
B Chandra Sekhar (RPFC I),,,2023-01-12T00:00:00.000+0000,0.0, 
B Chandra Sekhar (RPFC I),,,2023-01-24T00:00:00.000+0000,12.0," Sir,

It is informed that the claim form-13 got rejected as the previous EPS service details from MHBAN00484750000331099 not received. The member has transferred the EPS service from MHBAN00484750000331099 to MHBAN00456650001377179 on 03.11.2022. Hence the member is advised to re-apply claim form-13 online for effecting transfer."
Daya Singh (section officer),,,2023-01-25T00:00:00.000+0000,1.0," Sir, It is informed that the claim form-13 got rejected as the previous EPS service details from MHBAN00484750000331099 not received. The member has transferred the EPS service from MHBAN00484750000331099 to MHBAN00456650001377179 on 03.11.2022. Hence the member is advised to re-apply claim form-13 online for effecting transfer.	B Chandra Sekhar (RPFC I)"
,,,2023-01-11T00:00:00.000+0000,,
,,,2023-01-11T00:00:00.000+0000,0.0,Auto Forwarded
Dr. Pramod Kumar Meherda (Joint Secretary),,,2023-02-02T00:00:00.000+0000,22.0," Under PM-KISAN Scheme the responsibility to identify beneficiary beneficiary and uploading their correct and verified data after verification lies with the concerned State authorities. The grievance may, therefore, be transferred to concerned State Govt. of Punjab"
Sahdev Singh (Deputy Secretary PG),,,2023-02-02T00:00:00.000+0000,0.0, 
"PGRS, Operator",,,2023-02-27T00:00:00.000+0000,25.0,Grievance received by Subordinate Organisation from Web API
,,,2023-01-11T00:00:00.000+0000,,
,,,2023-01-11T00:00:00.000+0000,0.0,Auto Forwarded
Dr. Pramod Kumar Meherda (Joint Secretary),,,2023-01-12T00:00:00.000+0000,1.0,"As per the information available on the web portal www.pmkisan.gov.in, Farmer land Record is not uploaded on web portal. Under PM-KISAN Scheme the responsibility to identify beneficiary and uploading their correct and verified data including land records after verification lies with the concerned State authorities. The grievance may, therefore, be transferred to concerned State Govt. Of Jharkhand"
Sahdev Singh (Deputy Secretary PG),,,2023-01-12T00:00:00.000+0000,0.0, 
Public Grievance-4 (Data Entry Operator),,,2023-01-16T00:00:00.000+0000,4.0, 
Mr. Sudhir Kumar Gupta (ADDITIONAL COLLECTOR),,,2023-02-11T00:00:00.000+0000,26.0, Disposed
,,,2023-01-11T00:00:00.000+0000,,
,,,2023-01-11T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-11T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-11T00:00:00.000+0000,,Please forward to RPFC - Nagpur (MAHARASHTRA).
Shekhar Kumar (RPFC -I),,,2023-01-11T00:00:00.000+0000,0.0, 
Section Officer PG-AR (SO),,Reminder of sl 2,2023-01-12T00:00:00.000+0000,1.0, For necessary action please.
Karan Satija (ASO),,Reminder of sl 3,2023-01-12T00:00:00.000+0000,0.0," For necessary action please.
"
