OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
,,,2023-01-30T00:00:00.000+0000,,
"Online PGRO, Online PGRO",,,2023-01-30T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"PGRO, PGRO",,,2023-04-21T00:00:00.000+0000,81.0,"परिवादी अनुपस्थित | लोक प्राधिकार पुलिस अधीक्षक, बांका के प्रतिनिधि उपस्थित | प्रतिवेदन प्राप्त | परिवाद की विषय वस्तु का अवलोकन किया | परिवादी ने रंगदारी से मेरी खतियानी जमीन पर खेती करने से रोकने व फसल नष्ट करने व जान माल को क्षति करने के संबंध में परिवाद दिया है | 

 लोक प्राधिकार पुलिस अधीक्षक, बांका के प्रतिनिधि थानाध्यक्ष, धनकुण्ड ओ०पी० ने ज्ञापांक- 144/23, दिनांक- 09.02.2023 के द्वारा प्रतिवेदित किया है कि आवेदक मो० अशफाक आलम, पिता- मो०- बबुरा, थाना- धनकुण्ड, जिला- बांका एवं अन्य 09 अभियुक्तों के विरुद्ध पीड़िता मनोरमा देवी, पिता- स्व० भवनाथ झा, सा०- बबुरा, थाना- धनकुण्ड, जिला- बांका एवं वर्तमान पता- गोलघाट, ततारपुर, भागलपुर के पत्रिक जमीन मौजा- बबुरा, थाना सं०- 266, खाता- 01, खेसरा- 122, 42, 49, 50, 52, 54 कुल रकवा- 04 एकड़ 92 डी० को दो अन्य व्यक्ति गणेश सिंह उम्र 60 वर्ष, पे०- स्व० हीरा सिंह, सा०- शिवनचक, थाना- धनकुण्ड, जिला- बांका एवं जगदीश लोहार उम्र- 55 वर्ष, पे०- विश्वम्भर लोहार, सा०- मिल्की इश्वरपुर, थाना- शाहपुर (करनामेपुर), जिला- भोजपुर को फर्जी जमीन मालीक बनाकर क्रय-विक्रय कर लेने के आरोप में बांका कोर्ट नालसी वाद सं०- 1992/2022 के आधार पर धनकुण्ड थाना कांड सं०- 121/22 दिनांक- 01.12.2022, धारा- 420/467/468/471/120(बी)/384/379/504/506 भा०द०वि० दर्ज हुआ है | अनुसंधान के क्रम में ज्ञात हुआ कि उक्त खतियानी जमीन कुंवर कलानंद सिंह, पिता- लिलानंद सिंह एवं उनके परिजन राज बनेली स्टेट पूर्णियां जमींदार की संपत्ति थी, जो वर्ष- 1939 ई० में कुंवर कलानंद सिंह के परिजन रानी पद्म सुंदरी साहिबा के द्वारा मनोरमा देवी के पूर्वज बाबु श्री केदार नाथ झा को 5,500/- (पांच हजार पांच सौ) रुपये में उक्त जमीन एवं अन्य जमीन उपहार स्वरूप दान में दिया गया था, जिसके आधार पर वर्ष- 1955 ई० में मनोरमा देवी के पिता- स्व० भवनाथ झा के द्वारा अपने पैतृक संपत्ति में बंटवारा हेतु अपने परिजन के विरुद्ध In the court of subordinate judge Bhagalpur में वाद दायर किया गया था, जिसका Title suit number 16 वर्ष- 1955 ई० है, जो वर्ष 1957 ई० में न्यायालय के द्वारा बंटवारा पूर्ण हुआ था | फलस्वरूप उक्त खाता, खसरा की जमीन मनोरमा देवी के पिता स्व० भवनाथ झा के हिस्से से आया था | उक्त जमीन पर"
,,,2023-01-30T00:00:00.000+0000,,
"Online PGRO, Online PGRO",,,2023-01-30T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"PGRO, PGRO",,,2023-04-21T00:00:00.000+0000,81.0,"परिवादी अनुपस्थित | लोक प्राधिकार पुलिस अधीक्षक, बांका के प्रतिनिधि उपस्थित | प्रतिवेदन प्राप्त | परिवाद की विषय वस्तु का अवलोकन किया | परिवादी ने रंगदारी से मेरी खतियानी जमीन पर खेती करने से रोकने व फसल नष्ट करने व जान माल को क्षति करने के संबंध में परिवाद दिया है | 

 लोक प्राधिकार पुलिस अधीक्षक, बांका के प्रतिनिधि थानाध्यक्ष, धनकुण्ड ओ०पी० ने ज्ञापांक- 144/23, दिनांक- 09.02.2023 के द्वारा प्रतिवेदित किया है कि आवेदक मो० अशफाक आलम, पिता- मो०- बबुरा, थाना- धनकुण्ड, जिला- बांका एवं अन्य 09 अभियुक्तों के विरुद्ध पीड़िता मनोरमा देवी, पिता- स्व० भवनाथ झा, सा०- बबुरा, थाना- धनकुण्ड, जिला- बांका एवं वर्तमान पता- गोलघाट, ततारपुर, भागलपुर के पत्रिक जमीन मौजा- बबुरा, थाना सं०- 266, खाता- 01, खेसरा- 122, 42, 49, 50, 52, 54 कुल रकवा- 04 एकड़ 92 डी० को दो अन्य व्यक्ति गणेश सिंह उम्र 60 वर्ष, पे०- स्व० हीरा सिंह, सा०- शिवनचक, थाना- धनकुण्ड, जिला- बांका एवं जगदीश लोहार उम्र- 55 वर्ष, पे०- विश्वम्भर लोहार, सा०- मिल्की इश्वरपुर, थाना- शाहपुर (करनामेपुर), जिला- भोजपुर को फर्जी जमीन मालीक बनाकर क्रय-विक्रय कर लेने के आरोप में बांका कोर्ट नालसी वाद सं०- 1992/2022 के आधार पर धनकुण्ड थाना कांड सं०- 121/22 दिनांक- 01.12.2022, धारा- 420/467/468/471/120(बी)/384/379/504/506 भा०द०वि० दर्ज हुआ है | अनुसंधान के क्रम में ज्ञात हुआ कि उक्त खतियानी जमीन कुंवर कलानंद सिंह, पिता- लिलानंद सिंह एवं उनके परिजन राज बनेली स्टेट पूर्णियां जमींदार की संपत्ति थी, जो वर्ष- 1939 ई० में कुंवर कलानंद सिंह के परिजन रानी पद्म सुंदरी साहिबा के द्वारा मनोरमा देवी के पूर्वज बाबु श्री केदार नाथ झा को 5,500/- (पांच हजार पांच सौ) रुपये में उक्त जमीन एवं अन्य जमीन उपहार स्वरूप दान में दिया गया था, जिसके आधार पर वर्ष- 1955 ई० में मनोरमा देवी के पिता- स्व० भवनाथ झा के द्वारा अपने पैतृक संपत्ति में बंटवारा हेतु अपने परिजन के विरुद्ध In the court of subordinate judge Bhagalpur में वाद दायर किया गया था, जिसका Title suit number 16 वर्ष- 1955 ई० है, जो वर्ष 1957 ई० में न्यायालय के द्वारा बंटवारा पूर्ण हुआ था | फलस्वरूप उक्त खाता, खसरा की जमीन मनोरमा देवी के पिता स्व० भवनाथ झा के हिस्से से आया था | उक्त जमीन पर"
,,,2023-01-30T00:00:00.000+0000,,
"Online PGRO, Online PGRO",,,2023-01-30T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"PGRO, PGRO",,,2023-04-21T00:00:00.000+0000,81.0,"परिवादी श्री मधुरेन्द्र कुमार सिंह, पता-ग्राम-मुज॰, प्रखण्ड-मुशहरी, जिला-मुजफ्फरपुर द्वारा दिनांक-31.01.23 को इस कार्यालय में परिवाद आॅनलाईन प्राप्त हुआ है, जिसका अनन्य (वाद) सं0ः-999880131012346199 एवं 999880110022346860 है।

 परिवादी द्वारा दायर परिवाद पत्र में अंकित है कि

कटरा प्रखंड अंतर्गत पंचायत धनौर के बुनियादी स्कूल में एक सार्वजनिक शौचालय का निर्माण समिति के द्वारा किया जा रहा है जिसमें भारी अनियमितता देखने को मिल रही है। उसका फोटो खींचकर हम आपको संलग्न कर रहे हैं। जिसका शिकायत हमने प्रखंड पंचायती राज पदाधिकारी को और कनीय अभियंता विकास कुमार को किया था। जिसको लेकर के उन्होंने कोई कार्रवाई नहीं किया और बिना पिलर के सेफ्टी टैंक का निर्माण कराया गया। उसके बाद एस्टीमेट में दिया गया है कि दीवार को 10 इंच का बनाना है लेकिन 5 इंच का ही बनाया जा रहा है जिससे ऐसा प्रतीत होता है कि प्रखंड पंचायती राज पदाधिकारी और कनीय अभियंता विकास कुमार मिलीभगत करके सरकारी पैसों का दुरुपयोग कर रहे हैं। अतः आपसे निवेदन है कि इसकी जांच स्तरीय करवाई जाए ताकि आगे कोई भी सरकारी कर्मचारी गलत काम ना कर सके। इसकी जांच जिला से या पटना से होनी चाहिए क्योंकि प्रखंड के सभी अधिकारी मिले हुए हैं। 

इस संबंध में लोक प्राधिकार प्रखंड विकास पदाधिकारी, कटरा को नोटिस निर्गत किया गया।

प्रस्तुत परिवाद की सुनवाई दिनांक-16.02.23, 23.02.23, 16.03.23 एवं 06.04.23 को की गई।

लोक प्राधिकार प्रखंड विकास पदाधिकारी, कटरा स्वयं/प्रतिनिधि के माध्यम से उपस्थित रहें। परिवादी उपस्थित रहें।

लोक प्राधिकार प्रखंड विकास पदाधिकारी, कटरा द्वारा प्रतिवेदन पत्रांक 245 दिनांक 01.03.23 से उपलब्ध कराया गया। प्रतिवेदित है कि परिवाद ग्राम पंचायत राज धनौर अन्तर्गत बुनियादी स्कूल में सार्वजनिक शौचालय निर्माण में अनियमितता संबंधी तथ्यों की जाॅच करायी गयी। जाॅचोंपरांत प्रतिवेदित किया है कि दिनांक 24.02.23 को उक्त परिवाद के तथ्यों के संबंध में स्थलीय जाॅच के क्रम में परिवादी से सम्पर्क किया गया परन्तु परिवादी द्वारा कोई प्रतिउतर नहीं दिया गया तथा जाॅच हेतु सहयोग नहीं किया गया। जाॅच के क्रम में संलग्न हस्ताक्षरित ग्रामीण मौजूद थे। उपरोक्त योजना वित्तीय एवं भौतिक रूप से पूर्ण नहीं हुआ है। पूर्व में ही निरीक्षण के दौरान सेप्टिक टैं"
,,,2023-01-30T00:00:00.000+0000,,
