OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
,,,2023-02-14T00:00:00.000+0000,0.0,
"Online PGRO, Online PGRO",,,2023-02-14T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"PGRO, PGRO",,,2023-04-21T00:00:00.000+0000,66.0,"परिवादी बिपिन कुमार सिंह, पिता/पति-गणेश सिंह, ग्राम-बनियाचक, पो०-जोठा, प्रखंड/अंचल-धोरैया, जिला-बांका द्वारा ऑनलाइन के माध्यम से परिवाद अनन्य सं0 

999880115022347089

दायर किया गया है, जो अंतरण के माध्यम से प्राप्त है| दायर परिवाद का अवलोकन किया गया| परिवाद की विषयवस्तु परिवादी के पिता गणेश सिंह को प्रधानमंत्री आवास का लाभ नहीं मिल कर फर्जी व्यक्ति के द्वारा राशि निकासी कर लेने पर दोषी व्यक्ति के विरुद्ध कार्रवाई करवाते हुए परिवादी के पिता एवं भाई को प्रधानमंत्री आवास योजना का लाभ देने का अनुरोध किया गया है| साथ ही भुखमरी का शिकार हो गए हैं एवं आर्थिक तथा मानसिक प्रताड़ना एवं वित्तीय संकट मे घिरे हुए हैं का उल्लेख किया गया है| 


परिवादी द्वारा सामान विषयवस्तु पर अनेकों परिवाद दायर किया गया है| जिस पर पूर्व में आदेश पारित किया जा चुका है| अनेक परिवाद में से एक परिवाद का अनन्य सं०-9999901140922332244 है| परिवाद अनन्य सं०-9999901140922332244 पर पारित आदेश इस प्रकार उधृत है:- “परिवाद अनन्य सं०-9999901140922332244 परिवादी बिपिन कुमार सिंह, पिता/पति-गणेश सिंह, ग्राम-बनियाचक, पो०-जोठा, प्रखंड/अंचल-धोरैया, जिला-बांका द्वारा ऑनलाइन के माध्यम से परिवाद दायर किया गया है, जो अंतरण के माध्यम से प्राप्त है| दायर परिवाद का अवलोकन किया गया|परिवादी ने अपने परिवाद में प्रखंण्ड विकास पदाधिकारी अमर कुमार मिश्रा को परिवाद संख्या 9999901140122282618 का स्वीकृत करते हुए रामु मरांडी चांदनी सिंह पर प्राथमिकी दर्ज कराने आदेश देते हुए परिवाद को निष्पादित किया गया था लेकिन धोरैया प्रखंण्ड विकास पदाधिकरी ने चांदनी सिंह पर अब तक एफआईआर दर्ज नही कराया है जिस्से स्पष्ट है की धोरैया प्रखंण्ड विकास पदाधिकारी अमर कुमार मिश्रा का आचरण ठीक नही है अःतः-श्री मान से अनुरोध है की धोरैया प्रखंण्ड विकास पदाधिकारी अमर कुमार मिश्रा पर कार्य स्थिलता के आरोप मे प्रपत्र (क)गठित कर सस्क्त कार्यवाही जल्द-से-जल्द करने की कृपा करे और गणेश सिंह के साथ हुई अनियमताओ का मुआवजा राशि दिलाने का अनुरोध करते हुए परिवाद दायर किया गया है| इस परिवाद पर आदेश पारित किया गया है| पारित आदेश इस प्रकार उधृत है:- “परिवाद अनन्य सं०-9999901140922332244 परिवादी बिपिन कुमार सिंह, पिता/पति-गणेश सिंह, ग्राम-बनियाचक, पो०-जोठा, प्रखं"
,,,2023-01-26T00:00:00.000+0000,,
Juglal Singh (Director),,,2023-02-10T00:00:00.000+0000,0.0, 
Sh Anindya Bhattacharya (Deputy Secretary),,,2023-03-23T00:00:00.000+0000,41.0," Instructions have been issued from to time regarding relaxations in age limit allowed to various categories of candidates. A compilation of these instructions as an information document, is available in Public domain and can be accessed from DOPT’s website at www.dopt.gov.in under the heading O.M.s – Recruitment - Relaxation in upper age limit and instruction dated 06.09.2022 (Refer para 16, 16.1, 16.2), O.M. dated 04.12.1979, O.M. dated 14.07.1988 and other related O.Ms may be referred for guidance. Your grievance is also being forwarded to Establishment-II Division of DoP&T for action as appropriate."
Shri S P Pant (Director),,,2023-03-24T00:00:00.000+0000,1.0, Same as given by Deputy Secretary (E-I).
,,,2023-01-26T00:00:00.000+0000,,
"Online PGRO, Online PGRO",,,2023-01-26T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"PGRO, PGRO",,,2023-02-10T00:00:00.000+0000,15.0,"परिवादी बिपिन कुमार सिंह, पिता/पति-गणेश सिंह, ग्राम-बनियाचक, पो०-जोठा, प्रखंड/अंचल-धोरैया, जिला-बांका द्वारा ऑनलाइन के माध्यम से परिवाद अनन्य सं0 

999880127012346027

दायर किया गया है, जो अंतरण के माध्यम से प्राप्त है| दायर परिवाद का अवलोकन किया गया| परिवाद की विषयवस्तु परिवादी के पिता गणेश सिंह को प्रधानमंत्री आवास का लाभ नहीं मिल कर फर्जी व्यक्ति के द्वारा राशि निकासी कर लेने पर दोषी व्यक्ति के विरुद्ध कार्रवाई करवाते हुए परिवादी के पिता एवं भाई को प्रधानमंत्री आवास योजना का लाभ देने का अनुरोध किया गया है| साथ ही भुखमरी का शिकार हो गए हैं एवं आर्थिक तथा मानसिक प्रताड़ना एवं वित्तीय संकट मे घिरे हुए हैं का उल्लेख किया गया है| 


परिवादी द्वारा सामान विषयवस्तु पर अनेकों परिवाद दायर किया गया है| जिस पर पूर्व में आदेश पारित किया जा चुका है| अनेक परिवाद में से एक परिवाद का अनन्य सं०-9999901140922332244 है| परिवाद अनन्य सं०-9999901140922332244 पर पारित आदेश इस प्रकार उधृत है:- “परिवाद अनन्य सं०-9999901140922332244 परिवादी बिपिन कुमार सिंह, पिता/पति-गणेश सिंह, ग्राम-बनियाचक, पो०-जोठा, प्रखंड/अंचल-धोरैया, जिला-बांका द्वारा ऑनलाइन के माध्यम से परिवाद दायर किया गया है, जो अंतरण के माध्यम से प्राप्त है| दायर परिवाद का अवलोकन किया गया|परिवादी ने अपने परिवाद में प्रखंण्ड विकास पदाधिकारी अमर कुमार मिश्रा को परिवाद संख्या 9999901140122282618 का स्वीकृत करते हुए रामु मरांडी चांदनी सिंह पर प्राथमिकी दर्ज कराने आदेश देते हुए परिवाद को निष्पादित किया गया था लेकिन धोरैया प्रखंण्ड विकास पदाधिकरी ने चांदनी सिंह पर अब तक एफआईआर दर्ज नही कराया है जिस्से स्पष्ट है की धोरैया प्रखंण्ड विकास पदाधिकारी अमर कुमार मिश्रा का आचरण ठीक नही है अःतः-श्री मान से अनुरोध है की धोरैया प्रखंण्ड विकास पदाधिकारी अमर कुमार मिश्रा पर कार्य स्थिलता के आरोप मे प्रपत्र (क)गठित कर सस्क्त कार्यवाही जल्द-से-जल्द करने की कृपा करे और गणेश सिंह के साथ हुई अनियमताओ का मुआवजा राशि दिलाने का अनुरोध करते हुए परिवाद दायर किया गया है| इस परिवाद पर आदेश पारित किया गया है| पारित आदेश इस प्रकार उधृत है:- “परिवाद अनन्य सं०-9999901140922332244 परिवादी बिपिन कुमार सिंह, पिता/पति-गणेश सिंह, ग्राम-बनियाचक, पो०-जोठा, प्रखं"
,,,2023-01-26T00:00:00.000+0000,,
"Shri Bhaskar Pandey, Joint Secretary",,,2023-02-02T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"Shri Bhaskar Pandey, Joint Secretary",,,2023-03-02T00:00:00.000+0000,28.0,"अधीनस्थ अधिकारी के स्तर पर निस्तारित कृपया उक्त प्रकरण का निस्रताण राजस्व विभाग द्वारा सयुक्त रूप से किया जा चूका है परन्तु शिकायत कर्ता द्वारा बार बार सिकायत किया जाता है 
 अतः आख्या शिकायत निक्षेपित करने हेतु प्रेषित है"
,,,2023-01-26T00:00:00.000+0000,,
,,,2023-01-26T00:00:00.000+0000,0.0,Auto Forwarded
