OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
"Shri Bhaskar Pandey, Joint Secretary",,,2023-01-23T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"Shri Bhaskar Pandey, Joint Secretary",,,2023-02-01T00:00:00.000+0000,9.0,"आवेदक समस्त प्रार्थी गण, निवासी गण ग्राम इटोरा थाना कोतवाली मैनपुरी ने अपने विपक्षी सुरेंद्र पुत्र गिरीश निवासी ग्राम भोजपुरा थाना कोतवाली जनपद मैनपुरी पर जमीन के कब्जे को लेकर प्रार्थना पत्र दिया है जांच में पाया कि विपक्षी सुरेंद्र ने उमेश पुत्र सुखलाल निवासी ग्राम इटोरा थाना कोतवाली मैनपुरी से एक बीघा जमीन का बैनामा कराया है जिसकी नापतोल हेतु विपक्षी सुरेंद्र द्वारा डाला गया मेड़बंदी का वाद अन्तर्गत धारा 24 राजस्व संहिता के तहत सिविल न्यायालय में विचाराधीन है दोनो पक्षो द्वारा बताया गया कि म श्रीमान जी उक्त प्रार्थना पत्र की जांच मुझ उ0नि0 द्वारा मोके पर जाकर की गयी तो पाया कि आवेदक समस्त प्रार्थी गण, निवासी गण ग्राम इटोरा थाना कोतवाली मैनपुरी ने अपने विपक्षी सुरेंद्र पुत्र गिरीश निवासी ग्राम भोजपुरा थाना कोतवाली जनपद मैनपुरी पर जमीन के कब्जे को लेकर प्रार्थना पत्र दिया है जांच में पाया कि विपक्षी सुरेंद्र ने उमेश पुत्र सुखलाल निवासी ग्राम इटोरा थाना कोतवाली मैनपुरी से एक बीघा जमीन का बैनामा कराया है जिसकी नापतोल हेतु विपक्षी सुरेंद्र द्वारा डाला गया मेड़बंदी का वाद अन्तर्गत धारा 24 राजस्व संहिता के तहत सिविल न्यायालय में विचाराधीन है दोनो पक्षो द्वारा बताया गया कि माननीय न्यायालय में विचाराधीन केस के निर्णय आने तक हम कुछ नही करेंगे अतः शान्ति व्यवस्था हेतु धारा 107116 सीआरपीसी की कार्यवाही की जा चुकी है 
रिपोर्ट सादर सेवा में प्रेषित है 

 1.गवाह सुभाष राजपूत मोबाइल नंबर 904518029 
 2.जदुनाथ सिंह 75 0000 471"
,,,2023-01-05T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,Auto Forwarded
Dr. Pramod Kumar Meherda (Joint Secretary),,,2023-01-05T00:00:00.000+0000,0.0," As per the information available on the web portal www.pmkisan.gov.in, Farmer land Record is not uploded on web portal. Under PM-KISAN Scheme the responsibility to identify beneficiary and uploading their correct and verified data including land records after verification lies with the concerned State authorities. The grievance may, therefore, be transferred to concerned State Govt. of Punjab"
Sunil Kumar (Under Secretary),,,2023-01-06T00:00:00.000+0000,1.0, 
"PGRS, Operator",,,2023-02-27T00:00:00.000+0000,52.0,Grievance received by Subordinate Organisation from Web API
,,,2023-01-05T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-05T00:00:00.000+0000,0.0,Auto Forwarded
Shri R S Munot (SSPOs Ajmer),,,2023-01-11T00:00:00.000+0000,6.0," Sir ji, As per tracking said article has been delivered from Chatarpura BO (Bundi HO), which is related to Tonk Division. Therefore please forward this matter to Supdt. Tonk Division. "
Ms. Anula Kumar (CPMG Rajasthan),,,2023-01-11T00:00:00.000+0000,0.0, Kindly examine the case and update the portal.
Shri H L Bairwa (SPOs Tonk),,,2023-01-17T00:00:00.000+0000,6.0," R/Sir,
As per report received from PM Bundi HO, the article no FR100247421IN has been delivered on 29.09.2022 at Chatarpura B.O under Bundi HO to Shre Dhiraj Kumar mobile no 7742080666 in Good Condition and no complaint was lodge at the time of delivery.
"
Shri H L Bairwa (SPOs Tonk),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0," R/Sir,
As per report received from PM Bundi HO, the article no FR100247421IN has been delivered on 29.09.2022 at Chatarpura B.O under Bundi HO to Shre Dhiraj Kumar mobile no 7742080666 in Good Condition and no complaint was lodge at the time of delivery.
"
Shri Shailendra Dashora (CPMG),,,2023-01-19T00:00:00.000+0000,2.0," Respected Sir,
 With reference to your complaint it is intimated that as per report received from SPOs Tonk the article no. FR100247421IN was delivered by Chatarpura B.O on 29.09.2022 in good and sound condition to Sh Dhiraj Kumar. There is no adverse report received from the addressee at the time of delivery. This is for your kind information please.
"
,,,2023-01-05T00:00:00.000+0000,,
osdbo02 (OSD),,,2023-01-05T00:00:00.000+0000,0.0, Please issue acknowledgement to the petitioner urgently and examine and settle the complaint as per the rules within a time bound manner. Please send your ATR and upload a copy of reply sent to the petitioner on CPGRAMS. 
Nodal Officer (GM),,,2023-01-06T00:00:00.000+0000,1.0," कृपया शिकायत की जांच समयबद्ध रूप से करने की व्‍यवस्‍था करें और शिकायतकर्ता को उपयुक्त उत्तर भेजें और उसके निपटान के तुरंत बाद शिकायतकर्ता को भेजें गए उत्तर को सीपीग्राम्स पोर्टल पर भी अपनी टिप्पणी/ कार्रवाई के साथ अपलोड करें। 
Kindly arrange to examine and redress the grievance and give an appropriate reply to the complainant within a time-bound manner. After redressal, a copy of the reply given to the complainant along with your comments/action may be uploaded on the CPGRAMS portal. 
"
Shri Vikramjit Singh Randhawa (Deputy General Manager),,,2023-01-11T00:00:00.000+0000,5.0, N202223023371431
Shri Satyabrata Barua (Secretary and DGM OBO),,,2023-01-17T00:00:00.000+0000,6.0, The above complaint is registered in CMS vide No. N202223023371431 dated 10/01/2023 and was forwarded to the concerned RE for comments/resolution and is presently under process. The RBIO decision will be communicated in due course
,,,2023-01-06T00:00:00.000+0000,,Grievance received through RI Web API
Colonel Ajaypal Singh (Director Coord Div),,,2023-01-06T00:00:00.000+0000,0.0,प्रिय शिकायतकर्ता इस मामले से संबंधित आपकी पूर्व की शिकायत संख्या DMAFF/I/2023/0000002 को पहले ही संबंधित अधिकारियों को इसके निवारण के लिए भेज दिया गया है। वर्तमान शिकायत उसी की नकल है। इसलिए निपटारा किया 
,,,2023-01-05T00:00:00.000+0000,0.0,Auto Forwarded
A K Gupta (UNDER SECRETARY),,,2023-01-13T00:00:00.000+0000,8.0,Matters pertain to you please
,,,2023-01-05T00:00:00.000+0000,,
,,,2023-01-05T00:00:00.000+0000,0.0,Auto Forwarded
A K Gupta (UNDER SECRETARY),,,2023-01-31T00:00:00.000+0000,18.0,Please see the notice of exam. the eligibility criteria is mentioned there. 
